id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,510,183,183,0.0,0,0.0,0,0.0,0
2,1,deploy,2,1,19,510,183,183,2.0,0,100.0,772.7,772.7,1
3,11,create,10,2,19,554,5,5,2.0,0,100.0,772.7,772.7,1
4,11,deploy,2,2,19,554,5,5,4.3,0,100.0,1594.4,797.2,2
5,16,create,5,3,20,503,102,102,4.3,0,100.0,1594.4,797.2,2
6,16,remove,2,2,19,554,5,0,2.0,0,100.0,772.7,772.7,1
7,16,deploy,2,3,20,503,102,102,4.1,0,100.0,1537.7,768.9,2
8,21,create,10,4,6,170,44,44,4.1,0,100.0,1537.7,768.9,2
9,21,deploy,2,4,6,170,44,44,4.7,0,100.0,1932.0,644.0,3
10,30,create,9,5,14,366,53,53,4.7,0,100.0,1932.0,644.0,3
11,30,deploy,2,5,14,366,53,53,6.2,0,100.0,2544.4,636.1,4
12,38,create,7,6,10,279,77,77,6.2,0,100.0,2544.4,636.1,4
13,38,deploy,2,6,10,279,77,77,7.3,0,100.0,3060.1,612.0,5
14,41,create,10,7,13,366,2,2,7.3,0,100.0,3060.1,612.0,5
15,41,deploy,2,7,13,366,2,2,8.8,0,100.0,3672.5,612.1,6
16,43,remove,2,7,13,366,2,0,7.3,0,100.0,3060.1,612.0,5
17,45,create,9,8,6,157,114,114,7.3,0,100.0,3060.1,612.0,5
18,45,deploy,2,8,6,157,114,114,7.9,0,100.0,3439.9,573.3,6
19,47,create,5,9,4,86,18,18,7.9,0,100.0,3439.9,573.3,6
20,47,deploy,2,9,4,86,18,18,8.3,0,100.0,3740.7,534.4,7
21,57,create,5,10,5,127,252,252,8.3,0,100.0,3740.7,534.4,7
22,57,deploy,2,10,5,127,252,252,8.8,0,100.0,4087.2,510.9,8
23,58,create,7,11,20,487,90,90,8.8,0,100.0,4087.2,510.9,8
24,58,deploy,2,11,20,487,90,90,10.7,0,100.0,4834.3,537.1,9
25,59,create,7,12,10,252,145,145,10.7,0,100.0,4834.3,537.1,9
26,59,deploy,2,12,10,252,145,145,11.7,0,100.0,5319.9,532.0,10
27,60,create,9,13,11,264,59,59,11.7,0,100.0,5319.9,532.0,10
28,60,deploy,2,13,11,264,59,59,12.8,0,100.0,5818.8,529.0,11
29,65,remove,2,4,6,170,44,0,12.1,0,100.0,5424.5,542.5,10
30,65,remove,2,9,4,86,18,0,11.8,0,100.0,5123.7,569.3,9
31,73,create,9,14,5,149,440,440,11.8,0,100.0,5123.7,569.3,9
32,73,deploy,2,14,5,149,440,440,12.4,0,100.0,5494.6,549.5,10
33,75,create,5,15,14,305,118,118,12.4,0,100.0,5494.6,549.5,10
34,75,deploy,2,15,14,305,118,118,13.6,0,100.0,6039.2,549.0,11
35,79,create,9,16,7,185,107,107,13.6,0,100.0,6039.2,549.0,11
36,79,deploy,2,16,7,185,107,107,14.3,0,100.0,6450.2,537.5,12
37,83,remove,2,5,14,366,53,0,12.9,0,100.0,5837.7,530.7,11
38,91,create,5,17,13,349,113,113,12.9,0,100.0,5837.7,530.7,11
39,91,create,9,18,7,187,275,275,12.9,0,100.0,5837.7,530.7,11
40,91,deploy,2,17,13,349,113,113,14.3,0,100.0,6431.3,535.9,12
41,91,deploy,2,18,7,187,275,275,15.0,0,100.0,7270.4,559.3,14
42,92,create,9,19,20,473,88,88,15.0,0,100.0,7270.4,559.3,14
43,92,deploy,2,19,20,473,88,88,16.9,0,100.0,8002.0,571.6,15
44,93,create,9,20,11,269,30,30,16.9,0,100.0,8002.0,571.6,15
45,93,deploy,2,20,11,269,30,30,18.0,0,100.0,8506.4,567.1,16
46,94,create,5,21,5,127,84,84,18.0,0,100.0,8506.4,567.1,16
47,94,deploy,2,21,5,127,84,84,18.5,0,100.0,8852.9,553.3,17
48,100,create,10,22,16,427,25,25,18.5,0,100.0,8852.9,553.3,17
49,100,deploy,2,22,16,427,25,25,20.2,0,100.0,9533.2,560.8,18
50,108,create,10,23,9,208,420,420,20.2,0,100.0,9533.2,560.8,18
51,108,deploy,2,23,9,208,420,420,21.0,0,100.0,9969.9,553.9,19
52,109,create,5,24,17,516,6,6,21.0,0,100.0,9969.9,553.9,19
53,109,deploy,2,24,17,516,6,6,23.1,0,100.0,10749.3,565.8,20
54,110,create,5,25,17,392,155,155,23.1,0,100.0,10749.3,565.8,20
55,110,deploy,2,25,17,392,155,155,24.7,0,100.0,11390.7,569.5,21
56,115,remove,2,6,10,279,77,0,23.5,0,100.0,10875.0,572.4,20
57,115,create,9,26,18,393,30,30,23.5,0,100.0,10875.0,572.4,20
58,115,remove,2,24,17,516,6,0,21.5,0,100.0,10095.6,560.9,19
59,115,deploy,2,26,18,393,30,30,23.1,0,100.0,10738.1,565.2,20
60,118,remove,2,3,20,503,102,0,21.0,0,100.0,9973.2,554.1,19
61,119,remove,2,13,11,264,59,0,20.0,0,100.0,9474.3,557.3,18
62,119,create,5,27,4,101,242,242,20.0,0,100.0,9474.3,557.3,18
63,119,deploy,2,27,4,101,242,242,20.4,0,100.0,9791.8,544.0,19
64,120,create,7,28,4,79,76,76,20.4,0,100.0,9791.8,544.0,19
65,120,deploy,2,28,4,79,76,76,20.7,0,100.0,10084.8,530.8,20
66,121,create,5,29,19,487,120,120,20.7,0,100.0,10084.8,530.8,20
67,121,deploy,2,29,19,487,120,120,22.7,0,100.0,10831.9,541.6,21
68,123,remove,2,20,11,269,30,0,21.6,0,100.0,10327.4,543.5,20
69,124,create,5,30,10,259,70,70,21.6,0,100.0,10327.4,543.5,20
70,124,deploy,2,30,10,259,70,70,22.6,0,100.0,10820.8,541.0,21
71,125,remove,2,22,16,427,25,0,20.9,0,100.0,10140.5,533.7,20
72,126,create,9,31,13,305,67,67,20.9,0,100.0,10140.5,533.7,20
73,126,deploy,2,31,13,305,67,67,22.1,0,100.0,10685.0,534.2,21
74,128,create,10,32,9,217,88,88,22.1,0,100.0,10685.0,534.2,21
75,128,deploy,2,32,9,217,88,88,23.0,0,100.0,11131.6,530.1,22
76,131,create,9,33,16,411,249,249,23.0,0,100.0,11131.6,530.1,22
77,131,deploy,2,33,16,411,249,249,24.6,0,100.0,11794.2,536.1,23
78,136,create,5,34,11,340,122,122,24.6,0,100.0,11794.2,536.1,23
79,136,deploy,2,34,11,340,122,122,26.0,0,100.0,12377.7,538.2,24
80,138,create,7,35,14,322,94,94,26.0,0,100.0,12377.7,538.2,24
81,138,create,5,36,5,119,167,167,26.0,0,100.0,12377.7,538.2,24
82,138,deploy,2,35,14,322,94,94,27.3,0,100.0,12941.2,539.2,25
83,138,deploy,2,36,5,119,167,167,27.8,0,100.0,13278.7,531.1,26
84,141,create,10,37,16,330,141,141,27.8,0,100.0,13278.7,531.1,26
85,141,deploy,2,37,16,330,141,141,29.1,0,100.0,13851.1,532.7,27
86,142,create,10,38,17,439,68,68,29.1,0,100.0,13851.1,532.7,27
87,142,deploy,2,38,17,439,68,68,30.8,0,100.0,14544.8,538.7,28
88,144,create,9,39,8,222,73,73,30.8,0,100.0,14544.8,538.7,28
89,144,deploy,2,39,8,222,73,73,31.7,0,100.0,14997.0,535.6,29
90,145,remove,2,26,18,393,30,0,30.2,0,100.0,14354.5,531.6,28
91,145,create,9,40,19,465,365,365,30.2,0,100.0,14354.5,531.6,28
92,145,deploy,2,40,19,465,365,365,32.0,0,100.0,15077.2,538.5,29
93,148,remove,2,11,20,487,90,0,30.1,0,100.0,14330.0,530.7,28
94,148,create,5,41,18,534,1,1,30.1,0,100.0,14330.0,530.7,28
95,148,deploy,2,41,18,534,1,1,32.2,0,100.0,15129.5,540.3,29
96,149,remove,2,41,18,534,1,0,30.1,0,100.0,14330.0,530.7,28
97,150,create,9,42,10,293,211,211,30.1,0,100.0,14330.0,530.7,28
98,150,deploy,2,42,10,293,211,211,31.2,0,100.0,14861.2,530.8,29
99,151,create,7,43,13,340,129,129,31.2,0,100.0,14861.2,530.8,29
100,151,deploy,2,43,13,340,129,129,32.6,0,100.0,15444.7,532.6,30
101,152,create,5,44,10,245,25,25,32.6,0,100.0,15444.7,532.6,30
102,152,deploy,2,44,10,245,25,25,33.6,0,100.0,15922.5,530.8,31
103,154,create,5,45,8,230,9,9,33.6,0,100.0,15922.5,530.8,31
104,154,deploy,2,45,8,230,9,9,34.5,0,100.0,16383.6,528.5,32
105,157,create,5,46,11,308,302,302,34.5,0,100.0,16383.6,528.5,32
106,157,deploy,2,46,11,308,302,302,35.7,0,100.0,16931.5,529.1,33
107,159,remove,2,8,6,157,114,0,35.1,0,100.0,16551.7,533.9,32
108,159,create,9,47,8,184,69,69,35.1,0,100.0,16551.7,533.9,32
109,159,deploy,2,47,8,184,69,69,35.8,0,100.0,16961.6,530.0,33
110,160,create,9,48,20,583,386,386,35.8,0,100.0,16961.6,530.0,33
111,160,deploy,2,48,20,583,386,386,38.2,0,100.0,17815.6,539.9,34
112,163,create,10,49,18,489,5,5,38.2,0,100.0,17815.6,539.9,34
113,163,remove,2,45,8,230,9,0,37.3,0,100.0,17354.5,542.3,33
114,163,deploy,2,49,18,489,5,5,39.2,0,100.0,18103.8,548.6,34
115,166,create,10,50,5,155,11,11,39.2,0,100.0,18103.8,548.6,34
116,166,deploy,2,50,5,155,11,11,39.8,0,100.0,18481.4,543.6,35
117,167,create,7,51,19,482,13,13,39.8,0,100.0,18481.4,543.6,35
118,167,deploy,2,51,19,482,13,13,41.8,0,100.0,19223.0,549.2,36
119,168,remove,2,49,18,489,5,0,39.8,0,100.0,18473.6,543.3,35
120,172,create,5,52,8,170,194,194,39.8,0,100.0,18473.6,543.3,35
121,172,deploy,2,52,8,170,194,194,40.5,0,100.0,18868.0,539.1,36
122,174,create,7,53,12,382,49,49,40.5,0,100.0,18868.0,539.1,36
123,174,deploy,2,53,12,382,49,49,42.0,0,100.0,19498.2,541.6,37
124,176,create,7,54,8,188,86,86,42.0,0,100.0,19498.2,541.6,37
125,176,deploy,2,54,8,188,86,86,42.8,0,100.0,19912.6,538.2,38
126,177,remove,2,44,10,245,25,0,41.8,0,100.0,19434.8,539.9,37
127,177,remove,2,50,5,155,11,0,41.2,0,100.0,19057.2,544.5,36
128,178,remove,2,21,5,127,84,0,40.7,0,100.0,18710.7,550.3,35
129,180,remove,2,19,20,473,88,0,38.8,0,100.0,17979.2,544.8,34
130,180,remove,2,51,19,482,13,0,36.8,0,100.0,17237.6,538.7,33
131,184,remove,2,1,19,510,183,0,34.8,0,100.0,16464.9,531.1,32
132,185,create,9,55,20,532,150,150,34.8,0,100.0,16464.9,531.1,32
133,185,deploy,2,55,20,532,150,150,36.9,0,100.0,17262.1,539.4,33
134,186,remove,2,16,7,185,107,0,36.2,0,100.0,16851.1,543.6,32
135,186,create,5,56,9,219,163,163,36.2,0,100.0,16851.1,543.6,32
136,186,create,9,57,19,478,51,51,36.2,0,100.0,16851.1,543.6,32
137,186,deploy,2,56,9,219,163,163,37.1,0,100.0,17299.9,540.6,33
138,186,deploy,2,57,19,478,51,51,39.0,0,100.0,18037.0,546.6,34
139,187,create,7,58,11,307,305,305,39.0,0,100.0,18037.0,546.6,34
140,187,deploy,2,58,11,307,305,305,40.2,0,100.0,18583.8,546.6,35
141,188,create,5,59,9,216,54,54,40.2,0,100.0,18583.8,546.6,35
142,188,deploy,2,59,9,216,54,54,41.1,0,100.0,19029.3,543.7,36
143,190,create,10,60,16,406,75,75,41.1,0,100.0,19029.3,543.7,36
144,190,create,5,61,18,397,16,16,41.1,0,100.0,19029.3,543.7,36
145,190,deploy,2,60,16,406,75,75,42.7,0,100.0,19686.3,546.8,37
146,190,deploy,2,61,18,397,16,16,44.3,0,100.0,20333.3,549.5,38
147,191,create,7,62,17,399,357,357,44.3,0,100.0,20333.3,549.5,38
148,191,deploy,2,62,17,399,357,357,45.9,0,100.0,20982.5,552.2,39
149,193,remove,2,15,14,305,118,0,44.6,0,100.0,20437.9,552.4,38
150,193,remove,2,31,13,305,67,0,43.4,0,100.0,19893.3,552.6,37
151,193,create,7,63,13,330,432,432,43.4,0,100.0,19893.3,552.6,37
152,193,deploy,2,63,13,330,432,432,44.7,0,100.0,20465.7,553.1,38
153,194,remove,2,30,10,259,70,0,43.7,0,100.0,19972.4,554.8,37
154,195,create,7,64,16,381,16,16,43.7,0,100.0,19972.4,554.8,37
155,195,deploy,2,64,16,381,16,16,45.2,0,100.0,20601.5,556.8,38
156,196,remove,2,28,4,79,76,0,44.9,0,100.0,20308.5,564.1,37
157,202,create,10,65,7,160,29,29,44.9,0,100.0,20308.5,564.1,37
158,202,deploy,2,65,7,160,29,29,45.6,0,100.0,20691.7,559.2,38
