id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,510,183,183,0.0,0,0.0,0,0.0,0
2,1,deploy,4,1,19,510,183,183,2.0,0,100.0,772.7,772.7,1
3,11,create,10,2,19,554,5,5,2.0,0,100.0,772.7,772.7,1
4,11,deploy,11,2,19,554,5,5,4.2,0,100.0,1594.4,797.2,2
5,16,create,5,3,20,503,102,102,4.2,0,100.0,1594.4,797.2,2
6,16,remove,11,2,19,554,5,0,2.0,0,100.0,772.7,772.7,1
7,16,deploy,4,3,20,503,102,102,4.0,0,100.0,1537.7,768.9,2
8,21,create,10,4,6,170,44,44,4.0,0,100.0,1537.7,768.9,2
9,21,deploy,11,4,6,170,44,44,4.7,0,100.0,1932.0,644.0,3
10,30,create,9,5,14,366,53,53,4.7,0,100.0,1932.0,644.0,3
11,30,deploy,4,5,14,366,53,53,6.1,0,100.0,2544.4,636.1,4
12,38,create,7,6,10,279,77,77,6.1,0,100.0,2544.4,636.1,4
13,38,deploy,6,6,10,279,77,77,7.3,0,100.0,3060.0,612.0,5
14,41,create,10,7,13,366,2,2,7.3,0,100.0,3060.0,612.0,5
15,41,deploy,11,7,13,366,2,2,8.7,0,100.0,3672.5,612.1,6
16,43,remove,11,7,13,366,2,0,7.3,0,100.0,3060.0,612.0,5
17,45,create,9,8,6,157,114,114,7.3,0,100.0,3060.0,612.0,5
18,45,deploy,4,8,6,157,114,114,7.9,0,100.0,3439.9,573.3,6
19,47,create,5,9,4,86,18,18,7.9,0,100.0,3439.9,573.3,6
20,47,deploy,4,9,4,86,18,18,8.2,0,100.0,3740.7000000000003,534.4,7
21,57,create,5,10,5,127,252,252,8.2,0,100.0,3740.7000000000003,534.4,7
22,57,deploy,4,10,5,127,252,252,8.7,0,100.0,4087.1,510.9,8
23,58,create,7,11,20,487,90,90,8.7,0,100.0,4087.1,510.9,8
24,58,deploy,6,11,20,487,90,90,10.7,0,100.0,4834.3,537.1,9
25,59,create,7,12,10,252,145,145,10.7,0,100.0,4834.3,537.1,9
26,59,deploy,6,12,10,252,145,145,11.7,0,100.0,5319.8,532.0,10
27,60,create,9,13,11,264,59,59,11.7,0,100.0,5319.8,532.0,10
28,60,deploy,4,13,11,264,59,59,12.7,0,100.0,5818.8,529.0,11
29,65,remove,11,4,6,170,44,0,12.0,0,100.0,5424.5,542.5,10
30,65,remove,4,9,4,86,18,0,11.7,0,100.0,5123.7,569.3,9
31,73,create,9,14,5,149,440,440,11.7,0,100.0,5123.7,569.3,9
32,73,deploy,4,14,5,149,440,440,12.3,0,100.0,5494.6,549.5,10
33,75,create,5,15,14,305,118,118,12.3,0,100.0,5494.6,549.5,10
34,75,deploy,4,15,14,305,118,118,13.5,0,100.0,6039.2,549.0,11
35,79,create,9,16,7,185,107,107,13.5,0,100.0,6039.2,549.0,11
36,79,deploy,4,16,7,185,107,107,14.2,0,100.0,6450.2,537.5,12
37,83,remove,4,5,14,366,53,0,12.8,0,100.0,5837.7,530.7,11
38,91,create,5,17,13,349,113,113,12.8,0,100.0,5837.7,530.7,11
39,91,create,9,18,7,187,275,275,12.8,0,100.0,5837.7,530.7,11
40,91,deploy,4,17,13,349,113,113,14.2,0,100.0,6431.2,535.9,12
41,91,deploy,4,18,7,187,275,275,14.9,0,100.0,6844.5,526.5,13
42,92,create,9,19,20,473,88,88,14.9,0,100.0,6844.5,526.5,13
43,92,deploy,4,19,20,473,88,88,16.8,0,100.0,7576.0,541.1,14
44,93,create,9,20,11,269,30,30,16.8,0,100.0,7576.0,541.1,14
45,93,deploy,4,20,11,269,30,30,17.8,0,100.0,8080.5,538.7,15
46,94,create,5,21,5,127,84,84,17.8,0,100.0,8080.5,538.7,15
47,94,deploy,4,21,5,127,84,84,18.3,0,100.0,8427.0,526.7,16
48,100,create,10,22,16,427,25,25,18.3,0,100.0,8427.0,526.7,16
49,100,deploy,11,22,16,427,25,25,20.0,0,100.0,9107.4,535.7,17
50,108,create,10,23,9,208,420,420,20.0,0,100.0,9107.4,535.7,17
51,108,deploy,11,23,9,208,420,420,20.9,0,100.0,9544.0,530.2,18
52,109,create,5,24,17,516,6,6,20.9,0,100.0,9544.0,530.2,18
53,109,deploy,4,24,17,516,6,6,22.9,0,100.0,10323.4,543.3,19
54,110,create,5,25,17,392,155,155,22.9,0,100.0,10323.4,543.3,19
55,110,deploy,4,25,17,392,155,155,24.5,0,100.0,10964.8,548.2,20
56,115,remove,6,6,10,279,77,0,23.4,0,100.0,10449.2,550.0,19
57,115,create,9,26,18,393,30,30,23.4,0,100.0,10449.2,550.0,19
58,115,remove,4,24,17,516,6,0,21.3,0,100.0,9669.800000000001,537.2,18
59,115,deploy,4,26,18,393,30,30,22.9,0,100.0,10312.300000000001,542.8,19
60,118,remove,4,3,20,503,102,0,20.9,0,100.0,9547.300000000001,530.4,18
61,119,remove,4,13,11,264,59,0,19.8,0,100.0,9048.4,532.3,17
62,119,create,5,27,4,101,242,242,19.8,0,100.0,9048.4,532.3,17
63,119,deploy,4,27,4,101,242,242,20.2,0,100.0,9365.9,520.3,18
64,120,create,7,28,4,79,76,76,20.2,0,100.0,9365.9,520.3,18
65,120,deploy,6,28,4,79,76,76,20.5,0,100.0,9658.9,508.4,19
66,121,create,5,29,19,487,120,120,20.5,0,100.0,9658.9,508.4,19
67,121,deploy,4,29,19,487,120,120,22.5,0,100.0,10406.0,520.3,20
68,123,remove,4,20,11,269,30,0,21.4,0,100.0,9901.5,521.1,19
