id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,510,183,183,0.0,0,0.0,0,0.0,0
2,1,remap,-,-,-,-,-,-,-,-,-,-,-,-
3,1,remap_successfully,-,-,-,-,-,-,0.0,0,0.0,0,0.0,0
4,1,deploy,2,1,19,510,183,183,2.0,0,100.0,772.7,772.7,1
5,11,create,10,2,19,554,5,5,2.0,0,100.0,772.7,772.7,1
6,11,remap,-,-,-,-,-,-,-,-,-,-,-,-
7,11,interrupt,-,1,19,510,183,173,0.0,0,100.0,-,-,-
8,11,redeploy,2,1,19,510,183,173,2.0,0,100.0,772.7,772.7,1
9,11,remap_successfully,-,-,-,-,-,-,2.0,0,100.0,772.7,772.7,1
10,11,deploy,2,2,19,554,5,5,4.3,0,100.0,1594.4,797.2,2
11,16,create,5,3,20,503,102,102,4.3,0,100.0,1594.4,797.2,2
12,16,remove,2,2,19,554,5,0,2.0,0,100.0,772.7,772.7,1
13,16,remap,-,-,-,-,-,-,-,-,-,-,-,-
14,16,interrupt,-,1,19,510,183,168,0.0,0,100.0,-,-,-
15,16,redeploy,2,1,19,510,183,168,2.0,0,100.0,772.7,772.7,1
16,16,remap_successfully,-,-,-,-,-,-,2.0,0,100.0,772.7,772.7,1
17,16,deploy,2,3,20,503,102,102,4.1,0,100.0,1537.7,768.9,2
18,21,create,10,4,6,170,44,44,4.1,0,100.0,1537.7,768.9,2
19,21,remap,-,-,-,-,-,-,-,-,-,-,-,-
20,21,interrupt,-,1,19,510,183,163,2.0,0,100.0,-,-,-
21,21,interrupt,-,3,20,503,102,97,0.0,0,100.0,-,-,-
22,21,redeploy,2,1,19,510,183,163,2.0,0,100.0,772.7,772.7,1
23,21,redeploy,2,3,20,503,102,97,4.1,0,100.0,1537.7,768.9,2
24,21,remap_successfully,-,-,-,-,-,-,4.1,0,100.0,1537.7,768.9,2
25,21,deploy,2,4,6,170,44,44,4.7,0,100.0,1932.0,644.0,3
26,30,create,9,5,14,366,53,53,4.7,0,100.0,1932.0,644.0,3
27,30,remap,-,-,-,-,-,-,-,-,-,-,-,-
28,30,interrupt,-,1,19,510,183,154,2.7,0,100.0,-,-,-
29,30,interrupt,-,3,20,503,102,88,0.7,0,100.0,-,-,-
30,30,interrupt,-,4,6,170,44,35,0.0,0,100.0,-,-,-
31,30,redeploy,2,1,19,510,183,154,2.0,0,100.0,772.7,772.7,1
32,30,redeploy,2,3,20,503,102,88,4.1,0,100.0,1537.7,768.9,2
33,30,redeploy,2,4,6,170,44,35,4.7,0,100.0,1932.0,644.0,3
34,30,remap_successfully,-,-,-,-,-,-,4.7,0,100.0,1932.0,644.0,3
35,30,deploy,2,5,14,366,53,53,6.2,0,100.0,2544.4,636.1,4
36,38,create,7,6,10,279,77,77,6.2,0,100.0,2544.4,636.1,4
37,38,remap,-,-,-,-,-,-,-,-,-,-,-,-
38,38,interrupt,-,1,19,510,183,146,4.2,0,100.0,-,-,-
39,38,interrupt,-,3,20,503,102,80,2.1,0,100.0,-,-,-
40,38,interrupt,-,4,6,170,44,27,1.5,0,100.0,-,-,-
41,38,interrupt,-,5,14,366,53,45,0.0,0,100.0,-,-,-
42,38,redeploy,2,1,19,510,183,146,2.0,0,100.0,772.7,772.7,1
43,38,redeploy,2,3,20,503,102,80,4.1,0,100.0,1537.7,768.9,2
44,38,redeploy,2,4,6,170,44,27,4.7,0,100.0,1932.0,644.0,3
45,38,redeploy,2,5,14,366,53,45,6.2,0,100.0,2544.4,636.1,4
46,38,remap_successfully,-,-,-,-,-,-,6.2,0,100.0,2544.4,636.1,4
47,38,drop,-,6,10,279,77,77,6.2,0,83.3,2544.4,636.1,4
48,41,create,10,7,13,366,2,2,6.2,0,83.3,2544.4,636.1,4
49,41,remap,-,-,-,-,-,-,-,-,-,-,-,-
50,41,interrupt,-,1,19,510,183,143,4.2,0,83.3,-,-,-
51,41,interrupt,-,3,20,503,102,77,2.1,0,83.3,-,-,-
52,41,interrupt,-,4,6,170,44,24,1.5,0,83.3,-,-,-
53,41,interrupt,-,5,14,366,53,42,0.0,0,83.3,-,-,-
54,41,redeploy,2,1,19,510,183,143,2.0,0,83.3,772.7,772.7,1
55,41,redeploy,2,3,20,503,102,77,4.1,0,83.3,1537.7,768.9,2
56,41,redeploy,2,4,6,170,44,24,4.7,0,83.3,1932.0,644.0,3
57,41,redeploy,2,5,14,366,53,42,6.2,0,83.3,2544.4,636.1,4
58,41,remap_successfully,-,-,-,-,-,-,6.2,0,83.3,2544.4,636.1,4
59,41,drop,-,7,13,366,2,2,6.2,0,71.4,2544.4,636.1,4
60,45,create,9,8,6,157,114,114,6.2,0,71.4,2544.4,636.1,4
61,45,remap,-,-,-,-,-,-,-,-,-,-,-,-
62,45,interrupt,-,1,19,510,183,139,4.2,0,71.4,-,-,-
63,45,interrupt,-,3,20,503,102,73,2.1,0,71.4,-,-,-
64,45,interrupt,-,4,6,170,44,20,1.5,0,71.4,-,-,-
65,45,interrupt,-,5,14,366,53,38,0.0,0,71.4,-,-,-
66,45,redeploy,2,1,19,510,183,139,2.0,0,71.4,772.7,772.7,1
67,45,redeploy,2,3,20,503,102,73,4.1,0,71.4,1537.7,768.9,2
68,45,redeploy,2,4,6,170,44,20,4.7,0,71.4,1932.0,644.0,3
69,45,redeploy,2,5,14,366,53,38,6.2,0,71.4,2544.4,636.1,4
70,45,remap_successfully,-,-,-,-,-,-,6.2,0,71.4,2544.4,636.1,4
71,45,drop,-,8,6,157,114,114,6.2,0,62.5,2544.4,636.1,4
72,47,create,5,9,4,86,18,18,6.2,0,62.5,2544.4,636.1,4
73,47,remap,-,-,-,-,-,-,-,-,-,-,-,-
74,47,interrupt,-,1,19,510,183,137,4.2,0,62.5,-,-,-
75,47,interrupt,-,3,20,503,102,71,2.1,0,62.5,-,-,-
76,47,interrupt,-,4,6,170,44,18,1.5,0,62.5,-,-,-
77,47,interrupt,-,5,14,366,53,36,0.0,0,62.5,-,-,-
78,47,redeploy,2,1,19,510,183,137,2.0,0,62.5,772.7,772.7,1
79,47,redeploy,2,3,20,503,102,71,4.1,0,62.5,1537.7,768.9,2
80,47,redeploy,2,4,6,170,44,18,4.7,0,62.5,1932.0,644.0,3
81,47,redeploy,2,5,14,366,53,36,6.2,0,62.5,2544.4,636.1,4
82,47,remap_successfully,-,-,-,-,-,-,6.2,0,62.5,2544.4,636.1,4
83,47,drop,-,9,4,86,18,18,6.2,0,55.6,2544.4,636.1,4
84,57,create,5,10,5,127,252,252,6.2,0,55.6,2544.4,636.1,4
85,57,remap,-,-,-,-,-,-,-,-,-,-,-,-
86,57,interrupt,-,1,19,510,183,127,4.2,0,55.6,-,-,-
87,57,interrupt,-,3,20,503,102,61,2.1,0,55.6,-,-,-
88,57,interrupt,-,4,6,170,44,8,1.5,0,55.6,-,-,-
89,57,interrupt,-,5,14,366,53,26,0.0,0,55.6,-,-,-
90,57,redeploy,2,1,19,510,183,127,2.0,0,55.6,772.7,772.7,1
91,57,redeploy,2,3,20,503,102,61,4.1,0,55.6,1537.7,768.9,2
92,57,redeploy,2,4,6,170,44,8,4.7,0,55.6,1932.0,644.0,3
93,57,redeploy,2,5,14,366,53,26,6.2,0,55.6,2544.4,636.1,4
94,57,remap_successfully,-,-,-,-,-,-,6.2,0,55.6,2544.4,636.1,4
95,57,drop,-,10,5,127,252,252,6.2,0,50.0,2544.4,636.1,4
96,58,create,7,11,20,487,90,90,6.2,0,50.0,2544.4,636.1,4
97,58,remap,-,-,-,-,-,-,-,-,-,-,-,-
98,58,interrupt,-,1,19,510,183,126,4.2,0,50.0,-,-,-
99,58,interrupt,-,3,20,503,102,60,2.1,0,50.0,-,-,-
100,58,interrupt,-,4,6,170,44,7,1.5,0,50.0,-,-,-
101,58,interrupt,-,5,14,366,53,25,0.0,0,50.0,-,-,-
102,58,redeploy,2,1,19,510,183,126,2.0,0,50.0,772.7,772.7,1
