id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,510,183,183,0.0,0,0.0,0,0.0,0
2,1,deploy,4,1,19,510,183,183,2.0,0,100.0,772.7,772.7,1
3,11,create,10,2,19,554,5,5,2.0,0,100.0,772.7,772.7,1
4,11,deploy,11,2,19,554,5,5,4.2,0,100.0,1594.4,797.2,2
5,16,create,5,3,20,503,102,102,4.2,0,100.0,1594.4,797.2,2
6,16,remove,11,2,19,554,5,0,2.0,0,100.0,772.7,772.7,1
7,16,deploy,4,3,20,503,102,102,4.0,0,100.0,1537.7,768.9,2
8,21,create,10,4,6,170,44,44,4.0,0,100.0,1537.7,768.9,2
9,21,deploy,11,4,6,170,44,44,4.7,0,100.0,1932.0,644.0,3
10,30,create,9,5,14,366,53,53,4.7,0,100.0,1932.0,644.0,3
11,30,deploy,6,5,14,366,53,53,6.1,0,100.0,2544.5,636.1,4
12,38,create,7,6,10,279,77,77,6.1,0,100.0,2544.5,636.1,4
13,38,deploy,6,6,10,279,77,77,7.3,0,100.0,3060.1000000000004,612.0,5
14,41,create,10,7,13,366,2,2,7.3,0,100.0,3060.1000000000004,612.0,5
15,41,deploy,1,7,13,366,2,2,8.7,0,100.0,3672.6,612.1,6
16,43,remove,1,7,13,366,2,0,7.3,0,100.0,3060.1000000000004,612.0,5
17,45,create,9,8,6,157,114,114,7.3,0,100.0,3060.1000000000004,612.0,5
18,45,deploy,11,8,6,157,114,114,7.9,0,100.0,3440.0,573.3,6
19,47,create,5,9,4,86,18,18,7.9,0,100.0,3440.0,573.3,6
20,47,deploy,1,9,4,86,18,18,8.2,0,100.0,3740.8,534.4,7
21,57,create,5,10,5,127,252,252,8.2,0,100.0,3740.8,534.4,7
22,57,deploy,1,10,5,127,252,252,8.7,0,100.0,4087.3,510.9,8
23,58,create,7,11,20,487,90,90,8.7,0,100.0,4087.3,510.9,8
24,58,drop,-,11,20,487,90,90,8.7,0,90.9,4087.3,510.9,8
25,59,create,7,12,10,252,145,145,8.7,0,90.9,4087.3,510.9,8
26,59,drop,-,12,10,252,145,145,8.7,0,83.3,4087.3,510.9,8
27,60,create,9,13,11,264,59,59,8.7,0,83.3,4087.3,510.9,8
28,60,deploy,1,13,11,264,59,59,9.8,0,84.6,4586.2,509.6,9
29,65,remove,11,4,6,170,44,0,9.1,0,84.6,4191.8,524.0,8
30,65,remove,1,9,4,86,18,0,8.8,0,84.6,3891.0,555.9,7
31,73,create,9,14,5,149,440,440,8.8,0,84.6,3891.0,555.9,7
32,73,drop,-,14,5,149,440,440,8.8,0,78.6,3891.0,555.9,7
33,75,create,5,15,14,305,118,118,8.8,0,78.6,3891.0,555.9,7
34,75,drop,-,15,14,305,118,118,8.8,0,73.3,3891.0,555.9,7
35,79,create,9,16,7,185,107,107,8.8,0,73.3,3891.0,555.9,7
36,79,deploy,6,16,7,185,107,107,9.5,0,75.0,4302.0,537.8,8
37,83,remove,6,5,14,366,53,0,8.0,0,75.0,3689.5,527.1,7
38,91,create,5,17,13,349,113,113,8.0,0,75.0,3689.5,527.1,7
39,91,create,9,18,7,187,275,275,8.0,0,75.0,3689.5,527.1,7
40,91,drop,-,17,13,349,113,113,8.0,0,70.6,3689.5,527.1,7
41,91,deploy,6,18,7,187,275,275,8.8,0,72.2,4102.8,512.9,8
42,92,create,9,19,20,473,88,88,8.8,0,72.2,4102.8,512.9,8
43,92,drop,-,19,20,473,88,88,8.8,0,68.4,4102.8,512.9,8
44,93,create,9,20,11,269,30,30,8.8,0,68.4,4102.8,512.9,8
45,93,deploy,6,20,11,269,30,30,9.8,0,70.0,4607.3,511.9,9
46,94,create,5,21,5,127,84,84,9.8,0,70.0,4607.3,511.9,9
47,94,drop,-,21,5,127,84,84,9.8,0,66.7,4607.3,511.9,9
48,100,create,10,22,16,427,25,25,9.8,0,66.7,4607.3,511.9,9
49,100,drop,-,22,16,427,25,25,9.8,0,63.6,4607.3,511.9,9
50,108,create,10,23,9,208,420,420,9.8,0,63.6,4607.3,511.9,9
51,108,drop,-,23,9,208,420,420,9.8,0,60.9,4607.3,511.9,9
52,109,create,5,24,17,516,6,6,9.8,0,60.9,4607.3,511.9,9
53,109,drop,-,24,17,516,6,6,9.8,0,58.3,4607.3,511.9,9
54,110,create,5,25,17,392,155,155,9.8,0,58.3,4607.3,511.9,9
55,110,deploy,1,25,17,392,155,155,11.4,0,60.0,5248.7,524.9,10
56,115,remove,6,6,10,279,77,0,10.3,0,60.0,4733.0,525.9,9
57,115,create,9,26,18,393,30,30,10.3,0,60.0,4733.0,525.9,9
58,115,deploy,11,26,18,393,30,30,11.9,0,61.5,5375.599999999999,537.6,10
59,118,remove,4,3,20,503,102,0,9.9,0,61.5,4610.599999999999,512.3,9
60,119,remove,1,13,11,264,59,0,8.8,0,61.5,4111.599999999999,513.9,8
61,119,create,5,27,4,101,242,242,8.8,0,61.5,4111.599999999999,513.9,8
62,119,drop,-,27,4,101,242,242,8.8,0,59.3,4111.599999999999,513.9,8
63,120,create,7,28,4,79,76,76,8.8,0,59.3,4111.599999999999,513.9,8
64,120,drop,-,28,4,79,76,76,8.8,0,57.1,4111.599999999999,513.9,8
65,121,create,5,29,19,487,120,120,8.8,0,57.1,4111.599999999999,513.9,8
66,121,drop,-,29,19,487,120,120,8.8,0,55.2,4111.599999999999,513.9,8
67,123,remove,6,20,11,269,30,0,7.7,0,55.2,3607.1,515.3,7
68,124,create,5,30,10,259,70,70,7.7,0,55.2,3607.1,515.3,7
