id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,7,1,4,107,37,37,0.0,0,0.0,0,-
2,1,remap,-,-,-,-,-,-,-,-,-,-,-
3,1,remap_successfully,-,-,-,-,-,-,0.0,0,0.0,0,-
4,1,deploy,2,1,4,107,37,37,0.4,572.6,572.6,2,-
5,17,create,5,2,9,203,41,41,0.4,572.6,572.6,2,-
6,17,create,10,3,6,135,127,127,0.4,572.6,572.6,2,-
7,17,remap,-,-,-,-,-,-,-,-,-,-,-
8,17,interrupt,-,1,4,107,37,21,0.0,-,-,-,-
9,17,redeploy,2,1,4,107,37,21,0.4,572.6,572.6,2,-
10,17,remap_successfully,-,-,-,-,-,-,0.4,572.6,572.6,2,-
11,17,deploy,2,2,9,203,41,41,1.2,1457.2,728.6,5,-
12,17,remap,-,-,-,-,-,-,-,-,-,-,-
13,17,interrupt,-,1,4,107,37,21,0.8,-,-,-,-
14,17,interrupt,-,2,9,203,41,41,0.0,-,-,-,-
15,17,redeploy,2,2,9,203,41,41,0.8,884.6,884.6,3,-
16,17,redeploy,2,1,4,107,37,21,1.2,1457.2,728.6,5,-
17,17,remap_successfully,-,-,-,-,-,-,1.2,1457.2,728.6,5,-
18,17,deploy,2,3,6,135,127,127,1.8,2061.0,687.0,7,-
19,21,create,5,4,5,123,85,85,1.8,2061.0,687.0,7,-
20,21,remap,-,-,-,-,-,-,-,-,-,-,-
21,21,interrupt,-,2,9,203,41,37,1.0,-,-,-,-
22,21,interrupt,-,1,4,107,37,17,0.5,-,-,-,-
23,21,interrupt,-,3,6,135,127,123,0.0,-,-,-,-
24,21,redeploy,2,2,9,203,41,37,0.8,884.6,884.6,3,-
25,21,redeploy,2,3,6,135,127,123,1.4,1488.4,744.2,5,-
26,21,redeploy,2,1,4,107,37,17,1.8,2061.0,687.0,7,-
27,21,remap_successfully,-,-,-,-,-,-,1.8,2061.0,687.0,7,-
28,21,deploy,2,4,10,123,85,85,2.3,2855.4,713.9,10,-
29,24,create,9,5,4,84,76,76,2.3,2855.4,713.9,10,-
30,24,remap,-,-,-,-,-,-,-,-,-,-,-
31,24,interrupt,-,2,9,203,41,34,1.5,-,-,-,-
32,24,interrupt,-,3,6,135,127,120,0.9,-,-,-,-
33,24,interrupt,-,1,4,107,37,14,0.5,-,-,-,-
34,24,interrupt,-,4,10,123,85,82,0.0,-,-,-,-
35,24,redeploy,2,4,10,123,85,82,0.5,589.3,589.3,2,-
36,24,redeploy,2,2,9,203,41,34,1.3,1473.9,737.0,5,-
37,24,redeploy,2,3,6,135,127,120,1.8,2077.7,692.6,7,-
38,24,redeploy,2,1,4,107,37,14,2.3,2650.3,662.6,9,-
39,24,remap_successfully,-,-,-,-,-,-,2.3,2650.3,662.6,9,-
40,24,deploy,2,5,8,84,76,76,2.6,2948.9,589.8,10,-
41,28,create,5,6,10,196,111,111,2.6,2948.9,589.8,10,-
42,28,remap,-,-,-,-,-,-,-,-,-,-,-
43,28,interrupt,-,4,10,123,85,78,2.1,-,-,-,-
44,28,interrupt,-,2,9,203,41,30,1.3,-,-,-,-
45,28,interrupt,-,3,6,135,127,116,0.8,-,-,-,-
46,28,interrupt,-,1,4,107,37,10,0.3,-,-,-,-
47,28,interrupt,-,5,8,84,76,72,0.0,-,-,-,-
48,28,redeploy,2,4,10,123,85,78,0.5,589.3,589.3,2,-
49,28,redeploy,2,2,9,203,41,30,1.3,1473.9,737.0,5,-
50,28,redeploy,2,5,8,84,76,72,1.6,1772.5,590.8,6,-
51,28,redeploy,2,3,6,135,127,116,2.2,2376.3,594.1,8,-
52,28,redeploy,2,1,4,107,37,10,2.6,2948.9,589.8,10,-
53,28,remap_successfully,-,-,-,-,-,-,2.6,2948.9,589.8,10,-
54,28,deploy,2,6,10,196,111,111,3.4,3825.7,637.6,13,-
55,30,create,7,7,7,153,97,97,3.4,3825.7,637.6,13,-
56,30,remap,-,-,-,-,-,-,-,-,-,-,-
57,30,interrupt,-,4,10,123,85,76,2.9,-,-,-,-
58,30,interrupt,-,2,9,203,41,28,2.1,-,-,-,-
59,30,interrupt,-,5,8,84,76,70,1.8,-,-,-,-
60,30,interrupt,-,3,6,135,127,114,1.2,-,-,-,-
61,30,interrupt,-,1,4,107,37,8,0.8,-,-,-,-
62,30,interrupt,-,6,10,196,111,109,0.0,-,-,-,-
63,30,redeploy,2,4,10,123,85,76,0.5,589.3,589.3,2,-
64,30,redeploy,2,6,10,196,111,109,1.3,1466.1,733.0,5,-
65,30,redeploy,2,2,9,203,41,28,2.1,2350.8,783.6,8,-
66,30,redeploy,2,5,8,84,76,70,2.4,2649.3,662.3,9,-
67,30,redeploy,2,3,6,135,127,114,3.0,3253.1,650.6,11,-
68,30,redeploy,2,1,4,107,37,8,3.4,3825.7,637.6,13,-
69,30,remap_successfully,-,-,-,-,-,-,3.4,3825.7,637.6,13,-
70,30,deploy,2,7,7,153,97,97,4.0,4201.2,600.2,14,-
71,34,create,9,8,7,167,84,84,4.0,4201.2,600.2,14,-
72,34,remap,-,-,-,-,-,-,-,-,-,-,-
73,34,interrupt,-,4,10,123,85,72,3.5,-,-,-,-
74,34,interrupt,-,6,10,196,111,105,2.7,-,-,-,-
75,34,interrupt,-,2,9,203,41,24,1.9,-,-,-,-
76,34,interrupt,-,5,8,84,76,66,1.6,-,-,-,-
77,34,interrupt,-,3,6,135,127,110,1.0,-,-,-,-
78,34,interrupt,-,1,4,107,37,4,0.6,-,-,-,-
79,34,interrupt,-,7,7,153,97,93,0.0,-,-,-,-
80,34,redeploy,2,4,10,123,85,72,0.5,589.3,589.3,2,-
81,34,redeploy,2,6,10,196,111,105,1.3,1466.1,733.0,5,-
82,34,redeploy,2,2,9,203,41,24,2.1,2350.8,783.6,8,-
83,34,redeploy,2,5,8,84,76,66,2.4,2649.3,662.3,9,-
84,34,redeploy,2,7,7,153,97,93,3.0,3273.2,654.6,11,-
85,34,redeploy,2,3,6,135,127,110,3.6,3877.0,646.2,13,-
86,34,redeploy,2,1,4,107,37,4,4.0,4201.2,600.2,14,-
87,34,remap_successfully,-,-,-,-,-,-,4.0,4201.2,600.2,14,-
88,34,drop,-,8,7,167,84,84,4.0,4201.2,600.2,14,-
89,38,remove,2,1,4,107,37,0,3.6,3833.7,638.9,13,-
