id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,9,1,4,85,65,65,0.0,0,0.0,0,-
2,1,remap,-,-,-,-,-,-,-,-,-,-,-
3,1,remap_successfully,-,-,-,-,-,-,0.0,0,0.0,0,-
4,1,deploy,4,1,4,85,65,65,0.3,299.7,299.7,1,-
5,11,create,10,2,7,162,414,414,0.3,299.7,299.7,1,-
6,11,remap,-,-,-,-,-,-,-,-,-,-,-
7,11,interrupt,-,1,4,85,65,55,0.0,-,-,-,-
8,11,redeploy,4,1,4,85,65,55,0.3,299.7,299.7,1,-
9,11,remap_successfully,-,-,-,-,-,-,0.3,299.7,299.7,1,-
10,11,deploy,11,2,7,162,414,414,1.0,932.7,466.4,3,-
11,16,create,5,3,10,231,26,26,1.0,932.7,466.4,3,-
12,16,remap,-,-,-,-,-,-,-,-,-,-,-
13,16,interrupt,-,1,4,85,65,50,0.6,-,-,-,-
14,16,interrupt,-,2,7,162,414,409,0.0,-,-,-,-
15,16,redeploy,11,2,7,162,414,409,0.6,633.0,633.0,3,-
16,16,redeploy,4,1,4,85,65,50,1.0,932.7,466.4,3,-
17,16,remap_successfully,-,-,-,-,-,-,1.0,932.7,466.4,3,-
18,16,deploy,4,3,10,231,26,26,1.9,2013.4,671.1,6,-
19,22,create,10,4,7,167,30,30,1.9,2013.4,671.1,6,-
20,22,remap,-,-,-,-,-,-,-,-,-,-,-
21,22,interrupt,-,2,7,162,414,403,1.3,-,-,-,-
22,22,interrupt,-,1,4,85,65,44,0.9,-,-,-,-
23,22,interrupt,-,3,10,231,26,20,0.0,-,-,-,-
24,22,redeploy,4,3,10,231,26,20,0.9,914.1,914.1,5,-
25,22,redeploy,11,2,7,162,414,403,1.6,1547.1,773.5,5,-
26,22,redeploy,4,1,4,85,65,44,1.9,1846.8,615.6,6,-
27,22,remap_successfully,-,-,-,-,-,-,1.9,1846.8,615.6,6,-
28,22,deploy,11,4,7,167,30,30,2.6,2485.3,621.3,8,-
29,24,create,10,5,10,246,102,102,2.6,2485.3,621.3,8,-
30,24,remap,-,-,-,-,-,-,-,-,-,-,-
31,24,interrupt,-,3,10,231,26,18,1.6,-,-,-,-
32,24,interrupt,-,2,7,162,414,401,1.0,-,-,-,-
33,24,interrupt,-,1,4,85,65,42,0.7,-,-,-,-
34,24,interrupt,-,4,7,167,30,28,0.0,-,-,-,-
35,24,redeploy,4,3,10,231,26,18,0.9,914.1,914.1,7,-
36,24,redeploy,11,2,7,162,414,401,1.6,1547.1,773.5,5,-
37,24,redeploy,11,4,7,167,30,28,2.2,2185.6,728.5,7,-
38,24,redeploy,4,1,4,85,65,42,2.6,2485.3,621.3,8,-
39,24,remap_successfully,-,-,-,-,-,-,2.6,2485.3,621.3,8,-
40,24,deploy,11,5,10,246,102,102,3.5,3417.0,683.4,11,-
41,26,create,5,6,6,132,131,131,3.5,3417.0,683.4,11,-
42,26,remap,-,-,-,-,-,-,-,-,-,-,-
43,26,interrupt,-,3,10,231,26,16,2.6,-,-,-,-
44,26,interrupt,-,2,7,162,414,399,2.0,-,-,-,-
45,26,interrupt,-,4,7,167,30,26,1.3,-,-,-,-
46,26,interrupt,-,1,4,85,65,40,1.0,-,-,-,-
47,26,interrupt,-,5,10,246,102,100,0.0,-,-,-,-
48,26,redeploy,4,3,10,231,26,16,0.9,914.1,914.1,10,-
49,26,redeploy,11,5,10,246,102,100,1.9,1845.7,922.9,6,-
50,26,redeploy,11,2,7,162,414,399,2.5,2478.7,826.2,8,-
51,26,redeploy,11,4,7,167,30,26,3.2,3117.2999999999997,779.3,10,-
52,26,redeploy,4,1,4,85,65,40,3.5,3417.0,683.4,11,-
53,26,remap_successfully,-,-,-,-,-,-,3.5,3417.0,683.4,11,-
54,26,deploy,4,6,6,132,131,131,4.1,4015.7999999999997,669.3,13,-
55,29,create,10,7,8,198,167,167,4.1,4015.7999999999997,669.3,13,-
56,29,remap,-,-,-,-,-,-,-,-,-,-,-
57,29,interrupt,-,3,10,231,26,13,3.1,-,-,-,-
58,29,interrupt,-,5,10,246,102,97,2.2,-,-,-,-
59,29,interrupt,-,2,7,162,414,396,1.5,-,-,-,-
60,29,interrupt,-,4,7,167,30,23,0.9,-,-,-,-
61,29,interrupt,-,1,4,85,65,37,0.5,-,-,-,-
62,29,interrupt,-,6,6,132,131,128,0.0,-,-,-,-
63,29,redeploy,4,3,10,231,26,13,0.9,914.1,914.1,10,-
64,29,redeploy,11,5,10,246,102,97,1.9,1845.7,922.9,6,-
65,29,redeploy,11,2,7,162,414,396,2.5,2478.7,826.2,8,-
66,29,redeploy,11,4,7,167,30,23,3.2,3117.2999999999997,779.3,10,-
67,29,redeploy,4,6,6,132,131,128,3.7,3716.1,743.2,12,-
68,29,redeploy,4,1,4,85,65,37,4.1,4015.7999999999997,669.3,13,-
69,29,remap_successfully,-,-,-,-,-,-,4.1,4015.7999999999997,669.3,13,-
70,29,deploy,11,7,8,198,167,167,4.8,4894.0,699.1,16,-
71,36,create,9,8,8,173,15,15,4.8,4894.0,699.1,16,-
72,36,remap,-,-,-,-,-,-,-,-,-,-,-
73,36,interrupt,-,3,10,231,26,6,3.9,-,-,-,-
74,36,interrupt,-,5,10,246,102,90,3.0,-,-,-,-
75,36,interrupt,-,2,7,162,414,389,2.3,-,-,-,-
76,36,interrupt,-,4,7,167,30,16,1.6,-,-,-,-
77,36,interrupt,-,6,6,132,131,121,1.1,-,-,-,-
78,36,interrupt,-,1,4,85,65,30,0.8,-,-,-,-
79,36,interrupt,-,7,8,198,167,160,0.0,-,-,-,-
80,36,redeploy,4,3,10,231,26,6,0.9,914.1,914.1,13,-
81,36,redeploy,11,5,10,246,102,90,1.9,1845.7,922.9,6,-
82,36,redeploy,11,7,8,198,167,160,2.7,2724.0,908.0,9,-
83,36,redeploy,11,2,7,162,414,389,3.3,3356.9,839.2,11,-
84,36,redeploy,11,4,7,167,30,16,4.0,3995.5,799.1,13,-
85,36,interrupt,-,3,10,231,26,6,3.1,-,-,-,-
86,36,interrupt,-,5,10,246,102,90,2.1,-,-,-,-
87,36,interrupt,-,7,8,198,167,160,1.3,-,-,-,-
88,36,interrupt,-,2,7,162,414,389,0.7,-,-,-,-
89,36,interrupt,-,4,7,167,30,16,0.0,-,-,-,-
90,36,redeploy,4,3,10,231,26,6,0.9,914.1,914.1,13,-
91,36,redeploy,11,5,10,246,102,90,1.9,1845.7,922.9,6,-
92,36,redeploy,11,7,8,198,167,160,2.7,2724.0,908.0,9,-
93,36,redeploy,11,2,7,162,414,389,3.3,3356.9,839.2,11,-
94,36,redeploy,11,4,7,167,30,16,4.0,3995.5,799.1,13,-
95,36,redeploy,4,6,6,132,131,121,4.5,4594.3,765.7,15,-
96,36,redeploy,4,1,4,85,65,30,4.8,4894.0,699.1,16,-
97,36,remap_failed,-,-,-,-,-,-,4.8,4894.0,699.1,16,-
98,36,deploy,4,8,8,173,15,15,5.5,5538.4,692.3,18,-
99,38,create,7,9,6,111,178,178,5.5,5538.4,692.3,18,-
100,38,remap,-,-,-,-,-,-,-,-,-,-,-
101,38,interrupt,-,3,10,231,26,4,4.6,-,-,-,-
102,38,interrupt,-,5,10,246,102,88,3.6,-,-,-,-
103,38,interrupt,-,7,8,198,167,158,2.9,-,-,-,-
104,38,interrupt,-,2,7,162,414,387,2.2,-,-,-,-
105,38,interrupt,-,4,7,167,30,14,1.5,-,-,-,-
106,38,interrupt,-,6,6,132,131,119,1.0,-,-,-,-
107,38,interrupt,-,1,4,85,65,28,0.7,-,-,-,-
108,38,interrupt,-,8,8,173,15,13,0.0,-,-,-,-
109,38,redeploy,4,3,10,231,26,4,0.9,914.1,914.1,13,-
110,38,redeploy,11,5,10,246,102,88,1.9,1845.7,922.9,6,-
111,38,redeploy,11,7,8,198,167,158,2.7,2724.0,908.0,9,-
112,38,redeploy,4,8,8,173,15,13,3.4,3368.4,842.1,11,-
113,38,redeploy,11,2,7,162,414,387,4.0,4001.3,800.3,13,-
114,38,redeploy,11,4,7,167,30,14,4.7,4639.9,773.3,15,-
115,38,interrupt,-,3,10,231,26,4,3.8,-,-,-,-
116,38,interrupt,-,5,10,246,102,88,2.8,-,-,-,-
