id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,7,1,4,107,37,37,0.0,0,0.0,0,-
2,1,deploy,2,1,4,107,37,37,0.4,572.6,572.6,2,-
3,17,create,5,2,9,203,41,41,0.4,572.6,572.6,2,-
4,17,create,10,3,6,135,127,127,0.4,572.6,572.6,2,-
5,17,deploy,2,2,9,203,41,41,1.2,1457.2,728.6,5,-
6,17,deploy,2,3,6,135,127,127,1.8,2061.0,687.0,7,-
7,21,create,5,4,5,123,85,85,1.8,2061.0,687.0,7,-
8,21,deploy,2,4,10,123,85,85,2.3,2855.4,713.9,10,-
9,24,create,9,5,4,84,76,76,2.3,2855.4,713.9,10,-
10,24,deploy,2,5,8,84,76,76,2.6,3197.2,639.4,11,-
11,28,create,5,6,10,196,111,111,2.6,3197.2,639.4,11,-
12,28,deploy,2,6,10,196,111,111,3.4,3825.7,637.6,13,-
13,30,create,7,7,7,153,97,97,3.4,3825.7,637.6,13,-
14,30,deploy,2,7,7,153,97,97,4.0,4406.3,629.5,15,-
15,34,create,9,8,7,167,84,84,4.0,4406.3,629.5,15,-
16,34,drop,-,8,7,167,84,84,4.0,4406.3,629.5,15,-
17,38,remove,2,1,4,107,37,0,3.6,3833.7,638.9,13,-
18,56,create,7,9,6,134,380,380,3.6,3833.7,638.9,13,-
19,56,deploy,2,9,6,134,380,380,4.1,4436.3,633.8,15,-
20,58,remove,2,2,9,203,41,0,3.3,3551.7,591.9,12,-
21,64,create,10,10,10,237,301,301,3.3,3551.7,591.9,12,-
22,64,deploy,2,10,10,237,301,301,4.2,4474.1,639.2,15,-
23,71,create,5,11,4,97,210,210,4.2,4474.1,639.2,15,-
24,71,deploy,2,11,8,97,210,210,4.6,4786.2,598.3,16,-
25,77,create,10,12,10,214,42,42,4.6,4786.2,598.3,16,-
26,77,drop,-,12,10,214,42,42,4.6,4786.2,598.3,16,-
27,78,create,9,13,5,106,224,224,4.6,4786.2,598.3,16,-
28,78,drop,-,13,5,106,224,224,4.6,4786.2,598.3,16,-
29,80,create,10,14,5,103,162,162,4.6,4786.2,598.3,16,-
30,80,drop,-,14,5,103,162,162,4.6,4786.2,598.3,16,-
31,86,create,5,15,9,190,132,132,4.6,4786.2,598.3,16,-
32,86,drop,-,15,9,190,132,132,4.6,4786.2,598.3,16,-
33,89,create,5,16,9,189,22,22,4.6,4786.2,598.3,16,-
34,89,drop,-,16,9,189,22,22,4.6,4786.2,598.3,16,-
35,96,create,10,17,5,134,79,79,4.6,4786.2,598.3,16,-
36,96,drop,-,17,5,134,79,79,4.6,4786.2,598.3,16,-
37,98,create,5,18,4,95,22,22,4.6,4786.2,598.3,16,-
38,98,drop,-,18,4,95,22,22,4.6,4786.2,598.3,16,-
39,100,remove,2,5,8,84,76,0,4.3,4649.3,664.2,16,-
40,105,create,7,19,6,145,298,298,4.3,4649.3,664.2,16,-
41,105,deploy,2,19,6,145,298,298,4.9,5015.9,627.0,17,-
42,106,remove,2,4,10,123,85,0,4.4,4631.6,661.7,16,-
43,117,create,10,20,7,176,183,183,4.4,4631.6,661.7,16,-
44,117,deploy,2,20,7,176,183,183,5.1,5076.0,634.5,17,-
45,123,create,7,21,6,150,52,52,5.1,5076.0,634.5,17,-
46,123,drop,-,21,6,150,52,52,5.1,5076.0,634.5,17,-
47,124,create,5,22,6,136,169,169,5.1,5076.0,634.5,17,-
48,124,drop,-,22,6,136,169,169,5.1,5076.0,634.5,17,-
49,127,remove,2,7,7,153,97,0,4.5,4452.1,636.0,15,-
50,131,create,7,23,6,150,123,123,4.5,4452.1,636.0,15,-
51,131,deploy,2,23,6,150,123,123,5.1,5072.7,634.1,17,-
52,134,create,10,24,10,213,155,155,5.1,5072.7,634.1,17,-
53,134,deploy,2,24,10,213,155,155,5.9,5720.1,635.6,19,-
54,136,create,7,25,5,99,151,151,5.9,5720.1,635.6,19,-
55,136,drop,-,25,5,99,151,151,5.9,5720.1,635.6,19,-
56,137,create,7,26,8,162,216,216,5.9,5720.1,635.6,19,-
57,137,drop,-,26,8,162,216,216,5.9,5720.1,635.6,19,-
58,138,create,7,27,4,86,91,91,5.9,5720.1,635.6,19,-
59,138,drop,-,27,4,86,91,91,5.9,5720.1,635.6,19,-
60,139,remove,2,6,10,196,111,0,5.1,4886.6,610.8,16,-
61,139,create,10,28,7,169,268,268,5.1,4886.6,610.8,16,-
62,139,drop,-,28,7,169,268,268,5.1,4886.6,610.8,16,-
63,143,create,7,29,6,159,17,17,5.1,4886.6,610.8,16,-
64,143,deploy,2,29,6,159,17,17,5.8,5517.1,613.0,18,-
65,144,remove,2,3,6,135,127,0,5.2,5118.3,639.8,17,-
66,145,create,9,30,10,250,284,284,5.2,5118.3,639.8,17,-
67,145,deploy,2,30,10,250,284,284,6.2,6012.0,668.0,20,-
68,149,create,9,31,8,187,1,1,6.2,6012.0,668.0,20,-
69,149,drop,-,31,8,187,1,1,6.2,6012.0,668.0,20,-
70,152,create,9,32,4,91,12,12,6.2,6012.0,668.0,20,-
71,152,drop,-,32,4,91,12,12,6.2,6012.0,668.0,20,-
72,153,create,5,33,10,216,45,45,6.2,6012.0,668.0,20,-
73,153,drop,-,33,10,216,45,45,6.2,6012.0,668.0,20,-
74,156,create,10,34,10,201,40,40,6.2,6012.0,668.0,20,-
75,156,drop,-,34,10,201,40,40,6.2,6012.0,668.0,20,-
76,159,create,9,35,10,211,123,123,6.2,6012.0,668.0,20,-
77,159,drop,-,35,10,211,123,123,6.2,6012.0,668.0,20,-
78,160,remove,2,29,6,159,17,0,5.6,5629.9,703.7,19,-
