id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,7,1,4,107,37,37,0.0,0,0.0,0,-
2,1,deploy,6,1,4,107,37,37,0.4,570.9,570.9,2,-
3,17,create,5,2,9,203,41,41,0.4,570.9,570.9,2,-
4,17,create,10,3,6,135,127,127,0.4,570.9,570.9,2,-
5,17,deploy,4,2,9,203,41,41,1.2,1453.8,726.9,5,-
6,17,deploy,11,3,6,135,127,127,1.8,2056.7,685.6,7,-
7,21,create,5,4,5,123,85,85,1.8,2056.7,685.6,7,-
8,21,deploy,4,4,10,123,85,85,2.3,2849.5,712.4,10,-
9,24,create,9,5,4,84,76,76,2.3,2849.5,712.4,10,-
10,24,deploy,4,5,8,84,76,76,2.6,3189.6,637.9,11,-
11,28,create,5,6,10,196,111,111,2.6,3189.6,637.9,11,-
12,28,deploy,4,6,10,196,111,111,3.4,3984.7000000000003,664.1,13,-
13,30,create,7,7,7,153,97,97,3.4,3984.7000000000003,664.1,13,-
14,30,deploy,6,7,7,153,97,97,4.0,4606.7,658.1,15,-
15,34,create,9,8,7,167,84,84,4.0,4606.7,658.1,15,-
16,34,deploy,6,8,7,167,84,84,4.6,5244.5,655.6,17,-
17,38,remove,6,1,4,107,37,0,4.2,4673.5,667.6,15,-
18,56,create,7,9,6,134,380,380,4.2,4673.5,667.6,15,-
19,56,deploy,6,9,6,134,380,380,4.7,5274.4,659.3,17,-
20,58,remove,4,2,9,203,41,0,3.9,4391.4,627.3,14,-
21,64,create,10,10,10,237,301,301,3.9,4391.4,627.3,14,-
22,64,deploy,11,10,10,237,301,301,4.9,5313.1,664.1,17,-
23,71,create,5,11,4,97,210,210,4.9,5313.1,664.1,17,-
24,71,deploy,4,11,8,97,210,210,5.3,5625.1,625.0,18,-
25,77,create,10,12,10,214,42,42,5.3,5625.1,625.0,18,-
26,77,deploy,11,12,20,214,42,42,6.1,6726.2,672.6,22,-
27,78,create,9,13,5,106,224,224,6.1,6726.2,672.6,22,-
28,78,deploy,11,13,5,106,224,224,6.5,7091.7,644.7,23,-
29,80,create,10,14,5,103,162,162,6.5,7091.7,644.7,23,-
30,80,deploy,1,14,10,103,162,162,6.9,7657.2,638.1,25,-
31,86,create,5,15,9,190,132,132,6.9,7657.2,638.1,25,-
32,86,deploy,1,15,9,190,132,132,7.7,8319.599999999999,640.0,27,-
33,89,create,5,16,9,189,22,22,7.7,8319.599999999999,640.0,27,-
34,89,deploy,1,16,9,189,22,22,8.4,9103.5,650.2,29,-
35,96,create,10,17,5,134,79,79,8.4,9103.5,650.2,29,-
36,96,deploy,1,17,5,134,79,79,9.0,9703.599999999999,646.9,31,-
37,98,create,5,18,4,95,22,22,9.0,9703.599999999999,646.9,31,-
38,98,drop,-,18,4,95,22,22,9.0,9703.599999999999,646.9,31,-
39,100,remove,4,5,8,84,76,0,8.6,9610.099999999999,686.4,31,-
40,105,create,7,19,6,145,298,298,8.6,9610.099999999999,686.4,31,-
41,105,deploy,4,19,6,145,298,298,9.2,10223.3,681.6,33,-
42,106,remove,4,4,10,123,85,0,8.7,9430.599999999999,673.6,30,-
43,111,remove,1,16,9,189,22,0,8.0,8646.7,665.1,28,-
44,117,create,10,20,7,176,183,183,8.0,8646.7,665.1,28,-
45,117,deploy,1,20,7,176,183,183,8.7,9211.0,657.9,29,-
46,118,remove,6,8,7,167,84,0,8.0,8573.3,659.5,27,-
47,119,remove,11,12,20,214,42,0,7.2,7677.3,639.8,24,-
48,123,create,7,21,6,150,52,52,7.2,7677.3,639.8,24,-
49,123,deploy,6,21,6,150,52,52,7.8,8296.1,638.2,26,-
50,124,create,5,22,6,136,169,169,7.8,8296.1,638.2,26,-
51,124,deploy,4,22,6,136,169,169,8.3,8899.3,635.7,28,-
52,127,remove,6,7,7,153,97,0,7.7,8277.3,636.7,26,-
53,131,create,7,23,6,150,123,123,7.7,8277.3,636.7,26,-
54,131,deploy,6,23,6,150,123,123,8.3,8896.0,635.4,28,-
55,134,create,10,24,10,213,155,155,8.3,8896.0,635.4,28,-
56,134,deploy,11,24,10,213,155,155,9.1,9790.9,652.7,31,-
57,136,create,7,25,5,99,151,151,9.1,9790.9,652.7,31,-
58,136,deploy,6,25,5,99,151,151,9.5,10106.3,631.6,32,-
59,137,create,7,26,8,162,216,216,9.5,10106.3,631.6,32,-
60,137,drop,-,26,8,162,216,216,9.5,10106.3,631.6,32,-
61,138,create,7,27,4,86,91,91,9.5,10106.3,631.6,32,-
62,138,drop,-,27,4,86,91,91,9.5,10106.3,631.6,32,-
63,139,remove,4,6,10,196,111,0,8.8,9064.6,604.3,29,-
64,139,create,10,28,7,169,268,268,8.8,9064.6,604.3,29,-
65,139,deploy,4,28,7,169,268,268,9.4,9704.5,606.5,31,-
66,143,create,7,29,6,159,17,17,9.4,9704.5,606.5,31,-
67,143,deploy,1,29,6,159,17,17,10.1,10332.5,607.8,33,-
68,144,remove,11,3,6,135,127,0,9.5,9729.6,608.1,31,-
69,145,create,9,30,10,250,284,284,9.5,9729.6,608.1,31,-
70,145,deploy,11,30,10,250,284,284,10.5,10665.7,627.4,34,-
71,149,create,9,31,8,187,1,1,10.5,10665.7,627.4,34,-
72,149,deploy,11,31,8,187,1,1,11.2,11284.1,626.9,36,-
73,150,remove,11,31,8,187,1,0,10.5,10623.2,624.9,34,-
