id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,9,1,4,85,65,65,0,0,0,0,-
2,1,deploy,1,1,4,85,65,65,0.3,299.7,299.7,1,-
3,11,create,10,2,7,162,414,414,0.3,299.7,299.7,1,-
4,11,deploy,1,2,7,162,414,414,1,1012.6,506.3,3,-
5,16,create,5,3,10,231,26,26,1,1012.6,506.3,3,-
6,16,deploy,4,3,10,231,26,26,1.9,1926.7,642.2,6,-
7,22,create,10,4,7,167,30,30,1.9,1926.7,642.2,6,-
8,22,deploy,4,4,7,167,30,30,2.6,2606.2,651.5,8,-
9,24,create,10,5,10,246,102,102,2.6,2606.2,651.5,8,-
10,24,deploy,6,5,10,246,102,102,3.5,3537,707.4,11,-
11,26,create,5,6,6,132,131,131,3.5,3537,707.4,11,-
12,26,deploy,11,6,6,132,131,131,4.1,4136.6,689.4,13,-
13,29,create,10,7,8,198,167,167,4.1,4136.6,689.4,13,-
14,29,deploy,11,7,8,198,167,167,4.8,4767.3,681,15,-
15,36,create,9,8,8,173,15,15,4.8,4767.3,681,15,-
16,36,deploy,6,8,8,173,15,15,5.5,5453.4,681.7,17,-
17,38,create,7,9,6,111,178,178,5.5,5453.4,681.7,17,-
18,38,deploy,6,9,6,111,178,178,6,5782.1,642.5,18,-
19,42,remove,4,3,10,231,26,0,5.1,5114.7,639.3,16,-
20,43,create,7,10,10,221,163,163,5.1,5114.7,639.3,16,-
21,43,deploy,4,10,10,221,163,163,5.9,5770.9,641.2,18,-
22,48,create,5,11,8,179,34,34,5.9,5770.9,641.2,18,-
23,48,deploy,4,11,8,179,34,34,6.6,6422.1,642.2,20,-
24,49,create,7,12,9,204,239,239,6.6,6422.1,642.2,20,-
25,49,deploy,6,12,9,204,239,239,7.5,7101.2,645.6,22,-
26,51,remove,6,8,8,173,15,0,6.8,6703.5,670.4,21,-
27,52,remove,4,4,7,167,30,0,6.1,6312.4,701.4,20,-
28,66,remove,1,1,4,85,65,0,5.8,6012.7,751.6,19,-
29,68,create,10,13,8,158,54,54,5.8,6012.7,751.6,19,-
30,68,deploy,1,13,8,158,54,54,6.4,6598.9,733.2,21,-
31,73,create,10,14,7,137,268,268,6.4,6598.9,733.2,21,-
32,73,deploy,11,14,7,137,268,268,6.9,7246.7,724.7,23,-
33,82,remove,4,11,8,179,34,0,6.2,6553.9,728.2,21,-
34,90,create,7,15,10,222,17,17,6.2,6553.9,728.2,21,-
35,90,deploy,4,15,10,222,17,17,7.1,7047.9,704.8,22,-
36,94,create,10,16,10,207,156,156,7.1,7047.9,704.8,22,-
