id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,9,1,4,85,65,65,0,0,0,0,-
2,1,remap,-,-,-,-,-,-,-,-,-,-,-
3,1,remap_successfully,-,-,-,-,-,-,0,0,0,0,-
4,1,deploy,1,1,4,85,65,65,0.3,299.7,299.7,1,-
5,11,create,10,2,7,162,414,414,0.3,299.7,299.7,1,-
6,11,remap,-,-,-,-,-,-,-,-,-,-,-
7,11,interrupt,-,1,4,85,65,55,0,-,-,-,-
8,11,redeploy,1,1,4,85,65,55,0.3,299.7,299.7,1,-
9,11,remap_successfully,-,-,-,-,-,-,0.3,299.7,299.7,1,-
10,11,deploy,1,2,7,162,414,414,1,1012.6,506.3,3,-
11,16,create,5,3,10,231,26,26,1,1012.6,506.3,3,-
12,16,remap,-,-,-,-,-,-,-,-,-,-,-
13,16,interrupt,-,1,4,85,65,50,0.6,-,-,-,-
14,16,interrupt,-,2,7,162,414,409,0,-,-,-,-
15,16,redeploy,1,2,7,162,414,409,0.6,631.3,631.3,2,-
16,16,redeploy,1,1,4,85,65,50,1,1012.4,506.2,3,-
17,16,remap_successfully,-,-,-,-,-,-,1,1012.4,506.2,3,-
18,16,deploy,4,3,10,231,26,26,1.9,1926.5,642.2,6,-
19,22,create,10,4,7,167,30,30,1.9,1926.5,642.2,6,-
20,22,remap,-,-,-,-,-,-,-,-,-,-,-
21,22,interrupt,-,2,7,162,414,403,1.3,-,-,-,-
22,22,interrupt,-,1,4,85,65,44,0.9,-,-,-,-
23,22,interrupt,-,3,10,231,26,20,0,-,-,-,-
24,22,redeploy,1,3,10,231,26,20,0.9,994.9,994.9,6,-
25,22,redeploy,1,2,7,162,414,403,1.6,1707.5,853.8,8,-
26,22,redeploy,4,1,4,85,65,44,1.9,2007.2,669.1,6,-
27,22,remap_successfully,-,-,-,-,-,-,1.9,2007.2,669.1,6,-
28,22,deploy,4,4,7,167,30,30,2.6,2644.9,661.2,8,-
29,24,create,10,5,10,246,102,102,2.6,2644.9,661.2,8,-
30,24,remap,-,-,-,-,-,-,-,-,-,-,-
31,24,interrupt,-,3,10,231,26,18,1.6,-,-,-,-
32,24,interrupt,-,2,7,162,414,401,1,-,-,-,-
33,24,interrupt,-,1,4,85,65,42,0.7,-,-,-,-
34,24,interrupt,-,4,7,167,30,28,0,-,-,-,-
35,24,redeploy,1,3,10,231,26,18,0.9,994.9,994.9,6,-
36,24,redeploy,1,2,7,162,414,401,1.6,1707.5,853.8,8,-
37,24,redeploy,4,4,7,167,30,28,2.2,2345.2,781.7,7,-
38,24,redeploy,4,1,4,85,65,42,2.6,2644.9,661.2,8,-
39,24,remap_successfully,-,-,-,-,-,-,2.6,2644.9,661.2,8,-
40,24,deploy,6,5,10,246,102,102,3.5,3575.7,715.1,11,-
41,26,create,5,6,6,132,131,131,3.5,3575.7,715.1,11,-
42,26,remap,-,-,-,-,-,-,-,-,-,-,-
43,26,interrupt,-,3,10,231,26,16,2.6,-,-,-,-
44,26,interrupt,-,2,7,162,414,399,2,-,-,-,-
45,26,interrupt,-,4,7,167,30,26,1.3,-,-,-,-
46,26,interrupt,-,1,4,85,65,40,1,-,-,-,-
47,26,interrupt,-,5,10,246,102,100,0,-,-,-,-
48,26,redeploy,1,3,10,231,26,16,0.9,994.9,994.9,9,-
49,26,redeploy,1,5,10,246,102,100,1.9,2006.5,1003.2,12,-
50,26,redeploy,4,2,7,162,414,399,2.5,2638.6,879.5,11,-
51,26,redeploy,6,4,7,167,30,26,3.2,3276.3,819.1,10,-
52,26,redeploy,11,1,4,85,65,40,3.5,3576,715.2,11,-
53,26,remap_successfully,-,-,-,-,-,-,3.5,3576,715.2,11,-
54,26,deploy,4,6,6,132,131,131,4.1,4216.6,702.8,13,-
55,29,create,10,7,8,198,167,167,4.1,4216.6,702.8,13,-
56,29,remap,-,-,-,-,-,-,-,-,-,-,-
57,29,interrupt,-,3,10,231,26,13,3.1,-,-,-,-
58,29,interrupt,-,5,10,246,102,97,2.2,-,-,-,-
59,29,interrupt,-,2,7,162,414,396,1.5,-,-,-,-
60,29,interrupt,-,4,7,167,30,23,0.9,-,-,-,-
61,29,interrupt,-,1,4,85,65,37,0.5,-,-,-,-
62,29,interrupt,-,6,6,132,131,128,0,-,-,-,-
63,29,redeploy,1,3,10,231,26,13,0.9,994.9,994.9,10,-
64,29,redeploy,1,5,10,246,102,97,1.9,2006.5,1003.2,13,-
65,29,redeploy,4,2,7,162,414,396,2.5,2638.6,879.5,11,-
66,29,redeploy,6,4,7,167,30,23,3.2,3276.3,819.1,11,-
67,29,redeploy,11,6,6,132,131,128,3.7,3875.9,775.2,12,-
68,29,redeploy,4,1,4,85,65,37,4.1,4175.7,696,13,-
69,29,remap_successfully,-,-,-,-,-,-,4.1,4175.7,696,13,-
70,29,deploy,11,7,8,198,167,167,4.8,4806.4,686.6,15,-
71,36,create,9,8,8,173,15,15,4.8,4806.4,686.6,15,-
72,36,remap,-,-,-,-,-,-,-,-,-,-,-
73,36,interrupt,-,3,10,231,26,6,3.9,-,-,-,-
74,36,interrupt,-,5,10,246,102,90,3,-,-,-,-
75,36,interrupt,-,2,7,162,414,389,2.3,-,-,-,-
76,36,interrupt,-,4,7,167,30,16,1.6,-,-,-,-
77,36,interrupt,-,6,6,132,131,121,1.1,-,-,-,-
78,36,interrupt,-,1,4,85,65,30,0.8,-,-,-,-
79,36,interrupt,-,7,8,198,167,160,0,-,-,-,-
80,36,redeploy,1,3,10,231,26,6,0.9,994.9,994.9,12,-
81,36,redeploy,1,5,10,246,102,90,1.9,2006.5,1003.2,15,-
82,36,redeploy,4,7,8,198,167,160,2.7,2883.9,961.3,15,-
83,36,redeploy,6,2,7,162,414,389,3.3,3516,879,15,-
84,36,redeploy,11,4,7,167,30,16,4,4154.6,830.9,13,-
85,36,redeploy,6,6,6,132,131,121,4.5,4795.2,799.2,15,-
86,36,redeploy,4,1,4,85,65,30,4.8,5178.2,739.7,16,-
87,36,remap_successfully,-,-,-,-,-,-,4.8,5178.2,739.7,16,-
88,36,deploy,11,8,8,173,15,15,5.5,5781,722.6,18,-
89,38,create,7,9,6,111,178,178,5.5,5781,722.6,18,-
90,38,remap,-,-,-,-,-,-,-,-,-,-,-
91,38,interrupt,-,3,10,231,26,4,4.6,-,-,-,-
92,38,interrupt,-,5,10,246,102,88,3.6,-,-,-,-
93,38,interrupt,-,7,8,198,167,158,2.9,-,-,-,-
94,38,interrupt,-,2,7,162,414,387,2.2,-,-,-,-
95,38,interrupt,-,4,7,167,30,14,1.5,-,-,-,-
96,38,interrupt,-,6,6,132,131,119,1,-,-,-,-
97,38,interrupt,-,1,4,85,65,28,0.7,-,-,-,-
98,38,interrupt,-,8,8,173,15,13,0,-,-,-,-
99,38,redeploy,1,3,10,231,26,4,0.9,994.9,994.9,15,-
100,38,redeploy,1,5,10,246,102,88,1.9,2006.5,1003.2,18,-
101,38,redeploy,4,7,8,198,167,158,2.7,2883.9,961.3,17,-
102,38,redeploy,4,8,8,173,15,13,3.4,3570,892.5,19,-
103,38,redeploy,6,2,7,162,414,387,4,4202.1,840.4,17,-
104,38,redeploy,11,4,7,167,30,14,4.7,4840.7,806.8,15,-
105,38,redeploy,6,6,6,132,131,119,5.2,5481.3,783,17,-
106,38,redeploy,11,1,4,85,65,28,5.5,5781,722.6,18,-
107,38,remap_successfully,-,-,-,-,-,-,5.5,5781,722.6,18,-
108,38,deploy,6,9,6,111,178,178,6,6109.7,678.9,19,-
109,42,remove,1,3,10,231,26,0,5.1,5401.5,675.2,17,-
110,43,create,7,10,10,221,163,163,5.1,5401.5,675.2,17,-
111,43,remap,-,-,-,-,-,-,-,-,-,-,-
112,43,interrupt,-,5,10,246,102,83,4.1,-,-,-,-
113,43,interrupt,-,7,8,198,167,153,3.3,-,-,-,-
114,43,interrupt,-,8,8,173,15,8,2.6,-,-,-,-
115,43,interrupt,-,2,7,162,414,382,2,-,-,-,-
116,43,interrupt,-,4,7,167,30,9,1.3,-,-,-,-
117,43,interrupt,-,6,6,132,131,114,0.8,-,-,-,-
118,43,interrupt,-,1,4,85,65,23,0.4,-,-,-,-
119,43,interrupt,-,9,6,111,178,173,0,-,-,-,-
120,43,redeploy,1,5,10,246,102,83,1,1011.6,1011.6,16,-
121,43,redeploy,1,7,8,198,167,153,1.8,1969.8,984.9,19,-
122,43,redeploy,4,8,8,173,15,8,2.4,2614.2,871.4,16,-
123,43,redeploy,4,2,7,162,414,382,3.1,3288.1,822,18,-
124,43,redeploy,6,4,7,167,30,9,3.8,3925.8,785.2,15,-
125,43,redeploy,11,6,6,132,131,114,4.3,4525.4,754.2,14,-
126,43,redeploy,6,9,6,111,178,173,4.7,4854.1,693.4,15,-
127,43,redeploy,11,1,4,85,65,23,5.1,5153.9,644.2,16,-
128,43,remap_successfully,-,-,-,-,-,-,5.1,5153.9,644.2,16,-
129,43,deploy,6,10,10,221,163,163,5.9,6056.9,673,19,-
130,48,create,5,11,8,179,34,34,5.9,6056.9,673,19,-
131,48,remap,-,-,-,-,-,-,-,-,-,-,-
132,48,interrupt,-,5,10,246,102,78,5,-,-,-,-
133,48,interrupt,-,7,8,198,167,148,4.2,-,-,-,-
134,48,interrupt,-,8,8,173,15,3,3.5,-,-,-,-
135,48,interrupt,-,2,7,162,414,377,2.8,-,-,-,-
136,48,interrupt,-,4,7,167,30,4,2.2,-,-,-,-
137,48,interrupt,-,6,6,132,131,109,1.7,-,-,-,-
138,48,interrupt,-,9,6,111,178,168,1.2,-,-,-,-
139,48,interrupt,-,1,4,85,65,18,0.9,-,-,-,-
140,48,interrupt,-,10,10,221,163,158,0,-,-,-,-
141,48,redeploy,1,5,10,246,102,78,1,1011.6,1011.6,16,-
142,48,redeploy,1,10,10,221,163,158,1.9,1995.4,997.7,19,-
143,48,redeploy,4,7,8,198,167,148,2.6,2872.8,957.6,18,-
144,48,redeploy,6,8,8,173,15,3,3.3,3517.2,879.3,14,-
145,48,redeploy,11,2,7,162,414,377,4,4150.2,830,13,-
146,48,redeploy,11,4,7,167,30,4,4.6,4746.4,791.1,15,-
147,48,redeploy,6,6,6,132,131,109,5.2,5386.9,769.6,17,-
148,48,redeploy,6,9,6,111,178,168,5.6,5715.6,714.4,18,-
149,48,redeploy,4,1,4,85,65,18,5.9,6098.6,677.6,19,-
150,48,remap_successfully,-,-,-,-,-,-,5.9,6098.6,677.6,19,-
151,48,deploy,4,11,8,179,34,34,6.6,6503,650.3,20,-
152,49,create,7,12,9,204,239,239,6.6,6503,650.3,20,-
153,49,remap,-,-,-,-,-,-,-,-,-,-,-
154,49,interrupt,-,5,10,246,102,77,5.7,-,-,-,-
155,49,interrupt,-,10,10,221,163,157,4.8,-,-,-,-
156,49,interrupt,-,7,8,198,167,147,4,-,-,-,-
157,49,interrupt,-,8,8,173,15,2,3.3,-,-,-,-
158,49,interrupt,-,2,7,162,414,376,2.7,-,-,-,-
159,49,interrupt,-,4,7,167,30,3,2,-,-,-,-
160,49,interrupt,-,6,6,132,131,108,1.5,-,-,-,-
161,49,interrupt,-,9,6,111,178,167,1,-,-,-,-
162,49,interrupt,-,1,4,85,65,17,0.7,-,-,-,-
163,49,interrupt,-,11,8,179,34,33,0,-,-,-,-
164,49,redeploy,1,5,10,246,102,77,1,1011.6,1011.6,17,-
165,49,redeploy,1,10,10,221,163,157,1.9,1995.4,997.7,20,-
166,49,redeploy,4,7,8,198,167,147,2.6,2872.8,957.6,18,-
167,49,redeploy,6,8,8,173,15,2,3.3,3517.2,879.3,15,-
168,49,redeploy,11,11,8,179,34,33,4,4169.1,833.8,13,-
