id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,9,1,4,85,65,65,0.0,0,0.0,0,-
2,1,deploy,1,1,4,85,65,65,0.3,299.7,299.7,1,-
3,11,create,10,2,7,162,414,414,0.3,299.7,299.7,1,-
4,11,deploy,1,2,7,162,414,414,1.0,1012.6,506.3,3,-
5,16,create,5,3,10,231,26,26,1.0,1012.6,506.3,3,-
6,16,deploy,1,3,10,231,26,26,1.9,2007.6,669.2,6,-
7,22,create,10,4,7,167,30,30,1.9,2007.6,669.2,6,-
8,22,deploy,1,4,7,167,30,30,2.6,2644.4,661.1,8,-
9,24,create,10,5,10,246,102,102,2.6,2644.4,661.1,8,-
10,24,deploy,1,5,10,246,102,102,3.5,3410.3,682.1,10,-
11,26,create,5,6,6,132,131,131,3.5,3410.3,682.1,10,-
12,26,deploy,1,6,6,132,131,131,4.1,3803.2,633.9,11,-
13,29,create,10,7,8,198,167,167,4.1,3803.2,633.9,11,-
14,29,deploy,1,7,8,198,167,167,4.8,4720.6,674.4,14,-
15,36,create,9,8,8,173,15,15,4.8,4720.6,674.4,14,-
16,36,deploy,1,8,8,173,15,15,5.5,5364.3,670.5,16,-
17,38,create,7,9,6,111,178,178,5.5,5364.3,670.5,16,-
18,38,deploy,4,9,6,111,178,178,6.0,5939.7,660.0,18,-
19,42,remove,1,3,10,231,26,0,5.1,5477.4,684.7,17,-
20,43,create,7,10,10,221,163,163,5.1,5477.4,684.7,17,-
21,43,deploy,1,10,10,221,163,163,5.9,5723.4,635.9,17,-
22,48,create,5,11,8,179,34,34,5.9,5723.4,635.9,17,-
23,48,deploy,4,11,8,179,34,34,6.6,6416.2,641.6,19,-
24,49,create,7,12,9,204,239,239,6.6,6416.2,641.6,19,-
25,49,deploy,4,12,9,204,239,239,7.5,7053.6,641.2,21,-
26,51,remove,1,8,8,173,15,0,6.8,6655.9,665.6,20,-
27,52,remove,1,4,7,167,30,0,6.1,6470.0,718.9,20,-
28,66,remove,1,1,4,85,65,0,5.8,6170.299999999999,771.3,19,-
29,68,create,10,13,8,158,54,54,5.8,6170.299999999999,771.3,19,-
30,68,deploy,4,13,8,158,54,54,6.4,6592.9,732.5,20,-
31,73,create,10,14,7,137,268,268,6.4,6592.9,732.5,20,-
32,73,deploy,4,14,7,137,268,268,6.9,7155.7,715.6,22,-
33,82,remove,4,11,8,179,34,0,6.2,6956.5,772.9,22,-
34,90,create,7,15,10,222,17,17,6.2,6956.5,772.9,22,-
35,90,deploy,4,15,10,222,17,17,7.1,7203.6,720.4,22,-
36,94,create,10,16,10,207,156,156,7.1,7203.6,720.4,22,-
37,94,deploy,4,16,10,207,156,156,7.9,8090.9,735.5,25,-
38,105,create,10,17,10,245,96,96,7.9,8090.9,735.5,25,-
39,105,deploy,4,17,10,245,96,96,8.9,9062.4,755.2,28,-
40,107,create,5,18,8,185,77,77,8.9,9062.4,755.2,28,-
41,107,remove,4,15,10,222,17,0,8.0,8815.3,801.4,28,-
42,107,drop,-,18,8,185,77,77,8.0,8815.3,801.4,28,-
43,109,create,5,19,8,168,51,51,8.0,8815.3,801.4,28,-
44,109,drop,-,19,8,168,51,51,8.0,8815.3,801.4,28,-
45,112,create,7,20,4,92,34,34,8.0,8815.3,801.4,28,-
46,112,deploy,4,20,4,92,34,34,8.4,8917.7,743.1,28,-
47,122,remove,4,13,8,158,54,0,7.8,8289.7,753.6,26,-
48,122,create,5,21,5,124,7,7,7.8,8289.7,753.6,26,-
49,122,deploy,4,21,5,124,7,7,8.2,8632.9,719.4,27,-
50,126,remove,1,5,10,246,102,0,7.3,7907.9,718.9,25,-
51,126,create,9,22,4,89,437,437,7.3,7907.9,718.9,25,-
52,126,deploy,4,22,4,89,437,437,7.6,8253.8,687.8,26,-
53,127,create,5,23,10,227,76,76,7.6,8253.8,687.8,26,-
54,127,deploy,1,23,10,227,76,76,8.5,8916.8,685.9,28,-
55,129,remove,4,21,5,124,7,0,8.0,8573.599999999999,714.5,27,-
56,131,create,5,24,8,185,4,4,8.0,8573.599999999999,714.5,27,-
57,131,drop,-,24,8,185,4,4,8.0,8573.599999999999,714.5,27,-
58,135,create,9,25,7,153,88,88,8.0,8573.599999999999,714.5,27,-
59,135,deploy,4,25,7,153,88,88,8.6,8949.2,688.4,28,-
60,142,create,7,26,5,123,40,40,8.6,8949.2,688.4,28,-
61,142,drop,-,26,5,123,40,40,8.6,8949.2,688.4,28,-
62,144,create,10,27,6,134,298,298,8.6,8949.2,688.4,28,-
63,144,deploy,1,27,6,134,298,298,9.2,9344.3,667.4,29,-
64,146,remove,4,20,4,92,34,0,8.8,9241.8,710.9,29,-
65,150,create,9,28,4,79,28,28,8.8,9241.8,710.9,29,-
66,150,deploy,4,28,4,79,28,28,9.1,9329.8,666.4,29,-
67,153,create,9,29,4,86,265,265,9.1,9329.8,666.4,29,-
68,153,drop,-,29,4,86,265,265,9.1,9329.8,666.4,29,-
69,157,remove,1,6,6,132,131,0,8.6,8485.9,652.8,26,-
70,158,create,5,30,4,107,167,167,8.6,8485.9,652.8,26,-
71,158,deploy,1,30,4,107,167,167,9.0,8810.1,629.3,27,-
72,161,create,5,31,7,154,231,231,9.0,8810.1,629.3,27,-
73,161,drop,-,31,7,154,231,231,9.0,8810.1,629.3,27,-
74,162,create,7,32,6,151,43,43,9.0,8810.1,629.3,27,-
75,162,create,5,33,5,111,19,19,9.0,8810.1,629.3,27,-
76,162,deploy,1,32,6,151,43,43,9.6,9429.3,628.6,29,-
77,162,drop,-,33,5,111,19,19,9.6,9429.3,628.6,29,-
78,166,create,7,34,9,215,238,238,9.6,9429.3,628.6,29,-
79,166,drop,-,34,9,215,238,238,9.6,9429.3,628.6,29,-
80,168,create,10,35,8,180,7,7,9.6,9429.3,628.6,29,-
81,168,drop,-,35,8,180,7,7,9.6,9429.3,628.6,29,-
82,169,create,9,36,9,202,4,4,9.6,9429.3,628.6,29,-
83,169,drop,-,36,9,202,4,4,9.6,9429.3,628.6,29,-
84,175,create,10,37,10,222,39,39,9.6,9429.3,628.6,29,-
85,175,deploy,1,37,10,222,39,39,10.5,10127.5,633.0,31,-
86,178,remove,4,28,4,79,28,0,10.2,10039.5,669.3,31,-
87,178,create,7,38,4,87,8,8,10.2,10039.5,669.3,31,-
88,178,deploy,4,38,4,87,8,8,10.5,10136.4,633.5,31,-
89,181,create,9,39,9,188,282,282,10.5,10136.4,633.5,31,-
90,181,drop,-,39,9,188,282,282,10.5,10136.4,633.5,31,"[[1, 2]]"
91,182,create,9,40,6,144,86,86,10.5,10136.4,633.5,31,-
92,182,drop,-,40,6,144,86,86,10.5,10136.4,633.5,31,"[[1, 2]]"
93,184,create,7,41,5,110,164,164,10.5,10136.4,633.5,31,-
94,184,drop,-,41,5,110,164,164,10.5,10136.4,633.5,31,"[[1, 2]]"
95,185,create,5,42,6,108,205,205,10.5,10136.4,633.5,31,-
96,185,drop,-,42,6,108,205,205,10.5,10136.4,633.5,31,"[[1, 2]]"
97,186,remove,4,38,4,87,8,0,10.2,10039.5,669.3,31,-
98,186,create,7,43,7,163,44,44,10.2,10039.5,669.3,31,-
99,186,deploy,4,43,7,163,44,44,10.8,10262.8,641.4,31,-
100,188,create,5,44,7,148,83,83,10.8,10262.8,641.4,31,-
101,188,drop,-,44,7,148,83,83,10.8,10262.8,641.4,31,"[[1, 2]]"
102,191,create,9,45,6,117,322,322,10.8,10262.8,641.4,31,-
103,191,create,7,46,4,89,20,20,10.8,10262.8,641.4,31,-
104,191,create,5,47,6,121,7,7,10.8,10262.8,641.4,31,-
105,191,drop,-,45,6,117,322,322,10.8,10262.8,641.4,31,"[[1, 2]]"
