id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,9,1,4,85,65,65,0.0,0,0.0,0,-
2,1,deploy,4,1,4,85,65,65,0.3,299.7,299.7,1,-
3,11,create,10,2,7,162,414,414,0.3,299.7,299.7,1,-
4,11,deploy,11,2,7,162,414,414,1.0,932.7,466.4,3,-
5,16,create,5,3,10,231,26,26,1.0,932.7,466.4,3,-
6,16,deploy,4,3,10,231,26,26,1.9,1930.1,643.4,6,-
7,22,create,10,4,7,167,30,30,1.9,1930.1,643.4,6,-
8,22,deploy,11,4,7,167,30,30,2.6,2526.3,631.6,8,-
9,24,create,10,5,10,246,102,102,2.6,2526.3,631.6,8,-
10,24,deploy,11,5,10,246,102,102,3.5,3295.3999999999996,659.1,10,-
11,26,create,5,6,6,132,131,131,3.5,3295.3999999999996,659.1,10,-
12,26,deploy,4,6,6,132,131,131,4.1,3647.5,607.9,11,-
13,29,create,10,7,8,198,167,167,4.1,3647.5,607.9,11,-
14,29,deploy,11,7,8,198,167,167,4.8,4525.8,646.5,14,-
15,36,create,9,8,8,173,15,15,4.8,4525.8,646.5,14,-
16,36,deploy,4,8,8,173,15,15,5.5,5170.299999999999,646.3,16,-
17,38,create,7,9,6,111,178,178,5.5,5170.299999999999,646.3,16,-
18,38,deploy,6,9,6,111,178,178,6.0,5745.7,638.4,18,-
19,42,remove,4,3,10,231,26,0,5.1,5036.6,629.6,16,-
20,43,create,7,10,10,221,163,163,5.1,5036.6,629.6,16,-
21,43,deploy,6,10,10,221,163,163,5.9,5776.2,641.8,18,-
22,48,create,5,11,8,179,34,34,5.9,5776.2,641.8,18,-
23,48,deploy,4,11,8,179,34,34,6.6,6385.799999999999,638.6,20,-
24,49,create,7,12,9,204,239,239,6.6,6385.799999999999,638.6,20,-
25,49,deploy,6,12,9,204,239,239,7.5,7023.1,638.5,22,-
26,51,remove,4,8,8,173,15,0,6.8,6378.5,637.9,20,-
27,52,remove,11,4,7,167,30,0,6.1,6192.599999999999,688.1,20,-
28,66,remove,4,1,4,85,65,0,5.8,5892.9,736.6,19,-
29,68,create,10,13,8,158,54,54,5.8,5892.9,736.6,19,-
30,68,deploy,11,13,8,158,54,54,6.4,6068.799999999999,674.3,19,-
31,73,create,10,14,7,137,268,268,6.4,6068.799999999999,674.3,19,-
32,73,deploy,1,14,7,137,268,268,6.9,6672.299999999999,667.2,21,-
33,82,remove,4,11,8,179,34,0,6.2,5979.5,664.4,19,-
34,90,create,7,15,10,222,17,17,6.2,5979.5,664.4,19,-
35,90,deploy,6,15,10,222,17,17,7.1,6883.5,688.4,22,-
