id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,deploy,2,1,14,5,5,3.3,1.4,100.0,4132.3,4132.3,14
4,1,deploy,2,2,19,174,174,3.3,3.3,100.0,9053.5,4526.8,32
5,3,create,5,3,19,13,13,5.2,3.3,100.0,9053.5,4526.8,32
6,3,deploy,2,3,19,13,13,5.2,5.2,100.0,13015.3,4338.4,47
7,4,create,9,4,11,57,57,6.3,5.2,100.0,13015.3,4338.4,47
8,4,deploy,2,4,11,57,57,6.3,6.3,100.0,15552.4,3888.1,57
9,5,create,7,5,15,101,101,7.8,6.3,100.0,15552.4,3888.1,57
10,5,create,9,6,16,10,10,9.4,6.3,100.0,15552.4,3888.1,57
11,5,deploy,2,5,15,101,101,9.4,7.8,100.0,18858.5,3771.7,70
12,5,deploy,2,6,16,10,10,9.4,9.4,100.0,21285.5,3547.6,79
13,6,create,10,7,18,25,25,11.2,9.4,100.0,21285.5,3547.6,79
14,6,remove,2,1,14,5,0,9.8,8.0,100.0,18021.7,3604.3,68
15,6,deploy,2,7,18,25,25,9.8,9.8,100.0,21005.1,3500.8,79
16,7,create,5,8,11,8,8,10.9,9.8,100.0,21005.1,3500.8,79
17,7,create,9,9,11,22,22,12.0,9.8,100.0,21005.1,3500.8,79
18,7,create,10,10,14,5,5,13.4,9.8,100.0,21005.1,3500.8,79
19,7,deploy,2,8,11,8,8,13.4,10.9,100.0,23247.8,3321.1,88
20,7,deploy,2,9,11,22,22,13.4,12.0,100.0,24874.7,3109.3,94
21,7,deploy,2,10,14,5,5,13.4,13.4,100.0,27285.7,3031.7,103
22,8,create,10,11,13,109,109,14.7,13.4,100.0,27285.7,3031.7,103
23,8,deploy,2,11,13,109,109,14.7,14.7,100.0,29294.5,2929.4,111
24,9,create,5,12,17,57,57,16.4,14.7,100.0,29294.5,2929.4,111
25,9,create,9,13,11,78,78,17.5,14.7,100.0,29294.5,2929.4,111
26,9,deploy,2,12,17,57,57,17.5,16.4,100.0,31086.6,2826.1,117
27,9,deploy,2,13,11,78,78,17.5,17.5,100.0,32057.0,2671.4,120
28,11,create,5,14,20,94,94,19.5,17.5,100.0,32057.0,2671.4,120
29,11,create,9,15,13,48,48,20.8,17.5,100.0,32057.0,2671.4,120
30,11,deploy,2,14,20,94,94,20.8,19.5,100.0,34548.4,2657.6,129
31,11,deploy,2,15,13,48,48,20.8,20.8,100.0,36392.7,2599.5,136
32,12,remove,2,10,14,5,0,19.4,19.4,100.0,34506.4,2654.3,130
33,12,create,10,16,12,45,45,20.6,19.4,100.0,34506.4,2654.3,130
34,12,create,9,17,17,2,2,22.3,19.4,100.0,34506.4,2654.3,130
35,12,deploy,2,16,12,45,45,22.3,20.6,100.0,36323.1,2594.5,137
36,12,deploy,2,17,17,2,2,22.3,22.3,100.0,38572.8,2571.5,145
37,13,create,7,18,12,62,62,23.5,22.3,100.0,38572.8,2571.5,145
38,13,create,9,19,17,100,100,25.2,22.3,100.0,38572.8,2571.5,145
39,13,deploy,2,18,12,62,62,25.2,23.5,100.0,40477.2,2529.8,152
40,13,deploy,2,19,17,100,100,25.2,25.2,100.0,42432.2,2496.0,159
41,14,create,10,20,10,53,53,26.2,25.2,100.0,42432.2,2496.0,159
42,14,remove,2,17,17,2,0,24.5,23.5,100.0,40255.0,2515.9,152
43,14,create,7,21,16,7,7,26.1,23.5,100.0,40255.0,2515.9,152
44,14,create,9,22,20,61,61,28.1,23.5,100.0,40255.0,2515.9,152
45,14,deploy,2,20,10,53,53,28.1,24.5,100.0,41445.8,2438.0,156
46,14,deploy,2,21,16,7,7,28.1,26.1,100.0,43825.1,2434.7,165
47,14,deploy,2,22,20,61,61,28.1,28.1,100.0,45865.7,2414.0,172
48,15,remove,2,6,16,10,0,26.5,26.5,100.0,44763.8,2486.9,169
49,15,remove,2,8,11,8,0,25.4,25.4,100.0,43503.5,2559.0,165
50,15,create,9,23,20,1,1,27.4,25.4,100.0,43503.5,2559.0,165
51,15,deploy,2,23,20,1,1,27.4,27.4,100.0,44926.2,2495.9,169
52,16,remove,2,3,19,13,0,25.5,25.5,100.0,42824.9,2519.1,162
53,16,remove,2,23,20,1,0,23.5,23.5,100.0,41315.7,2582.2,158
54,17,create,10,24,11,175,175,24.6,23.5,100.0,41315.7,2582.2,158
55,17,deploy,2,24,11,175,175,24.6,24.6,100.0,42943.2,2526.1,164
56,18,create,5,25,18,16,16,26.4,24.6,100.0,42943.2,2526.1,164
57,18,create,7,26,14,100,100,27.8,24.6,100.0,42943.2,2526.1,164
58,18,create,9,27,16,71,71,29.4,24.6,100.0,42943.2,2526.1,164
59,18,create,10,28,19,5,5,31.3,24.6,100.0,42943.2,2526.1,164
60,18,deploy,2,25,18,16,16,31.3,26.4,100.0,45216.3,2512.0,172
61,18,deploy,2,26,14,100,100,31.3,27.8,100.0,46721.6,2459.0,177
62,18,deploy,2,27,16,71,71,31.3,29.4,100.0,48398.4,2419.9,183
63,18,deploy,2,28,19,5,5,31.3,31.3,100.0,50204.2,2390.7,189
64,19,create,5,29,16,87,87,32.9,31.3,100.0,50204.2,2390.7,189
65,19,create,7,30,18,24,24,34.7,31.3,100.0,50204.2,2390.7,189
66,19,create,9,31,15,89,89,36.2,31.3,100.0,50204.2,2390.7,189
67,19,create,10,32,17,8,8,37.9,31.3,100.0,50204.2,2390.7,189
68,19,deploy,2,29,16,87,87,37.9,32.9,100.0,51264.4,2330.2,192
69,19,deploy,2,30,18,24,24,37.9,34.7,100.0,52178.7,2268.6,194
70,19,deploy,2,31,15,89,89,37.9,36.2,100.0,53213.4,2217.2,197
71,19,deploy,2,32,17,8,8,37.9,37.9,100.0,54305.8,2172.2,200
72,20,create,5,33,13,21,21,39.2,37.9,100.0,54305.8,2172.2,200
73,20,create,9,34,12,15,15,40.4,37.9,100.0,54305.8,2172.2,200
74,20,deploy,2,33,13,21,21,40.4,39.2,100.0,55286.5,2126.4,203
75,20,deploy,2,34,12,15,15,40.4,40.4,100.0,55619.7,2060.0,203
76,21,remove,2,21,16,7,0,38.8,38.8,100.0,54518.2,2096.9,200
77,21,create,9,35,13,96,96,40.1,38.8,100.0,54518.2,2096.9,200
78,21,deploy,2,35,13,96,96,40.1,40.1,100.0,54966.1,2035.8,200
79,22,create,7,36,20,57,57,42.1,40.1,100.0,54966.1,2035.8,200
80,22,deploy,2,36,20,57,57,42.1,42.1,100.0,56924.9,2033.0,206
81,23,remove,2,28,19,5,0,40.2,40.2,100.0,55243.0,2046.0,201
82,23,create,5,37,13,83,83,41.5,40.2,100.0,55243.0,2046.0,201
83,23,create,7,38,12,72,72,42.7,40.2,100.0,55243.0,2046.0,201
84,23,deploy,2,37,13,83,83,42.7,41.5,100.0,56628.8,2022.5,206
85,23,deploy,2,38,12,72,72,42.7,42.7,100.0,57372.1,1978.3,208
86,24,create,5,39,20,41,41,44.7,42.7,100.0,57372.1,1978.3,208
87,24,deploy,2,39,20,41,41,44.7,44.7,100.0,58633.6,1954.5,211
88,27,remove,2,32,17,8,0,43.0,43.0,100.0,57751.8,1991.4,209
89,28,create,9,40,19,9,9,44.9,43.0,100.0,57751.8,1991.4,209
90,28,deploy,2,40,19,9,9,44.9,44.9,100.0,60099.0,2003.3,217
91,29,remove,2,9,11,22,0,43.8,43.8,100.0,59752.2,2060.4,217
92,29,create,5,41,15,83,83,45.3,43.8,100.0,59752.2,2060.4,217
93,29,deploy,2,41,15,83,83,45.3,45.3,100.0,60622.4,2020.7,219
94,30,create,5,42,12,79,79,46.5,45.3,100.0,60622.4,2020.7,219
95,30,deploy,2,42,12,79,79,46.5,46.5,100.0,61704.3,1990.5,222
96,31,remove,2,7,18,25,0,44.7,44.7,100.0,60546.7,2018.2,219
97,31,create,5,43,15,1,1,46.2,44.7,100.0,60546.7,2018.2,219
98,31,deploy,2,43,15,1,1,46.2,46.2,100.0,61580.3,1986.5,222
99,32,create,10,44,20,3,3,48.2,46.2,100.0,61580.3,1986.5,222
100,32,create,5,45,15,54,54,49.7,46.2,100.0,61580.3,1986.5,222
101,32,remove,2,43,15,1,0,48.2,44.7,100.0,60456.8,2015.2,219
102,32,deploy,2,44,20,3,3,48.2,46.7,100.0,61926.9,1997.6,223
103,32,deploy,2,45,15,54,54,48.2,48.2,100.0,62596.7,1956.1,224
104,33,create,10,46,11,90,90,49.3,48.2,100.0,62596.7,1956.1,224
105,33,deploy,2,46,11,90,90,49.3,49.3,100.0,63520.8,1924.9,227
106,34,remove,2,25,18,16,0,47.5,47.5,100.0,62228.9,1944.7,224
107,34,create,9,47,17,7,7,49.2,47.5,100.0,62228.9,1944.7,224
108,34,create,10,48,20,22,22,51.2,47.5,100.0,62228.9,1944.7,224
109,34,deploy,2,47,17,7,7,51.2,49.2,100.0,62748.2,1901.5,224
110,34,deploy,2,48,20,22,22,51.2,51.2,100.0,63762.2,1875.4,226
111,35,remove,2,34,12,15,0,50.0,50.0,100.0,63431.9,1922.2,226
112,35,remove,2,44,20,3,0,48.0,48.0,100.0,62168.7,1942.8,223
113,35,create,10,49,18,152,152,49.8,48.0,100.0,62168.7,1942.8,223
114,35,deploy,2,49,18,152,152,49.8,49.8,100.0,63328.9,1919.1,226
115,36,create,7,50,18,84,84,51.6,49.8,100.0,63328.9,1919.1,226
116,36,create,5,51,15,22,22,53.1,49.8,100.0,63328.9,1919.1,226
117,36,create,9,52,16,12,12,54.7,49.8,100.0,63328.9,1919.1,226
118,36,deploy,2,50,18,84,84,54.7,51.6,100.0,64736.2,1904.0,230
119,36,deploy,2,51,15,22,22,54.7,53.1,100.0,65860.4,1881.7,233
120,36,deploy,2,52,16,12,12,54.7,54.7,100.0,66557.2,1848.8,234
121,37,remove,2,40,19,9,0,52.8,52.8,100.0,65031.3,1858.0,230
122,37,create,10,53,20,100,100,54.8,52.8,100.0,65031.3,1858.0,230
123,37,deploy,2,53,20,100,100,54.8,54.8,100.0,65989.6,1833.0,232
124,38,create,5,54,20,87,87,56.8,54.8,100.0,65989.6,1833.0,232
125,38,deploy,2,54,20,87,87,56.8,56.8,100.0,66844.2,1806.6,233
126,39,create,9,55,14,81,81,58.2,56.8,100.0,66844.2,1806.6,233
127,39,create,10,56,12,25,25,59.4,56.8,100.0,66844.2,1806.6,233
