id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,3.3,0.0,0.0,0,0.0,0
5,1,deploy,2,1,14,5,5,3.3,1.4,100.0,4132.3,4132.3,14
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,5,5,3.3,1.4,100.0,4132.3,4132.3,14
8,1,deploy,2,1,14,5,5,3.3,2.8,100.0,4219.8,4219.8,14
9,1,remap_successfully,-,-,-,-,-,3.3,2.8,100.0,4219.8,4219.8,14
10,1,deploy,2,2,19,174,174,3.3,4.7,100.0,8603.0,4301.5,30
11,3,create,5,3,19,13,13,5.2,4.7,100.0,8603.0,4301.5,30
12,3,remap,-,-,-,-,-,-,-,-,-,-,-
13,3,interrupt,-,1,14,5,3,5.2,4.7,100.0,8603.0,4301.5,30
14,3,interrupt,-,2,19,174,172,5.2,4.7,100.0,8603.0,4301.5,30
15,3,deploy,2,2,19,174,172,5.2,6.6,100.0,5399.2,5399.2,18
16,3,deploy,2,1,14,5,3,5.2,8.0,100.0,8893.0,4446.5,31
17,3,remap_successfully,-,-,-,-,-,5.2,8.0,100.0,8893.0,4446.5,31
18,3,deploy,2,3,19,13,13,5.2,9.9,100.0,12606.4,4202.1,45
19,4,create,9,4,11,57,57,6.3,9.9,100.0,12606.4,4202.1,45
20,4,remap,-,-,-,-,-,-,-,-,-,-,-
21,4,interrupt,-,2,19,174,171,6.3,9.9,100.0,12606.4,4202.1,45
22,4,interrupt,-,1,14,5,2,6.3,9.9,100.0,12606.4,4202.1,45
23,4,interrupt,-,3,19,13,12,6.3,9.9,100.0,12606.4,4202.1,45
24,4,deploy,2,2,19,174,171,6.3,11.8,100.0,5517.8,5517.8,19
25,4,deploy,2,3,19,13,12,6.3,13.7,100.0,9843.3,4921.6,36
26,4,deploy,2,1,14,5,2,6.3,15.1,100.0,12346.0,4115.3,45
27,4,remap_successfully,-,-,-,-,-,6.3,15.1,100.0,12346.0,4115.3,45
28,4,deploy,2,4,11,57,57,6.3,16.2,100.0,14722.1,3680.5,54
29,5,create,7,5,15,101,101,7.8,16.2,100.0,14722.1,3680.5,54
30,5,create,9,6,16,10,10,9.4,16.2,100.0,14722.1,3680.5,54
31,5,remap,-,-,-,-,-,-,-,-,-,-,-
32,5,interrupt,-,2,19,174,170,9.4,16.2,100.0,14722.1,3680.5,54
33,5,interrupt,-,3,19,13,11,9.4,16.2,100.0,14722.1,3680.5,54
34,5,interrupt,-,1,14,5,1,9.4,16.2,100.0,14722.1,3680.5,54
35,5,interrupt,-,4,11,57,56,9.4,16.2,100.0,14722.1,3680.5,54
36,5,deploy,2,2,19,174,170,9.4,18.1,100.0,5061.3,5061.3,17
37,5,deploy,2,3,19,13,11,9.4,20.0,100.0,9780.5,4890.2,34
38,5,deploy,2,1,14,5,1,9.4,21.4,100.0,12355.1,4118.4,44
39,5,deploy,2,4,11,57,56,9.4,22.5,100.0,14601.5,3650.4,53
40,5,remap_successfully,-,-,-,-,-,9.4,22.5,100.0,14601.5,3650.4,53
41,5,deploy,2,5,15,101,101,9.4,24.0,100.0,17452.7,3490.5,64
42,5,remap,-,-,-,-,-,-,-,-,-,-,-
43,5,interrupt,-,2,19,174,170,9.4,24.0,100.0,17452.7,3490.5,64
44,5,interrupt,-,3,19,13,11,9.4,24.0,100.0,17452.7,3490.5,64
45,5,interrupt,-,1,14,5,1,9.4,24.0,100.0,17452.7,3490.5,64
46,5,interrupt,-,4,11,57,56,9.4,24.0,100.0,17452.7,3490.5,64
47,5,interrupt,-,5,15,101,101,9.4,24.0,100.0,17452.7,3490.5,64
48,5,deploy,2,2,19,174,170,9.4,25.9,100.0,5689.4,5689.4,19
49,5,deploy,2,3,19,13,11,9.4,27.8,100.0,9196.7,4598.4,32
50,5,deploy,2,5,15,101,101,9.4,29.3,100.0,12431.6,4143.9,44
51,5,deploy,2,1,14,5,1,9.4,30.7,100.0,15050.4,3762.6,54
52,5,deploy,2,4,11,57,56,9.4,31.8,100.0,17455.9,3491.2,64
53,5,remap_successfully,-,-,-,-,-,9.4,31.8,100.0,17455.9,3491.2,64
54,5,deploy,2,6,16,10,10,9.4,33.4,100.0,20380.4,3396.7,75
55,6,create,10,7,18,25,25,11.2,33.4,100.0,20380.4,3396.7,75
56,6,remove,2,1,14,5,0,9.8,32.0,100.0,17452.4,3490.5,65
57,6,remap,-,-,-,-,-,-,-,-,-,-,-
58,6,interrupt,-,2,19,174,169,9.8,32.0,100.0,17452.4,3490.5,65
59,6,interrupt,-,3,19,13,10,9.8,32.0,100.0,17452.4,3490.5,65
60,6,interrupt,-,5,15,101,100,9.8,32.0,100.0,17452.4,3490.5,65
61,6,interrupt,-,4,11,57,55,9.8,32.0,100.0,17452.4,3490.5,65
62,6,interrupt,-,6,16,10,9,9.8,32.0,100.0,17452.4,3490.5,65
63,6,deploy,2,2,19,174,169,9.8,33.9,100.0,5150.2,5150.2,17
64,6,deploy,2,3,19,13,10,9.8,35.8,100.0,9606.6,4803.3,34
65,6,deploy,2,6,16,10,9,9.8,37.4,100.0,13482.5,4494.2,49
66,6,deploy,2,5,15,101,100,9.8,38.9,100.0,16950.3,4237.6,63
67,6,deploy,2,4,11,57,55,9.8,40.0,100.0,18739.4,3747.9,70
68,6,remap_successfully,-,-,-,-,-,9.8,40.0,100.0,18739.4,3747.9,70
69,6,deploy,2,7,18,25,25,9.8,41.8,100.0,22291.3,3715.2,84
70,7,create,5,8,11,8,8,10.9,41.8,100.0,22291.3,3715.2,84
71,7,create,9,9,11,22,22,12.0,41.8,100.0,22291.3,3715.2,84
72,7,create,10,10,14,5,5,13.4,41.8,100.0,22291.3,3715.2,84
73,7,remap,-,-,-,-,-,-,-,-,-,-,-
74,7,interrupt,-,2,19,174,168,13.4,41.8,100.0,22291.3,3715.2,84
75,7,interrupt,-,3,19,13,9,13.4,41.8,100.0,22291.3,3715.2,84
76,7,interrupt,-,6,16,10,8,13.4,41.8,100.0,22291.3,3715.2,84
77,7,interrupt,-,5,15,101,99,13.4,41.8,100.0,22291.3,3715.2,84
78,7,interrupt,-,4,11,57,54,13.4,41.8,100.0,22291.3,3715.2,84
79,7,interrupt,-,7,18,25,24,13.4,41.8,100.0,22291.3,3715.2,84
80,7,deploy,2,2,19,174,168,13.4,43.7,100.0,5398.3,5398.3,18
81,7,deploy,2,3,19,13,9,13.4,45.6,100.0,10017.5,5008.8,36
82,7,deploy,2,7,18,25,24,13.4,47.4,100.0,13989.9,4663.3,51
83,7,deploy,2,6,16,10,8,13.4,49.0,100.0,17074.9,4268.7,63
84,7,deploy,2,5,15,101,99,13.4,50.5,100.0,19795.6,3959.1,74
85,7,deploy,2,4,11,57,54,13.4,51.6,100.0,21630.6,3605.1,81
86,7,remap_successfully,-,-,-,-,-,13.4,51.6,100.0,21630.6,3605.1,81
87,7,deploy,2,8,11,8,8,13.4,52.7,100.0,23887.0,3412.4,89
88,7,remap,-,-,-,-,-,-,-,-,-,-,-
89,7,interrupt,-,2,19,174,168,13.4,52.7,100.0,23887.0,3412.4,89
90,7,interrupt,-,3,19,13,9,13.4,52.7,100.0,23887.0,3412.4,89
91,7,interrupt,-,7,18,25,24,13.4,52.7,100.0,23887.0,3412.4,89
92,7,interrupt,-,6,16,10,8,13.4,52.7,100.0,23887.0,3412.4,89
93,7,interrupt,-,5,15,101,99,13.4,52.7,100.0,23887.0,3412.4,89
94,7,interrupt,-,4,11,57,54,13.4,52.7,100.0,23887.0,3412.4,89
95,7,interrupt,-,8,11,8,8,13.4,52.7,100.0,23887.0,3412.4,89
96,7,deploy,2,2,19,174,168,13.4,54.6,100.0,5353.0,5353.0,18
97,7,deploy,2,3,19,13,9,13.4,56.5,100.0,10071.3,5035.6,35
98,7,deploy,2,7,18,25,24,13.4,58.3,100.0,13461.3,4487.1,48
99,7,deploy,2,6,16,10,8,13.4,59.9,100.0,16623.8,4155.9,61
100,7,deploy,2,5,15,101,99,13.4,61.4,100.0,20298.6,4059.7,76
101,7,deploy,2,4,11,57,54,13.4,62.5,100.0,22498.4,3749.7,85
102,7,deploy,2,8,11,8,8,13.4,63.6,100.0,24285.7,3469.4,92
103,7,remap_successfully,-,-,-,-,-,13.4,63.6,100.0,24285.7,3469.4,92
104,7,deploy,2,9,11,22,22,13.4,64.7,100.0,26277.3,3284.7,100
105,7,remap,-,-,-,-,-,-,-,-,-,-,-
106,7,interrupt,-,2,19,174,168,13.4,64.7,100.0,26277.3,3284.7,100
107,7,interrupt,-,3,19,13,9,13.4,64.7,100.0,26277.3,3284.7,100
108,7,interrupt,-,7,18,25,24,13.4,64.7,100.0,26277.3,3284.7,100
109,7,interrupt,-,6,16,10,8,13.4,64.7,100.0,26277.3,3284.7,100
110,7,interrupt,-,5,15,101,99,13.4,64.7,100.0,26277.3,3284.7,100
111,7,interrupt,-,4,11,57,54,13.4,64.7,100.0,26277.3,3284.7,100
112,7,interrupt,-,8,11,8,8,13.4,64.7,100.0,26277.3,3284.7,100
113,7,interrupt,-,9,11,22,22,13.4,64.7,100.0,26277.3,3284.7,100
114,7,deploy,2,2,19,174,168,13.4,66.6,100.0,5604.4,5604.4,19
115,7,deploy,2,3,19,13,9,13.4,68.5,100.0,10439.9,5219.9,37
116,7,deploy,2,7,18,25,24,13.4,70.3,100.0,14489.1,4829.7,53
117,7,deploy,2,6,16,10,8,13.4,71.9,100.0,17823.6,4455.9,66
118,7,deploy,2,5,15,101,99,13.4,73.4,100.0,20956.8,4191.4,79
119,7,deploy,2,4,11,57,54,13.4,74.5,100.0,23153.5,3858.9,88
120,7,deploy,2,8,11,8,8,13.4,75.6,100.0,24986.2,3569.5,95
121,7,deploy,2,9,11,22,22,13.4,76.7,100.0,26733.8,3341.7,102
122,7,remap_successfully,-,-,-,-,-,13.4,76.7,100.0,26733.8,3341.7,102
123,7,deploy,2,10,14,5,5,13.4,78.1,100.0,28605.1,3178.3,109
124,8,create,10,11,13,109,109,14.7,78.1,100.0,28605.1,3178.3,109
125,8,remap,-,-,-,-,-,-,-,-,-,-,-
126,8,interrupt,-,2,19,174,167,14.7,78.1,100.0,28605.1,3178.3,109
127,8,interrupt,-,3,19,13,8,14.7,78.1,100.0,28605.1,3178.3,109
