id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,3.3,0.0,0.0,0,0.0,0
5,1,deploy,2,1,14,5,5,3.3,1.4,100.0,4132.3,4132.3,14
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,5,5,3.3,1.4,100.0,4132.3,4132.3,14
8,1,deploy,2,1,14,5,5,3.3,2.8,100.0,4219.8,4219.8,14
9,1,remap_successfully,-,-,-,-,-,3.3,2.8,100.0,4219.8,4219.8,14
10,1,deploy,2,2,19,174,174,3.3,4.7,100.0,8603.0,4301.5,30
11,3,create,5,3,19,13,13,5.2,4.7,100.0,8603.0,4301.5,30
12,3,remap,-,-,-,-,-,-,-,-,-,-,-
13,3,interrupt,-,1,14,5,3,5.2,4.7,100.0,8603.0,4301.5,30
14,3,interrupt,-,2,19,174,172,5.2,4.7,100.0,8603.0,4301.5,30
15,3,deploy,2,1,14,5,3,5.2,6.1,100.0,3972.6,3972.6,13
16,3,deploy,2,2,19,174,172,5.2,8.0,100.0,8894.6,4447.3,31
17,3,remap_successfully,-,-,-,-,-,5.2,8.0,100.0,8894.6,4447.3,31
18,3,deploy,2,3,19,13,13,5.2,9.9,100.0,12606.7,4202.2,45
19,4,create,9,4,11,57,57,6.3,9.9,100.0,12606.7,4202.2,45
20,4,remap,-,-,-,-,-,-,-,-,-,-,-
21,4,interrupt,-,1,14,5,2,6.3,9.9,100.0,12606.7,4202.2,45
22,4,interrupt,-,2,19,174,171,6.3,9.9,100.0,12606.7,4202.2,45
23,4,interrupt,-,3,19,13,12,6.3,9.9,100.0,12606.7,4202.2,45
24,4,deploy,2,1,14,5,2,6.3,11.3,100.0,4219.8,4219.8,14
25,4,deploy,2,2,19,174,171,6.3,13.2,100.0,8591.1,4295.6,31
26,4,deploy,2,3,19,13,12,6.3,15.1,100.0,12344.4,4114.8,45
27,4,remap_successfully,-,-,-,-,-,6.3,15.1,100.0,12344.4,4114.8,45
28,4,deploy,2,4,11,57,57,6.3,16.2,100.0,14721.8,3680.4,54
29,5,create,7,5,15,101,101,7.8,16.2,100.0,14721.8,3680.4,54
30,5,create,9,6,16,10,10,9.4,16.2,100.0,14721.8,3680.4,54
31,5,remap,-,-,-,-,-,-,-,-,-,-,-
32,5,interrupt,-,1,14,5,1,9.4,16.2,100.0,14721.8,3680.4,54
33,5,interrupt,-,2,19,174,170,9.4,16.2,100.0,14721.8,3680.4,54
34,5,interrupt,-,3,19,13,11,9.4,16.2,100.0,14721.8,3680.4,54
35,5,interrupt,-,4,11,57,56,9.4,16.2,100.0,14721.8,3680.4,54
36,5,deploy,2,4,11,57,56,9.4,17.3,100.0,3350.6,3350.6,11
37,5,deploy,2,1,14,5,1,9.4,18.7,100.0,6769.9,3384.9,23
38,5,deploy,2,2,19,174,170,9.4,20.6,100.0,11022.7,3674.2,39
39,5,deploy,2,3,19,13,11,9.4,22.5,100.0,14602.8,3650.7,53
40,5,remap_successfully,-,-,-,-,-,9.4,22.5,100.0,14602.8,3650.7,53
41,5,deploy,2,5,15,101,101,9.4,24.0,100.0,17453.5,3490.7,64
42,5,remap,-,-,-,-,-,-,-,-,-,-,-
43,5,interrupt,-,4,11,57,56,9.4,24.0,100.0,17453.5,3490.7,64
44,5,interrupt,-,1,14,5,1,9.4,24.0,100.0,17453.5,3490.7,64
45,5,interrupt,-,2,19,174,170,9.4,24.0,100.0,17453.5,3490.7,64
46,5,interrupt,-,3,19,13,11,9.4,24.0,100.0,17453.5,3490.7,64
47,5,interrupt,-,5,15,101,101,9.4,24.0,100.0,17453.5,3490.7,64
48,5,deploy,2,4,11,57,56,9.4,25.1,100.0,3393.1,3393.1,11
49,5,deploy,2,1,14,5,1,9.4,26.5,100.0,6726.6,3363.3,23
50,5,deploy,2,5,15,101,101,9.4,28.0,100.0,9797.1,3265.7,34
51,5,deploy,2,2,19,174,170,9.4,29.9,100.0,13463.3,3365.8,48
52,5,deploy,2,3,19,13,11,9.4,31.8,100.0,17454.7,3490.9,64
53,5,remap_successfully,-,-,-,-,-,9.4,31.8,100.0,17454.7,3490.9,64
54,5,deploy,2,6,16,10,10,9.4,33.4,100.0,20376.8,3396.1,75
55,6,create,10,7,18,25,25,11.2,33.4,100.0,20376.8,3396.1,75
56,6,remove,2,1,14,5,0,9.8,32.0,100.0,18241.2,3648.2,68
57,6,remap,-,-,-,-,-,-,-,-,-,-,-
58,6,interrupt,-,4,11,57,55,9.8,32.0,100.0,18241.2,3648.2,68
59,6,interrupt,-,5,15,101,100,9.8,32.0,100.0,18241.2,3648.2,68
60,6,interrupt,-,2,19,174,169,9.8,32.0,100.0,18241.2,3648.2,68
61,6,interrupt,-,3,19,13,10,9.8,32.0,100.0,18241.2,3648.2,68
62,6,interrupt,-,6,16,10,9,9.8,32.0,100.0,18241.2,3648.2,68
63,6,deploy,2,4,11,57,55,9.8,33.1,100.0,3188.3,3188.3,10
64,6,deploy,2,5,15,101,100,9.8,34.6,100.0,6713.0,3356.5,23
65,6,deploy,2,6,16,10,9,9.8,36.2,100.0,10425.8,3475.3,37
66,6,deploy,2,2,19,174,169,9.8,38.1,100.0,14956.1,3739.0,55
67,6,deploy,2,3,19,13,10,9.8,40.0,100.0,18741.3,3748.3,70
68,6,remap_successfully,-,-,-,-,-,9.8,40.0,100.0,18741.3,3748.3,70
69,6,deploy,2,7,18,25,25,9.8,41.8,100.0,22293.6,3715.6,84
70,7,create,5,8,11,8,8,10.9,41.8,100.0,22293.6,3715.6,84
71,7,create,9,9,11,22,22,12.0,41.8,100.0,22293.6,3715.6,84
72,7,create,10,10,14,5,5,13.4,41.8,100.0,22293.6,3715.6,84
73,7,remap,-,-,-,-,-,-,-,-,-,-,-
74,7,interrupt,-,4,11,57,54,13.4,41.8,100.0,22293.6,3715.6,84
75,7,interrupt,-,5,15,101,99,13.4,41.8,100.0,22293.6,3715.6,84
76,7,interrupt,-,6,16,10,8,13.4,41.8,100.0,22293.6,3715.6,84
77,7,interrupt,-,2,19,174,168,13.4,41.8,100.0,22293.6,3715.6,84
78,7,interrupt,-,3,19,13,9,13.4,41.8,100.0,22293.6,3715.6,84
79,7,interrupt,-,7,18,25,24,13.4,41.8,100.0,22293.6,3715.6,84
80,7,deploy,2,4,11,57,54,13.4,42.9,100.0,3394.8,3394.8,11
81,7,deploy,2,5,15,101,99,13.4,44.4,100.0,7170.1,3585.1,25
82,7,deploy,2,6,16,10,8,13.4,46.0,100.0,10957.3,3652.4,40
83,7,deploy,2,7,18,25,24,13.4,47.8,100.0,14769.5,3692.4,54
84,7,deploy,2,2,19,174,168,13.4,49.7,100.0,18554.2,3710.8,69
85,7,deploy,2,3,19,13,9,13.4,51.6,100.0,21636.5,3606.1,81
86,7,remap_successfully,-,-,-,-,-,13.4,51.6,100.0,21636.5,3606.1,81
87,7,deploy,2,8,11,8,8,13.4,52.7,100.0,23844.6,3406.4,89
88,7,remap,-,-,-,-,-,-,-,-,-,-,-
89,7,interrupt,-,4,11,57,54,13.4,52.7,100.0,23844.6,3406.4,89
90,7,interrupt,-,5,15,101,99,13.4,52.7,100.0,23844.6,3406.4,89
91,7,interrupt,-,6,16,10,8,13.4,52.7,100.0,23844.6,3406.4,89
92,7,interrupt,-,7,18,25,24,13.4,52.7,100.0,23844.6,3406.4,89
93,7,interrupt,-,2,19,174,168,13.4,52.7,100.0,23844.6,3406.4,89
94,7,interrupt,-,3,19,13,9,13.4,52.7,100.0,23844.6,3406.4,89
95,7,interrupt,-,8,11,8,8,13.4,52.7,100.0,23844.6,3406.4,89
96,7,deploy,2,4,11,57,54,13.4,53.8,100.0,3394.8,3394.8,11
97,7,deploy,2,8,11,8,8,13.4,54.9,100.0,6192.9,3096.4,21
98,7,deploy,2,5,15,101,99,13.4,56.4,100.0,9802.7,3267.6,34
99,7,deploy,2,6,16,10,8,13.4,58.0,100.0,12974.9,3243.7,46
100,7,deploy,2,7,18,25,24,13.4,59.8,100.0,16356.0,3271.2,60
101,7,deploy,2,2,19,174,168,13.4,61.7,100.0,20798.5,3466.4,78
102,7,deploy,2,3,19,13,9,13.4,63.6,100.0,24289.2,3469.9,92
103,7,remap_successfully,-,-,-,-,-,13.4,63.6,100.0,24289.2,3469.9,92
104,7,deploy,2,9,11,22,22,13.4,64.7,100.0,26281.7,3285.2,100
105,7,remap,-,-,-,-,-,-,-,-,-,-,-
106,7,interrupt,-,4,11,57,54,13.4,64.7,100.0,26281.7,3285.2,100
107,7,interrupt,-,8,11,8,8,13.4,64.7,100.0,26281.7,3285.2,100
108,7,interrupt,-,5,15,101,99,13.4,64.7,100.0,26281.7,3285.2,100
109,7,interrupt,-,6,16,10,8,13.4,64.7,100.0,26281.7,3285.2,100
110,7,interrupt,-,7,18,25,24,13.4,64.7,100.0,26281.7,3285.2,100
111,7,interrupt,-,2,19,174,168,13.4,64.7,100.0,26281.7,3285.2,100
112,7,interrupt,-,3,19,13,9,13.4,64.7,100.0,26281.7,3285.2,100
113,7,interrupt,-,9,11,22,22,13.4,64.7,100.0,26281.7,3285.2,100
114,7,deploy,2,4,11,57,54,13.4,65.8,100.0,3394.8,3394.8,11
115,7,deploy,2,8,11,8,8,13.4,66.9,100.0,6441.4,3220.7,22
116,7,deploy,2,9,11,22,22,13.4,68.0,100.0,9105.0,3035.0,32
117,7,deploy,2,5,15,101,99,13.4,69.5,100.0,12703.6,3175.9,46
118,7,deploy,2,6,16,10,8,13.4,71.1,100.0,16240.6,3248.1,60
119,7,deploy,2,7,18,25,24,13.4,72.9,100.0,19793.9,3299.0,74
120,7,deploy,2,2,19,174,168,13.4,74.8,100.0,23903.1,3414.7,91
121,7,deploy,2,3,19,13,9,13.4,76.7,100.0,26693.7,3336.7,102
122,7,remap_successfully,-,-,-,-,-,13.4,76.7,100.0,26693.7,3336.7,102
123,7,deploy,2,10,14,5,5,13.4,78.1,100.0,28564.2,3173.8,109
124,8,create,10,11,13,109,109,14.7,78.1,100.0,28564.2,3173.8,109
125,8,remap,-,-,-,-,-,-,-,-,-,-,-
126,8,interrupt,-,4,11,57,53,14.7,78.1,100.0,28564.2,3173.8,109
127,8,interrupt,-,8,11,8,7,14.7,78.1,100.0,28564.2,3173.8,109
