id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,deploy,1,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
4,1,deploy,1,2,19,174,174,3.3,3.3,100.0,4127.5,2063.8,13
5,3,create,5,3,19,13,13,5.2,3.3,100.0,4127.5,2063.8,13
6,3,deploy,1,3,19,13,13,5.2,5.2,100.0,5276.1,1758.7,16
7,4,create,9,4,11,57,57,6.2,5.2,100.0,5276.1,1758.7,16
8,4,deploy,1,4,11,57,57,6.2,6.2,100.0,5582.6,1395.7,16
9,5,create,7,5,15,101,101,7.7,6.2,100.0,5582.6,1395.7,16
10,5,create,9,6,16,10,10,9.3,6.2,100.0,5582.6,1395.7,16
11,5,deploy,4,5,15,101,101,9.3,7.7,100.0,9380.7,1876.1,29
12,5,deploy,4,6,16,10,10,9.3,9.3,100.0,12585.3,2097.5,41
13,6,create,10,7,18,25,25,11.1,9.3,100.0,12585.3,2097.5,41
14,6,remove,1,1,14,5,0,9.7,7.9,100.0,12194.9,2439.0,41
15,6,deploy,4,7,18,25,25,9.7,9.7,100.0,14182.3,2363.7,48
16,7,create,5,8,11,8,8,10.8,9.7,100.0,14182.3,2363.7,48
17,7,create,9,9,11,22,22,11.9,9.7,100.0,14182.3,2363.7,48
18,7,create,10,10,14,5,5,13.3,9.7,100.0,14182.3,2363.7,48
19,7,deploy,1,8,11,8,8,13.3,10.8,100.0,14489.2,2069.9,48
20,7,deploy,4,9,11,22,22,13.3,11.9,100.0,15410.7,1926.3,51
21,7,deploy,4,10,14,5,5,13.3,13.3,100.0,16827.300000000003,1869.7,56
22,8,create,10,11,13,109,109,14.6,13.3,100.0,16827.300000000003,1869.7,56
23,8,deploy,4,11,13,109,109,14.6,14.6,100.0,17602.800000000003,1760.3,58
24,9,create,5,12,17,57,57,16.3,14.6,100.0,17602.800000000003,1760.3,58
25,9,create,9,13,11,78,78,17.4,14.6,100.0,17602.800000000003,1760.3,58
26,9,deploy,4,12,17,57,57,17.4,16.3,100.0,19146.2,1740.6,63
27,9,deploy,4,13,11,78,78,17.4,17.4,100.0,19661.800000000003,1638.5,64
28,11,create,5,14,20,94,94,19.3,17.4,100.0,19661.800000000003,1638.5,64
29,11,create,9,15,13,48,48,20.6,17.4,100.0,19661.800000000003,1638.5,64
30,11,deploy,4,14,20,94,94,20.6,19.3,100.0,21037.0,1618.2,68
31,11,deploy,4,15,13,48,48,20.6,20.6,100.0,21609.4,1543.5,69
32,12,remove,4,10,14,5,0,19.2,19.2,100.0,21017.9,1616.8,68
33,12,create,10,16,12,45,45,20.4,19.2,100.0,21017.9,1616.8,68
34,12,create,9,17,17,2,2,22.1,19.2,100.0,21017.9,1616.8,68
35,12,deploy,4,16,12,45,45,22.1,20.4,100.0,21550.800000000003,1539.3,69
36,12,deploy,4,17,17,2,2,22.1,22.1,100.0,22025.300000000003,1468.4,69
37,13,create,7,18,12,62,62,23.3,22.1,100.0,22025.300000000003,1468.4,69
38,13,create,9,19,17,100,100,25.0,22.1,100.0,22025.300000000003,1468.4,69
39,13,deploy,4,18,12,62,62,25.0,23.3,100.0,22361.6,1397.6,69
40,13,deploy,4,19,17,100,100,25.0,25.0,100.0,23041.5,1355.4,70
41,14,create,10,20,10,53,53,26.0,25.0,100.0,23041.5,1355.4,70
42,14,remove,4,17,17,2,0,24.3,23.3,100.0,22567.6,1410.5,70
43,14,create,7,21,16,7,7,25.9,23.3,100.0,22567.6,1410.5,70
44,14,create,9,22,20,61,61,27.9,23.3,100.0,22567.6,1410.5,70
45,14,deploy,4,20,10,53,53,27.9,24.3,100.0,22847.1,1343.9,70
46,14,deploy,4,21,16,7,7,27.9,25.9,100.0,23333.4,1296.3,70
47,14,deploy,6,22,20,61,61,27.9,27.9,100.0,27518.800000000003,1448.4,84
48,15,remove,4,6,16,10,0,26.3,26.3,100.0,27082.0,1504.6,84
49,15,remove,1,8,11,8,0,25.2,25.2,100.0,26775.1,1575.0,84
50,15,create,9,23,20,1,1,27.2,25.2,100.0,26775.1,1575.0,84
51,15,deploy,4,23,20,1,1,27.2,27.2,100.0,27328.6,1518.3,84
52,16,remove,1,3,19,13,0,25.3,25.3,100.0,26796.6,1576.3,84
53,16,remove,4,23,20,1,0,23.3,23.3,100.0,26243.1,1640.2,84
54,17,create,10,24,11,175,175,24.4,23.3,100.0,26243.1,1640.2,84
55,17,deploy,4,24,11,175,175,24.4,24.4,100.0,26547.6,1561.6,84
56,18,create,5,25,18,16,16,26.2,24.4,100.0,26547.6,1561.6,84
57,18,create,7,26,14,100,100,27.6,24.4,100.0,26547.6,1561.6,84
58,18,create,9,27,16,71,71,29.2,24.4,100.0,26547.6,1561.6,84
59,18,create,10,28,19,5,5,31.1,24.4,100.0,26547.6,1561.6,84
60,18,deploy,4,25,18,16,16,31.1,26.2,100.0,27043.800000000003,1502.4,84
61,18,deploy,1,26,14,100,100,31.1,27.6,100.0,27434.800000000003,1443.9,84
62,18,deploy,1,27,16,71,71,31.1,29.2,100.0,27882.200000000004,1394.1,84
63,18,deploy,6,28,19,5,5,31.1,31.1,100.0,30884.100000000002,1470.7,95
64,19,create,5,29,16,87,87,32.6,31.1,100.0,30884.100000000002,1470.7,95
65,19,create,7,30,18,24,24,34.4,31.1,100.0,30884.100000000002,1470.7,95
66,19,create,9,31,15,89,89,35.9,31.1,100.0,30884.100000000002,1470.7,95
67,19,create,10,32,17,8,8,37.6,31.1,100.0,30884.100000000002,1470.7,95
68,19,deploy,6,29,16,87,87,37.6,32.6,100.0,32565.4,1480.2,101
69,19,deploy,6,30,18,24,24,37.6,34.4,100.0,33890.4,1473.5,105
70,19,deploy,6,31,15,89,89,37.6,35.9,100.0,35376.9,1474.0,110
71,19,deploy,6,32,17,8,8,37.6,37.6,100.0,37122.100000000006,1484.9,116
72,20,create,5,33,13,21,21,38.9,37.6,100.0,37122.100000000006,1484.9,116
73,20,create,9,34,12,15,15,40.1,37.6,100.0,37122.100000000006,1484.9,116
74,20,deploy,6,33,13,21,21,40.1,38.9,100.0,38352.600000000006,1475.1,120
75,20,deploy,6,34,12,15,15,40.1,40.1,100.0,38891.9,1440.4,121
76,21,remove,4,21,16,7,0,38.5,38.5,100.0,38449.6,1478.8,121
77,21,create,9,35,13,96,96,39.8,38.5,100.0,38449.6,1478.8,121
78,21,deploy,4,35,13,96,96,39.8,39.8,100.0,38811.1,1437.4,121
79,22,create,7,36,20,57,57,41.8,39.8,100.0,38811.1,1437.4,121
80,22,deploy,6,36,20,57,57,41.8,41.8,100.0,39575.8,1413.4,122
81,23,remove,6,28,19,5,0,39.9,39.9,100.0,39049.1,1446.3,122
82,23,create,5,37,13,83,83,41.2,39.9,100.0,39049.1,1446.3,122
83,23,create,7,38,12,72,72,42.4,39.9,100.0,39049.1,1446.3,122
84,23,deploy,6,37,13,83,83,42.4,41.2,100.0,39616.8,1414.9,123
85,23,deploy,6,38,12,72,72,42.4,42.4,100.0,39949.8,1377.6,123
86,24,create,5,39,20,41,41,44.3,42.4,100.0,39949.8,1377.6,123
87,24,deploy,6,39,20,41,41,44.3,44.3,100.0,40712.3,1357.1,124
88,27,remove,6,32,17,8,0,42.7,42.7,100.0,40245.3,1387.8,124
89,28,create,9,40,19,9,9,44.5,42.7,100.0,40245.3,1387.8,124
90,28,deploy,6,40,19,9,9,44.5,44.5,100.0,40773.1,1359.1,124
91,29,remove,4,9,11,22,0,43.5,43.5,100.0,40470.9,1395.5,124
92,29,create,5,41,15,83,83,44.9,43.5,100.0,40470.9,1395.5,124
93,29,deploy,6,41,15,83,83,44.9,44.9,100.0,40886.100000000006,1362.9,124
94,30,create,5,42,12,79,79,46.1,44.9,100.0,40886.100000000006,1362.9,124
95,30,deploy,6,42,12,79,79,46.1,46.1,100.0,41220.9,1329.7,124
96,31,remove,4,7,18,25,0,44.3,44.3,100.0,40719.299999999996,1357.3,124
97,31,create,5,43,15,1,1,45.8,44.3,100.0,40719.299999999996,1357.3,124
98,31,deploy,4,43,15,1,1,45.8,45.8,100.0,41301.6,1332.3,124
99,32,create,10,44,20,3,3,47.8,45.8,100.0,41301.6,1332.3,124
100,32,create,5,45,15,54,54,49.3,45.8,100.0,41301.6,1332.3,124
101,32,remove,4,43,15,1,0,47.8,44.3,100.0,40719.299999999996,1357.3,124
102,32,deploy,4,44,20,3,3,47.8,46.3,100.0,41273.799999999996,1331.4,124
103,32,deploy,11,45,15,54,54,47.8,47.8,100.0,45710.2,1428.4,139
104,33,create,10,46,11,90,90,48.9,47.8,100.0,45710.2,1428.4,139
105,33,deploy,6,46,11,90,90,48.9,48.9,100.0,46017.5,1394.5,139
106,34,remove,4,25,18,16,0,47.1,47.1,100.0,45518.8,1422.5,139
107,34,create,9,47,17,7,7,48.8,47.1,100.0,45518.8,1422.5,139
108,34,create,10,48,20,22,22,50.8,47.1,100.0,45518.8,1422.5,139
109,34,deploy,4,47,17,7,7,50.8,48.8,100.0,45988.5,1393.6,139
110,34,deploy,11,48,20,22,22,50.8,50.8,100.0,50672.3,1490.4,157
111,35,remove,6,34,12,15,0,49.6,49.6,100.0,50343.2,1525.6,157
112,35,remove,4,44,20,3,0,47.6,47.6,100.0,49789.899999999994,1555.9,157
113,35,create,10,49,18,152,152,49.4,47.6,100.0,49789.899999999994,1555.9,157
114,35,deploy,4,49,18,152,152,49.4,49.4,100.0,50289.0,1523.9,157
115,36,create,7,50,18,84,84,51.2,49.4,100.0,50289.0,1523.9,157
116,36,create,5,51,15,22,22,52.7,49.4,100.0,50289.0,1523.9,157
117,36,create,9,52,16,12,12,54.3,49.4,100.0,50289.0,1523.9,157
118,36,deploy,11,50,18,84,84,54.3,51.2,100.0,53465.9,1572.5,169
119,36,deploy,4,51,15,22,22,54.3,52.7,100.0,54009.9,1543.1,169
120,36,deploy,11,52,16,12,12,54.3,54.3,100.0,56351.600000000006,1565.3,178
121,37,remove,6,40,19,9,0,52.4,52.4,100.0,55822.8,1594.9,178
122,37,create,10,53,20,100,100,54.4,52.4,100.0,55822.8,1594.9,178
123,37,deploy,6,53,20,100,100,54.4,54.4,100.0,56372.3,1565.9,178
124,38,create,5,54,20,87,87,56.3,54.4,100.0,56372.3,1565.9,178
125,38,deploy,11,54,20,87,87,56.3,56.3,100.0,59392.9,1605.2,190
