id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,3.3,0.0,0.0,0,0.0,0
5,1,deploy,1,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
8,1,deploy,1,1,14,5,5,3.3,2.8,100.0,2652.4,2652.4,9
9,1,remap_successfully,-,-,-,-,-,3.3,2.8,100.0,2652.4,2652.4,9
10,1,deploy,1,2,19,174,174,3.3,4.7,100.0,4537.0,2268.5,15
11,3,create,5,3,19,13,13,5.2,4.7,100.0,4537.0,2268.5,15
12,3,remap,-,-,-,-,-,-,-,-,-,-,-
13,3,interrupt,-,1,14,5,3,5.2,4.7,100.0,4537.0,2268.5,15
14,3,interrupt,-,2,19,174,172,5.2,4.7,100.0,4537.0,2268.5,15
15,3,deploy,1,2,19,174,172,5.2,6.5,100.0,3487.3,3487.3,12
16,3,deploy,1,1,14,5,3,5.2,7.9,100.0,4537.0,2268.5,15
17,3,remap_successfully,-,-,-,-,-,5.2,7.9,100.0,4537.0,2268.5,15
18,3,deploy,1,3,19,13,13,5.2,9.8,100.0,5276.1,1758.7,16
19,4,create,9,4,11,57,57,6.2,9.8,100.0,5276.1,1758.7,16
20,4,remap,-,-,-,-,-,-,-,-,-,-,-
21,4,interrupt,-,2,19,174,171,6.2,9.8,100.0,5276.1,1758.7,16
22,4,interrupt,-,1,14,5,2,6.2,9.8,100.0,5276.1,1758.7,16
23,4,interrupt,-,3,19,13,12,6.2,9.8,100.0,5276.1,1758.7,16
24,4,deploy,1,2,19,174,171,6.2,11.7,100.0,3488.6,3488.6,12
25,4,deploy,1,3,19,13,12,6.2,13.6,100.0,4677.1,2338.6,15
26,4,deploy,1,1,14,5,2,6.2,15.0,100.0,5275.2,1758.4,16
27,4,remap_successfully,-,-,-,-,-,6.2,15.0,100.0,5275.2,1758.4,16
28,4,deploy,1,4,11,57,57,6.2,16.1,100.0,5580.8,1395.2,16
29,5,create,7,5,15,101,101,7.7,16.1,100.0,5580.8,1395.2,16
30,5,create,9,6,16,10,10,9.3,16.1,100.0,5580.8,1395.2,16
31,5,remap,-,-,-,-,-,-,-,-,-,-,-
32,5,interrupt,-,2,19,174,170,9.3,16.1,100.0,5580.8,1395.2,16
33,5,interrupt,-,3,19,13,11,9.3,16.1,100.0,5580.8,1395.2,16
34,5,interrupt,-,1,14,5,1,9.3,16.1,100.0,5580.8,1395.2,16
35,5,interrupt,-,4,11,57,56,9.3,16.1,100.0,5580.8,1395.2,16
36,5,deploy,1,2,19,174,170,9.3,18.0,100.0,2628.9,2628.9,8
37,5,deploy,1,3,19,13,11,9.3,19.8,100.0,4472.6,2236.3,14
38,5,deploy,1,1,14,5,1,9.3,21.2,100.0,5275.2,1758.4,16
39,5,deploy,1,4,11,57,56,9.3,22.3,100.0,5582.2,1395.5,16
40,5,remap_successfully,-,-,-,-,-,9.3,22.3,100.0,5582.2,1395.5,16
41,5,deploy,6,5,15,101,101,9.3,23.8,100.0,9340.0,1868.0,29
42,5,remap,-,-,-,-,-,-,-,-,-,-,-
43,5,interrupt,-,2,19,174,170,9.3,23.8,100.0,9340.0,1868.0,29
44,5,interrupt,-,3,19,13,11,9.3,23.8,100.0,9340.0,1868.0,29
45,5,interrupt,-,1,14,5,1,9.3,23.8,100.0,9340.0,1868.0,29
46,5,interrupt,-,4,11,57,56,9.3,23.8,100.0,9340.0,1868.0,29
47,5,interrupt,-,5,15,101,101,9.3,23.8,100.0,9340.0,1868.0,29
48,5,deploy,1,2,19,174,170,9.3,25.7,100.0,3322.6,3322.6,24
49,5,deploy,1,3,19,13,11,9.3,27.6,100.0,4883.4,2441.7,29
50,5,deploy,1,5,15,101,101,9.3,29.1,100.0,5303.5,1767.8,29
51,5,deploy,6,1,14,5,1,9.3,30.5,100.0,8785.0,2196.2,28
52,5,deploy,1,4,11,57,56,9.3,31.5,100.0,9132.3,1826.5,28
53,5,remap_successfully,-,-,-,-,-,9.3,31.5,100.0,9132.3,1826.5,28
54,5,deploy,6,6,16,10,10,9.3,33.1,100.0,12091.8,2015.3,39
55,6,create,10,7,18,25,25,11.1,33.1,100.0,12091.8,2015.3,39
56,6,remove,6,1,14,5,0,9.7,31.7,100.0,9720.9,1944.2,31
57,6,remap,-,-,-,-,-,-,-,-,-,-,-
58,6,interrupt,-,2,19,174,169,9.7,31.7,100.0,9720.9,1944.2,31
59,6,interrupt,-,3,19,13,10,9.7,31.7,100.0,9720.9,1944.2,31
60,6,interrupt,-,5,15,101,100,9.7,31.7,100.0,9720.9,1944.2,31
61,6,interrupt,-,4,11,57,55,9.7,31.7,100.0,9720.9,1944.2,31
62,6,interrupt,-,6,16,10,9,9.7,31.7,100.0,9720.9,1944.2,31
63,6,deploy,1,2,19,174,169,9.7,33.6,100.0,3283.5,3283.5,26
64,6,deploy,1,3,19,13,10,9.7,35.5,100.0,4474.3,2237.2,29
65,6,deploy,1,6,16,10,9,9.7,37.1,100.0,5331.3,1777.1,31
66,6,deploy,6,5,15,101,100,9.7,38.6,100.0,9333.5,2333.4,30
67,6,deploy,6,4,11,57,55,9.7,39.7,100.0,11332.1,2266.4,37
68,6,remap_successfully,-,-,-,-,-,9.7,39.7,100.0,11332.1,2266.4,37
69,6,deploy,6,7,18,25,25,9.7,41.5,100.0,13769.7,2295.0,46
70,7,create,5,8,11,8,8,10.8,41.5,100.0,13769.7,2295.0,46
71,7,create,9,9,11,22,22,11.9,41.5,100.0,13769.7,2295.0,46
72,7,create,10,10,14,5,5,13.3,41.5,100.0,13769.7,2295.0,46
73,7,remap,-,-,-,-,-,-,-,-,-,-,-
74,7,interrupt,-,2,19,174,168,13.3,41.5,100.0,13769.7,2295.0,46
75,7,interrupt,-,3,19,13,9,13.3,41.5,100.0,13769.7,2295.0,46
76,7,interrupt,-,6,16,10,8,13.3,41.5,100.0,13769.7,2295.0,46
77,7,interrupt,-,5,15,101,99,13.3,41.5,100.0,13769.7,2295.0,46
78,7,interrupt,-,4,11,57,54,13.3,41.5,100.0,13769.7,2295.0,46
79,7,interrupt,-,7,18,25,24,13.3,41.5,100.0,13769.7,2295.0,46
80,7,deploy,1,2,19,174,168,13.3,43.4,100.0,3486.2,3486.2,42
81,7,deploy,1,3,19,13,9,13.3,45.2,100.0,4472.2,2236.1,44
82,7,deploy,1,7,18,25,24,13.3,47.0,100.0,5181.8,1727.3,45
83,7,deploy,6,6,16,10,8,13.3,48.6,100.0,9257.5,2314.4,29
84,7,deploy,6,5,15,101,99,13.3,50.1,100.0,11898.1,2379.6,39
85,7,deploy,6,4,11,57,54,13.3,51.2,100.0,12906.6,2151.1,42
86,7,remap_successfully,-,-,-,-,-,13.3,51.2,100.0,12906.6,2151.1,42
87,7,deploy,6,8,11,8,8,13.3,52.3,100.0,14900.900000000001,2128.7,50
88,7,remap,-,-,-,-,-,-,-,-,-,-,-
89,7,interrupt,-,2,19,174,168,13.3,52.3,100.0,14900.900000000001,2128.7,50
90,7,interrupt,-,3,19,13,9,13.3,52.3,100.0,14900.900000000001,2128.7,50
91,7,interrupt,-,7,18,25,24,13.3,52.3,100.0,14900.900000000001,2128.7,50
92,7,interrupt,-,6,16,10,8,13.3,52.3,100.0,14900.900000000001,2128.7,50
93,7,interrupt,-,5,15,101,99,13.3,52.3,100.0,14900.900000000001,2128.7,50
94,7,interrupt,-,4,11,57,54,13.3,52.3,100.0,14900.900000000001,2128.7,50
95,7,interrupt,-,8,11,8,8,13.3,52.3,100.0,14900.900000000001,2128.7,50
96,7,deploy,1,2,19,174,168,13.3,54.2,100.0,3490.3,3490.3,47
97,7,deploy,1,3,19,13,9,13.3,56.1,100.0,4883.3,2441.7,51
98,7,deploy,1,7,18,25,24,13.3,57.8,100.0,5386.9,1795.6,51
99,7,deploy,6,6,16,10,8,13.3,59.4,100.0,9420.099999999999,2355.0,30
100,7,deploy,6,5,15,101,99,13.3,60.9,100.0,12348.7,2469.7,41
101,7,deploy,6,4,11,57,54,13.3,62.0,100.0,13727.4,2287.9,46
102,7,deploy,6,8,11,8,8,13.3,63.1,100.0,15103.199999999999,2157.6,51
103,7,remap_successfully,-,-,-,-,-,13.3,63.1,100.0,15103.199999999999,2157.6,51
104,7,deploy,6,9,11,22,22,13.3,64.2,100.0,16064.699999999999,2008.1,54
105,7,remap,-,-,-,-,-,-,-,-,-,-,-
106,7,interrupt,-,2,19,174,168,13.3,64.2,100.0,16064.699999999999,2008.1,54
107,7,interrupt,-,3,19,13,9,13.3,64.2,100.0,16064.699999999999,2008.1,54
108,7,interrupt,-,7,18,25,24,13.3,64.2,100.0,16064.699999999999,2008.1,54
109,7,interrupt,-,6,16,10,8,13.3,64.2,100.0,16064.699999999999,2008.1,54
110,7,interrupt,-,5,15,101,99,13.3,64.2,100.0,16064.699999999999,2008.1,54
111,7,interrupt,-,4,11,57,54,13.3,64.2,100.0,16064.699999999999,2008.1,54
112,7,interrupt,-,8,11,8,8,13.3,64.2,100.0,16064.699999999999,2008.1,54
113,7,interrupt,-,9,11,22,22,13.3,64.2,100.0,16064.699999999999,2008.1,54
114,7,deploy,1,2,19,174,168,13.3,66.1,100.0,3488.1,3488.1,50
115,7,deploy,1,3,19,13,9,13.3,68.0,100.0,4677.9,2338.9,53
116,7,deploy,1,7,18,25,24,13.3,69.7,100.0,5181.8,1727.3,53
117,7,deploy,4,6,16,10,8,13.3,71.3,100.0,9051.1,2262.8,66
118,7,deploy,4,5,15,101,99,13.3,72.8,100.0,11733.3,2346.7,76
119,7,deploy,4,4,11,57,54,13.3,73.9,100.0,13523.8,2254.0,83
120,7,deploy,4,8,11,8,8,13.3,75.0,100.0,14655.099999999999,2093.6,87
121,7,deploy,4,9,11,22,22,13.3,76.1,100.0,15416.2,1927.0,89
122,7,remap_successfully,-,-,-,-,-,13.3,76.1,100.0,15416.2,1927.0,89
123,7,deploy,4,10,14,5,5,13.3,77.5,100.0,16422.6,1824.7,92
124,8,create,10,11,13,109,109,14.6,77.5,100.0,16422.6,1824.7,92
125,8,remap,-,-,-,-,-,-,-,-,-,-,-
