id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,3.3,0.0,0.0,0,0.0,0
5,1,deploy,1,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
8,1,deploy,1,1,14,5,5,3.3,2.8,100.0,2652.4,2652.4,9
9,1,remap_successfully,-,-,-,-,-,3.3,2.8,100.0,2652.4,2652.4,9
10,1,deploy,1,2,19,174,174,3.3,4.7,100.0,4537.0,2268.5,15
11,3,create,5,3,19,13,13,5.2,4.7,100.0,4537.0,2268.5,15
12,3,remap,-,-,-,-,-,-,-,-,-,-,-
13,3,interrupt,-,1,14,5,3,5.2,4.7,100.0,4537.0,2268.5,15
14,3,interrupt,-,2,19,174,172,5.2,4.7,100.0,4537.0,2268.5,15
15,3,deploy,1,1,14,5,3,5.2,6.1,100.0,2938.3,2938.3,10
16,3,deploy,1,2,19,174,172,5.2,7.9,100.0,4126.7,2063.3,13
17,3,remap_successfully,-,-,-,-,-,5.2,7.9,100.0,4126.7,2063.3,13
18,3,deploy,1,3,19,13,13,5.2,9.8,100.0,5275.7,1758.6,16
19,4,create,9,4,11,57,57,6.2,9.8,100.0,5275.7,1758.6,16
20,4,remap,-,-,-,-,-,-,-,-,-,-,-
21,4,interrupt,-,1,14,5,2,6.2,9.8,100.0,5275.7,1758.6,16
22,4,interrupt,-,2,19,174,171,6.2,9.8,100.0,5275.7,1758.6,16
23,4,interrupt,-,3,19,13,12,6.2,9.8,100.0,5275.7,1758.6,16
24,4,deploy,1,1,14,5,2,6.2,11.2,100.0,2936.6,2936.6,10
25,4,deploy,1,2,19,174,171,6.2,13.1,100.0,4742.6,2371.3,16
26,4,deploy,1,3,19,13,12,6.2,15.0,100.0,5275.6,1758.5,16
27,4,remap_successfully,-,-,-,-,-,6.2,15.0,100.0,5275.6,1758.5,16
28,4,deploy,1,4,11,57,57,6.2,16.1,100.0,5580.8,1395.2,16
29,5,create,7,5,15,101,101,7.7,16.1,100.0,5580.8,1395.2,16
30,5,create,9,6,16,10,10,9.3,16.1,100.0,5580.8,1395.2,16
31,5,remap,-,-,-,-,-,-,-,-,-,-,-
32,5,interrupt,-,1,14,5,1,9.3,16.1,100.0,5580.8,1395.2,16
33,5,interrupt,-,2,19,174,170,9.3,16.1,100.0,5580.8,1395.2,16
34,5,interrupt,-,3,19,13,11,9.3,16.1,100.0,5580.8,1395.2,16
35,5,interrupt,-,4,11,57,56,9.3,16.1,100.0,5580.8,1395.2,16
36,5,deploy,1,4,11,57,56,9.3,17.2,100.0,2199.9,2199.9,7
37,5,deploy,1,1,14,5,1,9.3,18.6,100.0,3699.0,1849.5,12
38,5,deploy,1,2,19,174,170,9.3,20.4,100.0,4640.3,1546.8,14
39,5,deploy,1,3,19,13,11,9.3,22.3,100.0,5580.4,1395.1,16
40,5,remap_successfully,-,-,-,-,-,9.3,22.3,100.0,5580.4,1395.1,16
41,5,deploy,4,5,15,101,101,9.3,23.8,100.0,9173.8,1834.8,28
42,5,remap,-,-,-,-,-,-,-,-,-,-,-
43,5,interrupt,-,4,11,57,56,9.3,23.8,100.0,9173.8,1834.8,28
44,5,interrupt,-,1,14,5,1,9.3,23.8,100.0,9173.8,1834.8,28
45,5,interrupt,-,2,19,174,170,9.3,23.8,100.0,9173.8,1834.8,28
46,5,interrupt,-,3,19,13,11,9.3,23.8,100.0,9173.8,1834.8,28
47,5,interrupt,-,5,15,101,101,9.3,23.8,100.0,9173.8,1834.8,28
48,5,deploy,1,4,11,57,56,9.3,24.9,100.0,2485.0,2485.0,20
49,5,deploy,1,1,14,5,1,9.3,26.3,100.0,3288.4,1644.2,22
50,5,deploy,1,5,15,101,101,9.3,27.8,100.0,4734.0,1578.0,27
51,5,deploy,1,2,19,174,170,9.3,29.7,100.0,5469.1,1367.3,28
52,5,deploy,6,3,19,13,11,9.3,31.5,100.0,9835.1,1967.0,43
53,5,remap_successfully,-,-,-,-,-,9.3,31.5,100.0,9835.1,1967.0,43
54,5,deploy,6,6,16,10,10,9.3,33.1,100.0,12667.2,2111.2,54
55,6,create,10,7,18,25,25,11.1,33.1,100.0,12667.2,2111.2,54
56,6,remove,1,1,14,5,0,9.7,31.7,100.0,12278.6,2455.7,54
57,6,remap,-,-,-,-,-,-,-,-,-,-,-
58,6,interrupt,-,4,11,57,55,9.7,31.7,100.0,12278.6,2455.7,54
59,6,interrupt,-,5,15,101,100,9.7,31.7,100.0,12278.6,2455.7,54
60,6,interrupt,-,2,19,174,169,9.7,31.7,100.0,12278.6,2455.7,54
61,6,interrupt,-,3,19,13,10,9.7,31.7,100.0,12278.6,2455.7,54
62,6,interrupt,-,6,16,10,9,9.7,31.7,100.0,12278.6,2455.7,54
63,6,deploy,1,4,11,57,55,9.7,32.8,100.0,2400.4,2400.4,46
64,6,deploy,1,5,15,101,100,9.7,34.3,100.0,4135.6,2067.8,52
65,6,deploy,1,6,16,10,9,9.7,35.9,100.0,4995.6,1665.2,54
66,6,deploy,1,2,19,174,169,9.7,37.8,100.0,5526.5,1381.6,54
67,6,deploy,6,3,19,13,10,9.7,39.7,100.0,10339.0,2067.8,45
68,6,remap_successfully,-,-,-,-,-,9.7,39.7,100.0,10339.0,2067.8,45
69,6,deploy,6,7,18,25,25,9.7,41.5,100.0,13232.9,2205.5,56
70,7,create,5,8,11,8,8,10.8,41.5,100.0,13232.9,2205.5,56
71,7,create,9,9,11,22,22,11.9,41.5,100.0,13232.9,2205.5,56
72,7,create,10,10,14,5,5,13.3,41.5,100.0,13232.9,2205.5,56
73,7,remap,-,-,-,-,-,-,-,-,-,-,-
74,7,interrupt,-,4,11,57,54,13.3,41.5,100.0,13232.9,2205.5,56
75,7,interrupt,-,5,15,101,99,13.3,41.5,100.0,13232.9,2205.5,56
76,7,interrupt,-,6,16,10,8,13.3,41.5,100.0,13232.9,2205.5,56
77,7,interrupt,-,2,19,174,168,13.3,41.5,100.0,13232.9,2205.5,56
78,7,interrupt,-,3,19,13,9,13.3,41.5,100.0,13232.9,2205.5,56
79,7,interrupt,-,7,18,25,24,13.3,41.5,100.0,13232.9,2205.5,56
80,7,deploy,1,4,11,57,54,13.3,42.6,100.0,2156.2,2156.2,47
81,7,deploy,1,5,15,101,99,13.3,44.0,100.0,3275.3,1637.7,50
82,7,deploy,1,6,16,10,8,13.3,45.6,100.0,4584.5,1528.2,54
83,7,deploy,1,7,18,25,24,13.3,47.4,100.0,5498.3,1374.6,56
84,7,deploy,4,2,19,174,168,13.3,49.3,100.0,9984.900000000001,1997.0,59
85,7,deploy,4,3,19,13,9,13.3,51.2,100.0,12903.3,2150.5,70
86,7,remap_successfully,-,-,-,-,-,13.3,51.2,100.0,12903.3,2150.5,70
87,7,deploy,4,8,11,8,8,13.3,52.3,100.0,14485.7,2069.4,76
88,7,remap,-,-,-,-,-,-,-,-,-,-,-
89,7,interrupt,-,4,11,57,54,13.3,52.3,100.0,14485.7,2069.4,76
90,7,interrupt,-,5,15,101,99,13.3,52.3,100.0,14485.7,2069.4,76
91,7,interrupt,-,6,16,10,8,13.3,52.3,100.0,14485.7,2069.4,76
92,7,interrupt,-,7,18,25,24,13.3,52.3,100.0,14485.7,2069.4,76
93,7,interrupt,-,2,19,174,168,13.3,52.3,100.0,14485.7,2069.4,76
94,7,interrupt,-,3,19,13,9,13.3,52.3,100.0,14485.7,2069.4,76
95,7,interrupt,-,8,11,8,8,13.3,52.3,100.0,14485.7,2069.4,76
96,7,deploy,1,4,11,57,54,13.3,53.4,100.0,2199.4,2199.4,67
97,7,deploy,1,8,11,8,8,13.3,54.5,100.0,3370.7,1685.3,71
98,7,deploy,1,5,15,101,99,13.3,56.0,100.0,4650.5,1550.2,75
99,7,deploy,1,6,16,10,8,13.3,57.5,100.0,5303.3,1325.8,76
100,7,deploy,4,7,18,25,24,13.3,59.3,100.0,9187.8,1837.6,57
101,7,deploy,4,2,19,174,168,13.3,61.2,100.0,12146.3,2024.4,68
102,7,deploy,4,3,19,13,9,13.3,63.1,100.0,14815.5,2116.5,78
103,7,remap_successfully,-,-,-,-,-,13.3,63.1,100.0,14815.5,2116.5,78
104,7,deploy,1,9,11,22,22,13.3,64.2,100.0,15122.6,1890.3,78
105,7,remap,-,-,-,-,-,-,-,-,-,-,-
106,7,interrupt,-,4,11,57,54,13.3,64.2,100.0,15122.6,1890.3,78
107,7,interrupt,-,8,11,8,8,13.3,64.2,100.0,15122.6,1890.3,78
108,7,interrupt,-,5,15,101,99,13.3,64.2,100.0,15122.6,1890.3,78
109,7,interrupt,-,6,16,10,8,13.3,64.2,100.0,15122.6,1890.3,78
110,7,interrupt,-,7,18,25,24,13.3,64.2,100.0,15122.6,1890.3,78
111,7,interrupt,-,2,19,174,168,13.3,64.2,100.0,15122.6,1890.3,78
112,7,interrupt,-,3,19,13,9,13.3,64.2,100.0,15122.6,1890.3,78
113,7,interrupt,-,9,11,22,22,13.3,64.2,100.0,15122.6,1890.3,78
114,7,deploy,1,4,11,57,54,13.3,65.3,100.0,2115.8,2115.8,69
115,7,deploy,1,8,11,8,8,13.3,66.4,100.0,3367.4,1683.7,73
116,7,deploy,1,9,11,22,22,13.3,67.5,100.0,4333.6,1444.5,76
117,7,deploy,1,5,15,101,99,13.3,68.9,100.0,5163.4,1290.8,78
118,7,deploy,1,6,16,10,8,13.3,70.5,100.0,5606.4,1121.3,78
119,7,deploy,6,7,18,25,24,13.3,72.3,100.0,9984.599999999999,1664.1,65
120,7,deploy,6,2,19,174,168,13.3,74.2,100.0,12694.0,1813.4,75
121,7,deploy,6,3,19,13,9,13.3,76.1,100.0,15158.9,1894.9,84
122,7,remap_successfully,-,-,-,-,-,13.3,76.1,100.0,15158.9,1894.9,84
123,7,deploy,6,10,14,5,5,13.3,77.5,100.0,16169.3,1796.6,87
124,8,create,10,11,13,109,109,14.6,77.5,100.0,16169.3,1796.6,87
125,8,remap,-,-,-,-,-,-,-,-,-,-,-
126,8,interrupt,-,4,11,57,53,14.6,77.5,100.0,16169.3,1796.6,87
