id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,5,5,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,19,174,174,3.3,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,3.3,0.0,0.0,0,0.0,0
5,1,deploy,1,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,5,5,3.3,1.4,100.0,3140.6,3140.6,11
8,1,deploy,1,1,14,5,5,3.3,2.8,100.0,2652.4,2652.4,9
9,1,remap_successfully,-,-,-,-,-,3.3,2.8,100.0,2652.4,2652.4,9
10,1,deploy,1,2,19,174,174,3.3,4.7,100.0,4537.0,2268.5,15
11,3,create,5,3,19,13,13,5.2,4.7,100.0,4537.0,2268.5,15
12,3,remap,-,-,-,-,-,-,-,-,-,-,-
13,3,interrupt,-,1,14,5,3,5.2,4.7,100.0,4537.0,2268.5,15
14,3,interrupt,-,2,19,174,172,5.2,4.7,100.0,4537.0,2268.5,15
15,3,deploy,1,1,14,5,3,5.2,6.1,100.0,2938.3,2938.3,10
16,3,deploy,1,2,19,174,172,5.2,7.9,100.0,4126.7,2063.3,13
17,3,remap_successfully,-,-,-,-,-,5.2,7.9,100.0,4126.7,2063.3,13
18,3,deploy,1,3,19,13,13,5.2,9.8,100.0,5275.7,1758.6,16
19,4,create,9,4,11,57,57,6.2,9.8,100.0,5275.7,1758.6,16
20,4,remap,-,-,-,-,-,-,-,-,-,-,-
21,4,interrupt,-,1,14,5,2,6.2,9.8,100.0,5275.7,1758.6,16
22,4,interrupt,-,2,19,174,171,6.2,9.8,100.0,5275.7,1758.6,16
23,4,interrupt,-,3,19,13,12,6.2,9.8,100.0,5275.7,1758.6,16
24,4,deploy,1,1,14,5,2,6.2,11.2,100.0,2936.6,2936.6,10
25,4,deploy,1,2,19,174,171,6.2,13.1,100.0,4742.6,2371.3,16
26,4,deploy,1,3,19,13,12,6.2,15.0,100.0,5275.6,1758.5,16
27,4,remap_successfully,-,-,-,-,-,6.2,15.0,100.0,5275.6,1758.5,16
28,4,deploy,1,4,11,57,57,6.2,16.1,100.0,5580.8,1395.2,16
29,5,create,7,5,15,101,101,7.7,16.1,100.0,5580.8,1395.2,16
30,5,create,9,6,16,10,10,9.3,16.1,100.0,5580.8,1395.2,16
31,5,remap,-,-,-,-,-,-,-,-,-,-,-
32,5,interrupt,-,1,14,5,1,9.3,16.1,100.0,5580.8,1395.2,16
33,5,interrupt,-,2,19,174,170,9.3,16.1,100.0,5580.8,1395.2,16
34,5,interrupt,-,3,19,13,11,9.3,16.1,100.0,5580.8,1395.2,16
35,5,interrupt,-,4,11,57,56,9.3,16.1,100.0,5580.8,1395.2,16
36,5,deploy,1,1,14,5,1,9.3,17.5,100.0,2488.9,2488.9,8
37,5,deploy,1,2,19,174,170,9.3,19.3,100.0,4538.6,2269.3,15
38,5,deploy,1,3,19,13,11,9.3,21.2,100.0,5275.6,1758.5,16
39,5,deploy,1,4,11,57,56,9.3,22.3,100.0,5582.6,1395.7,16
40,5,remap_successfully,-,-,-,-,-,9.3,22.3,100.0,5582.6,1395.7,16
41,5,deploy,4,5,15,101,101,9.3,23.8,100.0,9589.2,1917.8,30
42,5,remap,-,-,-,-,-,-,-,-,-,-,-
43,5,interrupt,-,1,14,5,1,9.3,23.8,100.0,9589.2,1917.8,30
44,5,interrupt,-,2,19,174,170,9.3,23.8,100.0,9589.2,1917.8,30
45,5,interrupt,-,3,19,13,11,9.3,23.8,100.0,9589.2,1917.8,30
46,5,interrupt,-,4,11,57,56,9.3,23.8,100.0,9589.2,1917.8,30
47,5,interrupt,-,5,15,101,101,9.3,23.8,100.0,9589.2,1917.8,30
48,5,deploy,1,1,14,5,1,9.3,25.2,100.0,2691.6,2691.6,23
49,5,deploy,1,2,19,174,170,9.3,27.1,100.0,4539.1,2269.6,29
50,5,deploy,1,3,19,13,11,9.3,29.0,100.0,5275.3,1758.4,30
51,5,deploy,1,4,11,57,56,9.3,30.1,100.0,5580.8,1395.2,30
52,5,deploy,6,5,15,101,101,9.3,31.5,100.0,9299.0,1859.8,43
53,5,remap_successfully,-,-,-,-,-,9.3,31.5,100.0,9299.0,1859.8,43
54,5,deploy,6,6,16,10,10,9.3,33.1,100.0,11845.7,1974.3,52
55,6,create,10,7,18,25,25,11.1,33.1,100.0,11845.7,1974.3,52
56,6,remove,1,1,14,5,0,9.7,31.7,100.0,11456.3,2291.3,52
57,6,remap,-,-,-,-,-,-,-,-,-,-,-
58,6,interrupt,-,2,19,174,169,9.7,31.7,100.0,11456.3,2291.3,52
59,6,interrupt,-,3,19,13,10,9.7,31.7,100.0,11456.3,2291.3,52
60,6,interrupt,-,4,11,57,55,9.7,31.7,100.0,11456.3,2291.3,52
61,6,interrupt,-,5,15,101,100,9.7,31.7,100.0,11456.3,2291.3,52
62,6,interrupt,-,6,16,10,9,9.7,31.7,100.0,11456.3,2291.3,52
63,6,deploy,1,2,19,174,169,9.7,33.6,100.0,3941.6,3941.6,50
64,6,deploy,1,3,19,13,10,9.7,35.5,100.0,4678.7,2339.3,51
65,6,deploy,1,4,11,57,55,9.7,36.6,100.0,5192.2,1730.7,52
66,6,deploy,1,5,15,101,100,9.7,38.1,100.0,5610.4,1402.6,52
67,6,deploy,4,6,16,10,9,9.7,39.7,100.0,9601.5,1920.3,52
68,6,remap_successfully,-,-,-,-,-,9.7,39.7,100.0,9601.5,1920.3,52
69,6,deploy,4,7,18,25,25,9.7,41.5,100.0,13562.099999999999,2260.3,67
70,7,create,5,8,11,8,8,10.8,41.5,100.0,13562.099999999999,2260.3,67
71,7,create,9,9,11,22,22,11.9,41.5,100.0,13562.099999999999,2260.3,67
72,7,create,10,10,14,5,5,13.3,41.5,100.0,13562.099999999999,2260.3,67
73,7,remap,-,-,-,-,-,-,-,-,-,-,-
74,7,interrupt,-,2,19,174,168,13.3,41.5,100.0,13562.099999999999,2260.3,67
75,7,interrupt,-,3,19,13,9,13.3,41.5,100.0,13562.099999999999,2260.3,67
76,7,interrupt,-,4,11,57,54,13.3,41.5,100.0,13562.099999999999,2260.3,67
77,7,interrupt,-,5,15,101,99,13.3,41.5,100.0,13562.099999999999,2260.3,67
78,7,interrupt,-,6,16,10,8,13.3,41.5,100.0,13562.099999999999,2260.3,67
79,7,interrupt,-,7,18,25,24,13.3,41.5,100.0,13562.099999999999,2260.3,67
80,7,deploy,1,2,19,174,168,13.3,43.4,100.0,3284.8,3284.8,62
81,7,deploy,1,3,19,13,9,13.3,45.2,100.0,4473.0,2236.5,65
82,7,deploy,1,4,11,57,54,13.3,46.3,100.0,5191.6,1730.5,67
83,7,deploy,1,5,15,101,99,13.3,47.8,100.0,5610.0,1402.5,67
84,7,deploy,6,6,16,10,8,13.3,49.4,100.0,9641.1,1928.2,59
85,7,deploy,6,7,18,25,24,13.3,51.2,100.0,13270.7,2211.8,73
86,7,remap_successfully,-,-,-,-,-,13.3,51.2,100.0,13270.7,2211.8,73
87,7,deploy,6,8,11,8,8,13.3,52.3,100.0,14854.3,2122.0,79
88,7,remap,-,-,-,-,-,-,-,-,-,-,-
89,7,interrupt,-,2,19,174,168,13.3,52.3,100.0,14854.3,2122.0,79
90,7,interrupt,-,3,19,13,9,13.3,52.3,100.0,14854.3,2122.0,79
91,7,interrupt,-,4,11,57,54,13.3,52.3,100.0,14854.3,2122.0,79
92,7,interrupt,-,5,15,101,99,13.3,52.3,100.0,14854.3,2122.0,79
93,7,interrupt,-,6,16,10,8,13.3,52.3,100.0,14854.3,2122.0,79
94,7,interrupt,-,7,18,25,24,13.3,52.3,100.0,14854.3,2122.0,79
95,7,interrupt,-,8,11,8,8,13.3,52.3,100.0,14854.3,2122.0,79
96,7,deploy,1,2,19,174,168,13.3,54.2,100.0,3528.8,3528.8,75
97,7,deploy,1,3,19,13,9,13.3,56.1,100.0,4267.9,2133.9,76
98,7,deploy,1,4,11,57,54,13.3,57.1,100.0,4987.0,1662.3,78
99,7,deploy,1,5,15,101,99,13.3,58.6,100.0,5610.4,1402.6,79
100,7,deploy,4,6,16,10,8,13.3,60.2,100.0,9517.9,1903.6,63
101,7,deploy,4,7,18,25,24,13.3,62.0,100.0,12328.099999999999,2054.7,74
102,7,deploy,4,8,11,8,8,13.3,63.1,100.0,13294.2,1899.2,77
103,7,remap_successfully,-,-,-,-,-,13.3,63.1,100.0,13294.2,1899.2,77
104,7,deploy,4,9,11,22,22,13.3,64.2,100.0,14710.9,1838.9,82
105,7,remap,-,-,-,-,-,-,-,-,-,-,-
106,7,interrupt,-,2,19,174,168,13.3,64.2,100.0,14710.9,1838.9,82
107,7,interrupt,-,3,19,13,9,13.3,64.2,100.0,14710.9,1838.9,82
108,7,interrupt,-,4,11,57,54,13.3,64.2,100.0,14710.9,1838.9,82
109,7,interrupt,-,5,15,101,99,13.3,64.2,100.0,14710.9,1838.9,82
110,7,interrupt,-,6,16,10,8,13.3,64.2,100.0,14710.9,1838.9,82
111,7,interrupt,-,7,18,25,24,13.3,64.2,100.0,14710.9,1838.9,82
112,7,interrupt,-,8,11,8,8,13.3,64.2,100.0,14710.9,1838.9,82
113,7,interrupt,-,9,11,22,22,13.3,64.2,100.0,14710.9,1838.9,82
114,7,deploy,1,2,19,174,168,13.3,66.1,100.0,2628.5,2628.5,74
115,7,deploy,1,3,19,13,9,13.3,68.0,100.0,4883.4,2441.7,82
116,7,deploy,1,4,11,57,54,13.3,69.0,100.0,5191.7,1730.6,82
117,7,deploy,1,5,15,101,99,13.3,70.5,100.0,5610.4,1402.6,82
118,7,deploy,6,6,16,10,8,13.3,72.1,100.0,9396.5,1879.3,61
119,7,deploy,6,7,18,25,24,13.3,73.9,100.0,11713.0,1952.2,69
120,7,deploy,6,8,11,8,8,13.3,75.0,100.0,13173.5,1881.9,74
121,7,deploy,6,9,11,22,22,13.3,76.1,100.0,14795.6,1849.5,80
122,7,remap_successfully,-,-,-,-,-,13.3,76.1,100.0,14795.6,1849.5,80
123,7,deploy,6,10,14,5,5,13.3,77.5,100.0,16214.5,1801.6,85
124,8,create,10,11,13,109,109,14.6,77.5,100.0,16214.5,1801.6,85
125,8,remap,-,-,-,-,-,-,-,-,-,-,-
126,8,interrupt,-,2,19,174,167,14.6,77.5,100.0,16214.5,1801.6,85
