id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,113,113,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,12,68,68,2.6,0.0,0.0,0,0.0,0
3,1,deploy,2,1,14,113,113,2.6,1.4,100.0,1255.0,1255.0,4
4,1,deploy,2,2,12,68,68,2.6,2.6,100.0,2293.6,1146.8,7
5,2,create,7,3,11,6,6,3.7,2.6,100.0,2293.6,1146.8,7
6,2,create,10,4,19,25,25,5.6,2.6,100.0,2293.6,1146.8,7
7,2,deploy,2,3,11,6,6,5.6,3.7,100.0,3216.4,1072.1,10
8,2,deploy,2,4,19,25,25,5.6,5.6,100.0,4612.0,1153.0,14
9,3,create,5,5,10,152,152,6.6,5.6,100.0,4612.0,1153.0,14
10,3,deploy,2,5,10,152,152,6.6,6.6,100.0,5551.1,1110.2,17
11,4,create,9,6,11,50,50,7.7,6.6,100.0,5551.1,1110.2,17
12,4,create,7,7,17,36,36,9.4,6.6,100.0,5551.1,1110.2,17
13,4,create,5,8,19,17,17,11.3,6.6,100.0,5551.1,1110.2,17
14,4,deploy,2,6,11,50,50,11.3,7.7,100.0,6473.9,1079.0,20
15,4,deploy,2,7,17,36,36,11.3,9.4,100.0,7805.3,1115.0,24
16,4,deploy,2,8,19,17,17,11.3,11.3,100.0,9528.7,1191.1,29
17,5,create,9,9,16,229,229,12.9,11.3,100.0,9528.7,1191.1,29
18,5,create,7,10,12,62,62,14.1,11.3,100.0,9528.7,1191.1,29
19,5,deploy,2,9,16,229,229,14.1,12.9,100.0,10884.1,1209.3,33
20,5,deploy,2,10,12,62,62,14.1,14.1,100.0,11879.3,1187.9,36
21,7,create,10,11,18,134,134,15.9,14.1,100.0,11879.3,1187.9,36
22,7,create,5,12,14,72,72,17.3,14.1,100.0,11879.3,1187.9,36
23,7,create,7,13,12,7,7,18.5,14.1,100.0,11879.3,1187.9,36
24,7,deploy,2,11,18,134,134,18.5,15.9,100.0,13199.8,1200.0,40
25,7,deploy,2,12,14,72,72,18.5,17.3,100.0,14455.8,1204.6,44
26,7,deploy,2,13,12,7,7,18.5,18.5,100.0,15450.6,1188.5,47
27,8,remove,2,3,11,6,0,17.4,17.4,100.0,14733.3,1227.8,45
28,8,create,5,14,20,69,69,19.4,17.4,100.0,14733.3,1227.8,45
29,8,deploy,2,14,20,69,69,19.4,19.4,100.0,16353.9,1258.0,50
30,10,create,7,15,18,104,104,21.2,19.4,100.0,16353.9,1258.0,50
31,10,create,5,16,10,24,24,22.2,19.4,100.0,16353.9,1258.0,50
32,10,deploy,2,15,18,104,104,22.2,21.2,100.0,17604.9,1257.5,53
33,10,deploy,2,16,10,24,24,22.2,22.2,100.0,18588.2,1239.2,56
34,11,create,10,17,19,96,96,24.1,22.2,100.0,18588.2,1239.2,56
35,11,deploy,2,17,19,96,96,24.1,24.1,100.0,20187.2,1261.7,61
36,12,create,10,18,12,84,84,25.3,24.1,100.0,20187.2,1261.7,61
37,12,deploy,2,18,12,84,84,25.3,25.3,100.0,21137.8,1243.4,64
38,14,create,9,19,19,17,17,27.2,25.3,100.0,21137.8,1243.4,64
39,14,remove,2,13,12,7,0,26.0,24.1,100.0,20348.5,1271.8,62
40,14,create,7,20,11,93,93,27.1,24.1,100.0,20348.5,1271.8,62
41,14,create,10,21,15,3,3,28.6,24.1,100.0,20348.5,1271.8,62
42,14,deploy,2,19,19,17,17,28.6,26.0,100.0,21709.6,1277.0,65
43,14,deploy,2,20,11,93,93,28.6,27.1,100.0,22675.6,1259.8,68
44,14,deploy,2,21,15,3,3,28.6,28.6,100.0,23959.5,1261.0,72
45,16,create,5,22,16,4,4,30.2,28.6,100.0,23959.5,1261.0,72
46,16,create,7,23,15,19,19,31.7,28.6,100.0,23959.5,1261.0,72
47,16,deploy,2,22,16,4,4,31.7,30.2,100.0,25312.7,1265.6,76
48,16,deploy,2,23,15,19,19,31.7,31.7,100.0,26551.5,1264.4,80
49,17,remove,2,21,15,3,0,30.2,30.2,100.0,25475.3,1273.8,77
50,18,create,10,24,15,88,88,31.7,30.2,100.0,25475.3,1273.8,77
51,18,deploy,2,24,15,88,88,31.7,31.7,100.0,26549.7,1264.3,80
52,19,create,9,25,12,65,65,32.9,31.7,100.0,26549.7,1264.3,80
53,19,create,7,26,18,26,26,34.7,31.7,100.0,26549.7,1264.3,80
54,19,drop,-,25,12,65,65,34.7,31.7,96.0,26549.7,1264.3,80
55,19,drop,-,26,18,26,26,33.5,31.7,92.3,26549.7,1264.3,80
56,20,create,5,27,17,99,99,33.4,31.7,92.3,26549.7,1264.3,80
57,20,remove,2,22,16,4,0,31.8,30.1,92.3,25151.3,1257.6,76
58,20,deploy,2,27,17,99,99,31.8,31.8,92.6,26529.0,1263.3,80
59,21,remove,2,8,19,17,0,29.9,29.9,92.6,25053.8,1252.7,76
60,21,create,9,28,11,329,329,31.0,29.9,92.6,25053.8,1252.7,76
61,21,create,5,29,12,117,117,32.2,29.9,92.6,25053.8,1252.7,76
62,21,deploy,2,28,11,329,329,32.2,31.0,92.9,26109.9,1243.3,79
63,21,drop,-,29,12,117,117,32.2,31.0,89.7,26109.9,1243.3,79
64,22,create,7,30,12,50,50,32.2,31.0,89.7,26109.9,1243.3,79
