id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,113,113,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,12,68,68,2.6,0.0,0.0,0,0.0,0
3,1,remap,-,-,-,-,-,-,-,-,-,-,-
4,1,remap_successfully,-,-,-,-,-,2.6,0.0,0.0,0,0.0,0
5,1,deploy,2,1,14,113,113,2.6,1.4,100.0,1255.0,1255.0,4
6,1,remap,-,-,-,-,-,-,-,-,-,-,-
7,1,interrupt,-,1,14,113,113,2.6,1.4,100.0,1255.0,1255.0,4
8,1,deploy,2,1,14,113,113,2.6,2.8,100.0,1255.0,1255.0,4
9,1,remap_successfully,-,-,-,-,-,2.6,2.8,100.0,1255.0,1255.0,4
10,1,deploy,2,2,12,68,68,2.6,4.0,100.0,2293.6,1146.8,7
11,2,create,7,3,11,6,6,3.7,4.0,100.0,2293.6,1146.8,7
12,2,create,10,4,19,25,25,5.6,4.0,100.0,2293.6,1146.8,7
13,2,remap,-,-,-,-,-,-,-,-,-,-,-
14,2,interrupt,-,1,14,113,112,5.6,4.0,100.0,2293.6,1146.8,7
15,2,interrupt,-,2,12,68,67,5.6,4.0,100.0,2293.6,1146.8,7
16,2,deploy,2,1,14,113,112,5.6,5.4,100.0,1255.0,1255.0,4
17,2,deploy,2,2,12,68,67,5.6,6.6,100.0,2293.6,1146.8,7
18,2,remap_successfully,-,-,-,-,-,5.6,6.6,100.0,2293.6,1146.8,7
19,2,deploy,2,3,11,6,6,5.6,7.7,100.0,3216.4,1072.1,10
20,2,remap,-,-,-,-,-,-,-,-,-,-,-
21,2,interrupt,-,1,14,113,112,5.6,7.7,100.0,3216.4,1072.1,10
22,2,interrupt,-,2,12,68,67,5.6,7.7,100.0,3216.4,1072.1,10
23,2,interrupt,-,3,11,6,6,5.6,7.7,100.0,3216.4,1072.1,10
24,2,deploy,2,1,14,113,112,5.6,9.1,100.0,1255.0,1255.0,4
25,2,deploy,2,2,12,68,67,5.6,10.3,100.0,2293.6,1146.8,7
26,2,deploy,2,3,11,6,6,5.6,11.4,100.0,3216.4,1072.1,10
27,2,remap_successfully,-,-,-,-,-,5.6,11.4,100.0,3216.4,1072.1,10
28,2,deploy,2,4,19,25,25,5.6,13.3,100.0,4612.0,1153.0,14
29,3,create,5,5,10,152,152,6.6,13.3,100.0,4612.0,1153.0,14
30,3,remap,-,-,-,-,-,-,-,-,-,-,-
31,3,interrupt,-,1,14,113,111,6.6,13.3,100.0,4612.0,1153.0,14
32,3,interrupt,-,2,12,68,66,6.6,13.3,100.0,4612.0,1153.0,14
33,3,interrupt,-,3,11,6,5,6.6,13.3,100.0,4612.0,1153.0,14
34,3,interrupt,-,4,19,25,24,6.6,13.3,100.0,4612.0,1153.0,14
35,3,deploy,2,4,19,25,24,6.6,15.2,100.0,1599.8,1599.8,5
36,3,deploy,2,1,14,113,111,6.6,16.6,100.0,2898.6,1449.3,9
37,3,deploy,2,2,12,68,66,6.6,17.8,100.0,3893.4,1297.8,12
38,3,deploy,2,3,11,6,5,6.6,18.9,100.0,4816.2,1204.0,15
39,3,remap_successfully,-,-,-,-,-,6.6,18.9,100.0,4816.2,1204.0,15
40,3,deploy,2,5,10,152,152,6.6,19.9,100.0,5550.2,1110.0,17
41,4,create,9,6,11,50,50,7.7,19.9,100.0,5550.2,1110.0,17
42,4,create,7,7,17,36,36,9.4,19.9,100.0,5550.2,1110.0,17
43,4,create,5,8,19,17,17,11.3,19.9,100.0,5550.2,1110.0,17
44,4,remap,-,-,-,-,-,-,-,-,-,-,-
45,4,interrupt,-,4,19,25,23,11.3,19.9,100.0,5550.2,1110.0,17
46,4,interrupt,-,1,14,113,110,11.3,19.9,100.0,5550.2,1110.0,17
47,4,interrupt,-,2,12,68,65,11.3,19.9,100.0,5550.2,1110.0,17
48,4,interrupt,-,3,11,6,4,11.3,19.9,100.0,5550.2,1110.0,17
49,4,interrupt,-,5,10,152,151,11.3,19.9,100.0,5550.2,1110.0,17
50,4,deploy,2,4,19,25,23,11.3,21.8,100.0,1599.8,1599.8,5
51,4,deploy,2,1,14,113,110,11.3,23.2,100.0,2898.6,1449.3,9
52,4,deploy,2,2,12,68,65,11.3,24.4,100.0,3893.4,1297.8,12
53,4,deploy,2,3,11,6,4,11.3,25.5,100.0,4816.2,1204.0,15
54,4,deploy,2,5,10,152,151,11.3,26.5,100.0,5550.2,1110.0,17
55,4,remap_successfully,-,-,-,-,-,11.3,26.5,100.0,5550.2,1110.0,17
56,4,deploy,2,6,11,50,50,11.3,27.6,100.0,6473.0,1078.8,20
57,4,remap,-,-,-,-,-,-,-,-,-,-,-
58,4,interrupt,-,4,19,25,23,11.3,27.6,100.0,6473.0,1078.8,20
59,4,interrupt,-,1,14,113,110,11.3,27.6,100.0,6473.0,1078.8,20
60,4,interrupt,-,2,12,68,65,11.3,27.6,100.0,6473.0,1078.8,20
61,4,interrupt,-,3,11,6,4,11.3,27.6,100.0,6473.0,1078.8,20
62,4,interrupt,-,5,10,152,151,11.3,27.6,100.0,6473.0,1078.8,20
63,4,interrupt,-,6,11,50,50,11.3,27.6,100.0,6473.0,1078.8,20
64,4,deploy,2,4,19,25,23,11.3,29.5,100.0,1599.8,1599.8,5
