id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,acceptance,power,P_per_sfc,active_server
1,1,create,7,1,14,113,113,1.4,0.0,0.0,0,0.0,0
2,1,create,10,2,12,68,68,2.6,0.0,0.0,0,0.0,0
3,1,deploy,11,1,14,113,113,2.6,1.4,100.0,1254.2,1254.2,4
4,1,deploy,4,2,12,68,68,2.6,2.6,100.0,2246.4,1123.2,7
5,2,create,7,3,11,6,6,3.7,2.6,100.0,2246.4,1123.2,7
6,2,create,10,4,19,25,25,5.6,2.6,100.0,2246.4,1123.2,7
7,2,deploy,4,3,11,6,6,5.6,3.7,100.0,3210.7,1070.2,10
8,2,deploy,6,4,19,25,25,5.6,5.6,100.0,4893.8,1223.5,15
9,3,create,5,5,10,152,152,6.5,5.6,100.0,4893.8,1223.5,15
10,3,deploy,11,5,10,152,152,6.5,6.5,100.0,5669.9,1134.0,17
11,4,create,9,6,11,50,50,7.6,6.5,100.0,5669.9,1134.0,17
12,4,create,7,7,17,36,36,9.3,6.5,100.0,5669.9,1134.0,17
13,4,create,5,8,19,17,17,11.2,6.5,100.0,5669.9,1134.0,17
14,4,deploy,11,6,11,50,50,11.2,7.6,100.0,6636.0,1106.0,20
15,4,deploy,11,7,17,36,36,11.2,9.3,100.0,7967.5,1138.2,24
16,4,deploy,11,8,19,17,17,11.2,11.2,100.0,9689.3,1211.2,29
17,5,create,9,9,16,229,229,12.8,11.2,100.0,9689.3,1211.2,29
18,5,create,7,10,12,62,62,14.0,11.2,100.0,9689.3,1211.2,29
19,5,deploy,6,9,16,229,229,14.0,12.8,100.0,11041.5,1226.8,33
20,5,deploy,4,10,12,62,62,14.0,14.0,100.0,12077.099999999999,1207.7,36
21,7,create,10,11,18,134,134,15.8,14.0,100.0,12077.099999999999,1207.7,36
22,7,create,5,12,14,72,72,17.2,14.0,100.0,12077.099999999999,1207.7,36
23,7,create,7,13,12,7,7,18.4,14.0,100.0,12077.099999999999,1207.7,36
24,7,deploy,11,11,18,134,134,18.4,15.8,100.0,13686.099999999999,1244.2,41
25,7,deploy,11,12,14,72,72,18.4,17.2,100.0,14736.699999999999,1228.1,44
26,7,deploy,11,13,12,7,7,18.4,18.4,100.0,15731.6,1210.1,47
27,8,remove,4,3,11,6,0,17.3,17.3,100.0,14971.900000000001,1247.7,45
28,8,create,5,14,20,69,69,19.2,17.3,100.0,14971.900000000001,1247.7,45
29,8,deploy,4,14,20,69,69,19.2,19.2,100.0,16512.5,1270.2,49
30,10,create,7,15,18,104,104,21.0,19.2,100.0,16512.5,1270.2,49
31,10,create,5,16,10,24,24,22.0,19.2,100.0,16512.5,1270.2,49
32,10,deploy,11,15,18,104,104,22.0,21.0,100.0,18169.4,1297.8,54
33,10,deploy,11,16,10,24,24,22.0,22.0,100.0,18858.9,1257.3,56
34,11,create,10,17,19,96,96,23.9,22.0,100.0,18858.9,1257.3,56
35,11,deploy,11,17,19,96,96,23.9,23.9,100.0,20497.5,1281.1,61
36,12,create,10,18,12,84,84,25.1,23.9,100.0,20497.5,1281.1,61
37,12,deploy,11,18,12,84,84,25.1,25.1,100.0,21448.1,1261.7,64
38,14,create,9,19,19,17,17,27.0,25.1,100.0,21448.1,1261.7,64
39,14,remove,11,13,12,7,0,25.8,23.9,100.0,20703.9,1294.0,62
40,14,create,7,20,11,93,93,26.9,23.9,100.0,20703.9,1294.0,62
41,14,create,10,21,15,3,3,28.4,23.9,100.0,20703.9,1294.0,62
42,14,deploy,4,19,19,17,17,28.4,25.8,100.0,22388.1,1316.9,67
43,14,deploy,11,20,11,93,93,28.4,26.9,100.0,23105.5,1283.6,69
44,14,deploy,1,21,15,3,3,28.4,28.4,100.0,24468.3,1287.8,73
45,16,create,5,22,16,4,4,30.0,28.4,100.0,24468.3,1287.8,73
46,16,create,7,23,15,19,19,31.4,28.4,100.0,24468.3,1287.8,73
47,16,deploy,4,22,16,4,4,31.4,30.0,100.0,25852.4,1292.6,77
48,16,deploy,4,23,15,19,19,31.4,31.4,100.0,27170.7,1293.8,81
49,17,remove,1,21,15,3,0,30.0,30.0,100.0,25807.9,1290.4,77
50,18,create,10,24,15,88,88,31.4,30.0,100.0,25807.9,1290.4,77
51,18,deploy,1,24,15,88,88,31.4,31.4,100.0,27167.100000000002,1293.7,81
52,19,create,9,25,12,65,65,32.6,31.4,100.0,27167.100000000002,1293.7,81
53,19,create,7,26,18,26,26,34.4,31.4,100.0,27167.100000000002,1293.7,81
54,19,deploy,4,25,12,65,65,34.4,32.6,100.0,28159.8,1280.0,84
55,19,deploy,4,26,18,26,26,34.4,34.4,100.0,29608.3,1287.3,88
56,20,create,5,27,17,99,99,36.1,34.4,100.0,29608.3,1287.3,88
57,20,remove,4,22,16,4,0,34.5,32.8,100.0,28471.600000000002,1294.2,85
58,20,deploy,6,27,17,99,99,34.5,34.5,100.0,29931.300000000003,1301.4,89
59,21,remove,11,8,19,17,0,32.6,32.6,100.0,28458.2,1293.6,85
60,21,create,9,28,11,329,329,33.7,32.6,100.0,28458.2,1293.6,85
61,21,create,5,29,12,117,117,34.9,32.6,100.0,28458.2,1293.6,85
62,21,deploy,4,28,11,329,329,34.9,33.7,100.0,29261.9,1272.3,87
63,21,deploy,11,29,12,117,117,34.9,34.9,100.0,30132.6,1255.5,89
