realtime,time,traffic,Average-traffic
43108,1/8/2018 0:00,0,3
43108.01,1/8/2018 0:15,0,3
43108.02,1/8/2018 0:30,0,3
43108.03,1/8/2018 0:45,0,3
43108.04,1/8/2018 1:00,0,2
43108.05,1/8/2018 1:15,0,2
43108.06,1/8/2018 1:30,0,2
43108.07,1/8/2018 1:45,0,2
43108.08,1/8/2018 2:00,0,1
43108.09,1/8/2018 2:15,0,1
43108.1,1/8/2018 2:30,0,1
43108.11,1/8/2018 2:45,0,1
43108.13,1/8/2018 3:00,1,1
43108.14,1/8/2018 3:15,1,1
43108.15,1/8/2018 3:30,1,1
43108.16,1/8/2018 3:45,1,1
43108.17,1/8/2018 4:00,0,3
43108.18,1/8/2018 4:15,0,3
43108.19,1/8/2018 4:30,0,3
43108.2,1/8/2018 4:45,0,3
43108.21,1/8/2018 5:00,5,7
43108.22,1/8/2018 5:15,5,7
43108.23,1/8/2018 5:30,5,7
43108.24,1/8/2018 5:45,5,7
43108.25,1/8/2018 6:00,23,29
43108.26,1/8/2018 6:15,23,29
43108.27,1/8/2018 6:30,23,29
43108.28,1/8/2018 6:45,23,29
43108.29,1/8/2018 7:00,82,85
43108.3,1/8/2018 7:15,82,85
43108.31,1/8/2018 7:30,82,85
43108.32,1/8/2018 7:45,82,85
43108.33,1/8/2018 8:00,115,119
43108.34,1/8/2018 8:15,115,119
43108.35,1/8/2018 8:30,115,119
43108.36,1/8/2018 8:45,115,119
43108.38,1/8/2018 9:00,40,55
43108.39,1/8/2018 9:15,40,55
43108.4,1/8/2018 9:30,40,55
43108.41,1/8/2018 9:45,40,55
43108.42,1/8/2018 10:00,31,54
43108.43,1/8/2018 10:15,31,54
43108.44,1/8/2018 10:30,31,54
43108.45,1/8/2018 10:45,31,54
43108.46,1/8/2018 11:00,24,60
43108.47,1/8/2018 11:15,24,60
43108.48,1/8/2018 11:30,24,60
43108.49,1/8/2018 11:45,24,60
43108.5,1/8/2018 12:00,32,66
43108.51,1/8/2018 12:15,32,66
43108.52,1/8/2018 12:30,32,66
43108.53,1/8/2018 12:45,32,66
43108.54,1/8/2018 13:00,35,80
43108.55,1/8/2018 13:15,35,80
43108.56,1/8/2018 13:30,35,80
43108.57,1/8/2018 13:45,35,80
43108.58,1/8/2018 14:00,53,113
43108.59,1/8/2018 14:15,53,113
43108.6,1/8/2018 14:30,53,113
43108.61,1/8/2018 14:45,53,113
43108.63,1/8/2018 15:00,90,121
43108.64,1/8/2018 15:15,90,121
43108.65,1/8/2018 15:30,90,121
43108.66,1/8/2018 15:45,90,121
43108.67,1/8/2018 16:00,82,111
43108.68,1/8/2018 16:15,82,111
43108.69,1/8/2018 16:30,82,111
43108.7,1/8/2018 16:45,82,111
43108.71,1/8/2018 17:00,59,88
43108.72,1/8/2018 17:15,59,88
43108.73,1/8/2018 17:30,59,88
43108.74,1/8/2018 17:45,59,88
43108.75,1/8/2018 18:00,22,45
43108.76,1/8/2018 18:15,22,45
43108.77,1/8/2018 18:30,22,45
43108.78,1/8/2018 18:45,22,45
43108.79,1/8/2018 19:00,7,40
43108.8,1/8/2018 19:15,7,40
43108.81,1/8/2018 19:30,7,40
43108.82,1/8/2018 19:45,7,40
43108.83,1/8/2018 20:00,13,29
43108.84,1/8/2018 20:15,13,29
43108.85,1/8/2018 20:30,13,29
43108.86,1/8/2018 20:45,13,29
43108.88,1/8/2018 21:00,7,18
43108.89,1/8/2018 21:15,7,18
43108.9,1/8/2018 21:30,7,18
43108.91,1/8/2018 21:45,7,18
43108.92,1/8/2018 22:00,2,12
43108.93,1/8/2018 22:15,2,12
43108.94,1/8/2018 22:30,2,12
43108.95,1/8/2018 22:45,2,12
43108.96,1/8/2018 23:00,5,10
43108.97,1/8/2018 23:15,5,10
43108.98,1/8/2018 23:30,5,10
43108.99,1/8/2018 23:45,5,10
43109,1/9/2018 0:00,3,
43109.01,1/9/2018 0:15,3,
43109.02,1/9/2018 0:30,3,
43109.03,1/9/2018 0:45,3,
43109.04,1/9/2018 1:00,0,
43109.05,1/9/2018 1:15,0,
43109.06,1/9/2018 1:30,0,
43109.07,1/9/2018 1:45,0,
43109.08,1/9/2018 2:00,0,
43109.09,1/9/2018 2:15,0,
43109.1,1/9/2018 2:30,0,
43109.11,1/9/2018 2:45,0,
43109.13,1/9/2018 3:00,0,
43109.14,1/9/2018 3:15,0,
43109.15,1/9/2018 3:30,0,
43109.16,1/9/2018 3:45,0,
43109.17,1/9/2018 4:00,0,
43109.18,1/9/2018 4:15,0,
43109.19,1/9/2018 4:30,0,
43109.2,1/9/2018 4:45,0,
43109.21,1/9/2018 5:00,5,
43109.22,1/9/2018 5:15,5,
43109.23,1/9/2018 5:30,5,
43109.24,1/9/2018 5:45,5,
43109.25,1/9/2018 6:00,25,
43109.26,1/9/2018 6:15,25,
43109.27,1/9/2018 6:30,25,
43109.28,1/9/2018 6:45,25,
43109.29,1/9/2018 7:00,84,
43109.3,1/9/2018 7:15,84,
43109.31,1/9/2018 7:30,84,
43109.32,1/9/2018 7:45,84,
43109.33,1/9/2018 8:00,124,
43109.34,1/9/2018 8:15,124,
43109.35,1/9/2018 8:30,124,
43109.36,1/9/2018 8:45,124,
43109.38,1/9/2018 9:00,25,
43109.39,1/9/2018 9:15,25,
43109.4,1/9/2018 9:30,25,
43109.41,1/9/2018 9:45,25,
43109.42,1/9/2018 10:00,24,
43109.43,1/9/2018 10:15,24,
43109.44,1/9/2018 10:30,24,
43109.45,1/9/2018 10:45,24,
43109.46,1/9/2018 11:00,38,
43109.47,1/9/2018 11:15,38,
43109.48,1/9/2018 11:30,38,
43109.49,1/9/2018 11:45,38,
43109.5,1/9/2018 12:00,33,
43109.51,1/9/2018 12:15,33,
43109.52,1/9/2018 12:30,33,
43109.53,1/9/2018 12:45,33,
43109.54,1/9/2018 13:00,50,
43109.55,1/9/2018 13:15,50,
43109.56,1/9/2018 13:30,50,
43109.57,1/9/2018 13:45,50,
43109.58,1/9/2018 14:00,96,
43109.59,1/9/2018 14:15,96,
43109.6,1/9/2018 14:30,96,
43109.61,1/9/2018 14:45,96,
43109.63,1/9/2018 15:00,80,
43109.64,1/9/2018 15:15,80,
43109.65,1/9/2018 15:30,80,
43109.66,1/9/2018 15:45,80,
43109.67,1/9/2018 16:00,55,
43109.68,1/9/2018 16:15,55,
43109.69,1/9/2018 16:30,55,
43109.7,1/9/2018 16:45,55,
43109.71,1/9/2018 17:00,65,
43109.72,1/9/2018 17:15,65,
43109.73,1/9/2018 17:30,65,
43109.74,1/9/2018 17:45,65,
43109.75,1/9/2018 18:00,17,
43109.76,1/9/2018 18:15,17,
43109.77,1/9/2018 18:30,17,
43109.78,1/9/2018 18:45,17,
43109.79,1/9/2018 19:00,17,
43109.8,1/9/2018 19:15,17,
43109.81,1/9/2018 19:30,17,
43109.82,1/9/2018 19:45,17,
43109.83,1/9/2018 20:00,12,
43109.84,1/9/2018 20:15,12,
43109.85,1/9/2018 20:30,12,
43109.86,1/9/2018 20:45,12,
43109.88,1/9/2018 21:00,6,
43109.89,1/9/2018 21:15,6,
43109.9,1/9/2018 21:30,6,
43109.91,1/9/2018 21:45,6,
43109.92,1/9/2018 22:00,7,
43109.93,1/9/2018 22:15,7,
43109.94,1/9/2018 22:30,7,
43109.95,1/9/2018 22:45,7,
43109.96,1/9/2018 23:00,5,
43109.97,1/9/2018 23:15,5,
43109.98,1/9/2018 23:30,5,
43109.99,1/9/2018 23:45,5,
43110,1/10/2018 0:00,1,
43110.01,1/10/2018 0:15,1,
43110.02,1/10/2018 0:30,1,
43110.03,1/10/2018 0:45,1,
43110.04,1/10/2018 1:00,0,
43110.05,1/10/2018 1:15,0,
43110.06,1/10/2018 1:30,0,
43110.07,1/10/2018 1:45,0,
43110.08,1/10/2018 2:00,0,
43110.09,1/10/2018 2:15,0,
43110.1,1/10/2018 2:30,0,
43110.11,1/10/2018 2:45,0,
43110.13,1/10/2018 3:00,0,
43110.14,1/10/2018 3:15,0,
43110.15,1/10/2018 3:30,0,
43110.16,1/10/2018 3:45,0,
43110.17,1/10/2018 4:00,2,
43110.18,1/10/2018 4:15,2,
43110.19,1/10/2018 4:30,2,
43110.2,1/10/2018 4:45,2,
43110.21,1/10/2018 5:00,5,
43110.22,1/10/2018 5:15,5,
43110.23,1/10/2018 5:30,5,
43110.24,1/10/2018 5:45,5,
43110.25,1/10/2018 6:00,20,
43110.26,1/10/2018 6:15,20,
43110.27,1/10/2018 6:30,20,
43110.28,1/10/2018 6:45,20,
43110.29,1/10/2018 7:00,58,
43110.3,1/10/2018 7:15,58,
43110.31,1/10/2018 7:30,58,
43110.32,1/10/2018 7:45,58,
43110.33,1/10/2018 8:00,86,
43110.34,1/10/2018 8:15,86,
43110.35,1/10/2018 8:30,86,
43110.36,1/10/2018 8:45,86,
43110.38,1/10/2018 9:00,21,
43110.39,1/10/2018 9:15,21,
43110.4,1/10/2018 9:30,21,
43110.41,1/10/2018 9:45,21,
43110.42,1/10/2018 10:00,20,
43110.43,1/10/2018 10:15,20,
43110.44,1/10/2018 10:30,20,
43110.45,1/10/2018 10:45,20,
43110.46,1/10/2018 11:00,16,
43110.47,1/10/2018 11:15,16,
43110.48,1/10/2018 11:30,16,
43110.49,1/10/2018 11:45,16,
43110.5,1/10/2018 12:00,22,
43110.51,1/10/2018 12:15,22,
43110.52,1/10/2018 12:30,22,
43110.53,1/10/2018 12:45,22,
43110.54,1/10/2018 13:00,27,
43110.55,1/10/2018 13:15,27,
43110.56,1/10/2018 13:30,27,
43110.57,1/10/2018 13:45,27,
43110.58,1/10/2018 14:00,61,
43110.59,1/10/2018 14:15,61,
43110.6,1/10/2018 14:30,61,
43110.61,1/10/2018 14:45,61,
43110.63,1/10/2018 15:00,66,
43110.64,1/10/2018 15:15,66,
43110.65,1/10/2018 15:30,66,
43110.66,1/10/2018 15:45,66,
43110.67,1/10/2018 16:00,57,
43110.68,1/10/2018 16:15,57,
43110.69,1/10/2018 16:30,57,
43110.7,1/10/2018 16:45,57,
43110.71,1/10/2018 17:00,44,
43110.72,1/10/2018 17:15,44,
43110.73,1/10/2018 17:30,44,
43110.74,1/10/2018 17:45,44,
43110.75,1/10/2018 18:00,26,
43110.76,1/10/2018 18:15,26,
43110.77,1/10/2018 18:30,26,
43110.78,1/10/2018 18:45,26,
43110.79,1/10/2018 19:00,18,
43110.8,1/10/2018 19:15,18,
43110.81,1/10/2018 19:30,18,
43110.82,1/10/2018 19:45,18,
43110.83,1/10/2018 20:00,14,
43110.84,1/10/2018 20:15,14,
43110.85,1/10/2018 20:30,14,
43110.86,1/10/2018 20:45,14,
43110.88,1/10/2018 21:00,11,
43110.89,1/10/2018 21:15,11,
43110.9,1/10/2018 21:30,11,
43110.91,1/10/2018 21:45,11,
43110.92,1/10/2018 22:00,9,
43110.93,1/10/2018 22:15,9,
43110.94,1/10/2018 22:30,9,
43110.95,1/10/2018 22:45,9,
43110.96,1/10/2018 23:00,5,
43110.97,1/10/2018 23:15,5,
43110.98,1/10/2018 23:30,5,
43110.99,1/10/2018 23:45,5,
43111,1/11/2018 0:00,0,
43111.01,1/11/2018 0:15,0,
43111.02,1/11/2018 0:30,0,
43111.03,1/11/2018 0:45,0,
43111.04,1/11/2018 1:00,0,
43111.05,1/11/2018 1:15,0,
43111.06,1/11/2018 1:30,0,
43111.07,1/11/2018 1:45,0,
43111.08,1/11/2018 2:00,0,
43111.09,1/11/2018 2:15,0,
43111.1,1/11/2018 2:30,0,
43111.11,1/11/2018 2:45,0,
43111.13,1/11/2018 3:00,1,
43111.14,1/11/2018 3:15,1,
43111.15,1/11/2018 3:30,1,
43111.16,1/11/2018 3:45,1,
43111.17,1/11/2018 4:00,2,
43111.18,1/11/2018 4:15,2,
43111.19,1/11/2018 4:30,2,
43111.2,1/11/2018 4:45,2,
43111.21,1/11/2018 5:00,6,
43111.22,1/11/2018 5:15,6,
43111.23,1/11/2018 5:30,6,
43111.24,1/11/2018 5:45,6,
43111.25,1/11/2018 6:00,21,
43111.26,1/11/2018 6:15,21,
43111.27,1/11/2018 6:30,21,
43111.28,1/11/2018 6:45,21,
43111.29,1/11/2018 7:00,83,
43111.3,1/11/2018 7:15,83,
43111.31,1/11/2018 7:30,83,
43111.32,1/11/2018 7:45,83,
43111.33,1/11/2018 8:00,107,
43111.34,1/11/2018 8:15,107,
43111.35,1/11/2018 8:30,107,
43111.36,1/11/2018 8:45,107,
43111.38,1/11/2018 9:00,29,
43111.39,1/11/2018 9:15,29,
43111.4,1/11/2018 9:30,29,
43111.41,1/11/2018 9:45,29,
43111.42,1/11/2018 10:00,35,
43111.43,1/11/2018 10:15,35,
43111.44,1/11/2018 10:30,35,
43111.45,1/11/2018 10:45,35,
43111.46,1/11/2018 11:00,39,
43111.47,1/11/2018 11:15,39,
43111.48,1/11/2018 11:30,39,
43111.49,1/11/2018 11:45,39,
43111.5,1/11/2018 12:00,42,
43111.51,1/11/2018 12:15,42,
