id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,11,275,181,181,0.0,0,0.0,0,0.0,0
2,1,remap,-,-,-,-,-,-,-,-,-,-,-,-
3,1,deploy,2,1,11,275,181,181,1.1,0,100.0,3007.2,3007.2,10
4,11,create,10,2,12,295,39,39,1.1,0,100.0,3007.2,3007.2,10
5,11,remap,-,-,-,-,-,-,-,-,-,-,-,-
6,11,interrupt,-,1,11,275,181,171,0.0,0,100.0,-,-,-
7,11,redeploy,2,1,11,275,181,171,1.1,0,100.0,3299.0,3299.0,11
8,11,remap_successfully,-,-,-,-,-,-,1.1,0,100.0,3299.0,3299.0,11
9,11,deploy,2,2,12,295,39,39,2.3,0,100.0,6569.2,3284.6,23
10,16,create,5,3,13,323,131,131,2.3,0,100.0,6569.2,3284.6,23
11,16,remap,-,-,-,-,-,-,-,-,-,-,-,-
12,16,interrupt,-,1,11,275,181,166,1.2,0,100.0,-,-,-
13,16,interrupt,-,2,12,295,39,34,0.0,0,100.0,-,-,-
14,16,redeploy,2,2,12,295,39,34,1.2,0,100.0,3453.1,3453.1,11
15,16,redeploy,2,1,11,275,181,166,2.3,0,100.0,6200.5,3100.2,21
16,16,remap_successfully,-,-,-,-,-,-,2.3,0,100.0,6200.5,3100.2,21
17,16,deploy,2,3,13,323,131,131,3.6,0,100.0,9534.4,3178.1,34
18,38,create,7,4,11,271,67,67,3.6,0,100.0,9534.4,3178.1,34
19,38,create,5,5,13,326,2,2,3.6,0,100.0,9534.4,3178.1,34
20,38,remap,-,-,-,-,-,-,-,-,-,-,-,-
21,38,interrupt,-,2,12,295,39,12,2.4,0,100.0,-,-,-
22,38,interrupt,-,1,11,275,181,144,1.3,0,100.0,-,-,-
23,38,interrupt,-,3,13,323,131,109,0.0,0,100.0,-,-,-
24,38,redeploy,2,3,13,323,131,109,1.3,0,100.0,3893.6,3893.6,13
25,38,redeploy,2,2,12,295,39,12,2.5,0,100.0,6541.5,3270.8,23
26,38,interrupt,-,3,13,323,131,109,1.2,0,100.0,-,-,-
27,38,interrupt,-,2,12,295,39,12,0.0,0,100.0,-,-,-
28,38,redeploy,2,2,12,295,39,12,1.2,0,100.0,3453.1,3453.1,11
29,38,redeploy,2,1,11,275,181,144,2.3,0,100.0,6200.5,3100.2,21
30,38,redeploy,2,3,13,323,131,109,3.6,0,100.0,9534.4,3178.1,34
31,38,remap_failed,-,-,-,-,-,-,3.6,0,100.0,9534.4,3178.1,34
32,38,deploy,2,4,11,271,67,67,4.7,0,100.0,11652.3,2913.1,42
33,38,remap,-,-,-,-,-,-,-,-,-,-,-,-
34,38,interrupt,-,2,12,295,39,12,3.5,0,100.0,-,-,-
35,38,interrupt,-,1,11,275,181,144,2.4,0,100.0,-,-,-
36,38,interrupt,-,3,13,323,131,109,1.1,0,100.0,-,-,-
37,38,interrupt,-,4,11,271,67,67,0.0,0,100.0,-,-,-
38,38,redeploy,2,3,13,323,131,109,1.3,0,100.0,3806.2,3806.2,13
39,38,redeploy,2,2,12,295,39,12,2.5,0,100.0,6957.8,3478.9,24
40,38,redeploy,2,1,11,275,181,144,3.6,0,100.0,9534.4,3178.1,34
41,38,interrupt,-,3,13,323,131,109,2.3,0,100.0,-,-,-
42,38,interrupt,-,2,12,295,39,12,1.1,0,100.0,-,-,-
43,38,interrupt,-,1,11,275,181,144,0.0,0,100.0,-,-,-
44,38,redeploy,2,2,12,295,39,12,1.2,0,100.0,3453.1,3453.1,11
45,38,redeploy,2,1,11,275,181,144,2.3,0,100.0,6200.5,3100.2,21
46,38,redeploy,2,3,13,323,131,109,3.6,0,100.0,9534.4,3178.1,34
47,38,redeploy,2,4,11,271,67,67,4.7,0,100.0,11652.3,2913.1,42
48,38,remap_failed,-,-,-,-,-,-,4.7,0,100.0,11652.3,2913.1,42
49,38,deploy,2,5,13,326,2,2,6.0,0,100.0,14039.0,2807.8,51
50,39,create,9,6,12,298,412,412,6.0,0,100.0,14039.0,2807.8,51
51,39,remap,-,-,-,-,-,-,-,-,-,-,-,-
52,39,interrupt,-,2,12,295,39,11,4.8,0,100.0,-,-,-
53,39,interrupt,-,1,11,275,181,143,3.7,0,100.0,-,-,-
54,39,interrupt,-,3,13,323,131,108,2.4,0,100.0,-,-,-
55,39,interrupt,-,4,11,271,67,66,1.3,0,100.0,-,-,-
56,39,interrupt,-,5,13,326,2,1,0.0,0,100.0,-,-,-
