id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,468,13,13,0.0,0,0.0,0,0.0,0
2,1,deploy,2,1,19,468,13,13,1.9,0,100.0,1885.9,1885.9,6
3,11,create,10,2,13,306,18,18,1.9,0,100.0,1885.9,1885.9,6
4,11,deploy,2,2,13,306,18,18,3.1,0,100.0,3092.0,1546.0,10
5,14,remove,2,1,19,468,13,0,1.2,0,100.0,1206.1,1206.1,4
6,16,create,5,3,15,353,104,104,1.2,0,100.0,1206.1,1206.1,4
7,16,deploy,2,3,15,353,104,104,2.6,0,100.0,2670.1,1335.0,9
8,19,create,9,4,10,247,117,117,2.6,0,100.0,2670.1,1335.0,9
9,19,deploy,2,4,10,247,117,117,3.6,0,100.0,3604.9,1201.6,12
10,20,create,9,5,11,256,86,86,3.6,0,100.0,3604.9,1201.6,12
11,20,deploy,2,5,11,256,86,86,4.6,0,100.0,4549.4,1137.3,15
12,23,create,9,6,19,428,112,112,4.6,0,100.0,4549.4,1137.3,15
13,23,deploy,2,6,19,428,112,112,6.4,0,100.0,6095.1,1219.0,20
14,29,remove,2,2,13,306,18,0,5.1,0,100.0,4889.0,1222.2,16
15,32,create,5,7,4,86,85,85,5.1,0,100.0,4889.0,1222.2,16
16,32,deploy,2,7,4,86,85,85,5.5,0,100.0,5189.8,1038.0,17
17,38,create,7,8,18,500,123,123,5.5,0,100.0,5189.8,1038.0,17
18,38,deploy,2,8,18,500,123,123,7.5,0,100.0,7110.9,1185.1,23
19,39,create,5,9,18,505,114,114,7.5,0,100.0,7110.9,1185.1,23
20,39,deploy,2,9,18,505,114,114,9.5,0,100.0,9243.5,1320.5,30
21,41,create,5,10,8,186,9,9,9.5,0,100.0,9243.5,1320.5,30
22,41,deploy,2,10,8,186,9,9,10.2,0,100.0,10110.5,1263.8,33
23,42,create,5,11,10,277,1,1,10.2,0,100.0,10110.5,1263.8,33
24,42,deploy,2,11,10,277,1,1,11.4,0,100.0,11283.8,1253.8,37
25,43,remove,2,11,10,277,1,0,10.2,0,100.0,10110.5,1263.8,33
26,48,create,9,12,8,193,25,25,10.2,0,100.0,10110.5,1263.8,33
27,48,deploy,2,12,8,193,25,25,11.0,0,100.0,10984.8,1220.5,36
28,49,create,5,13,9,271,200,200,11.0,0,100.0,10984.8,1220.5,36
29,49,deploy,2,13,9,271,200,200,12.1,0,100.0,12151.5,1215.2,40
30,50,remove,2,10,8,186,9,0,11.4,0,100.0,11284.5,1253.8,37
31,51,create,9,14,6,140,18,18,11.4,0,100.0,11284.5,1253.8,37
32,51,deploy,2,14,6,140,18,18,11.9,0,100.0,11893.9,1189.4,39
33,53,create,7,15,18,426,419,419,11.9,0,100.0,11893.9,1189.4,39
34,53,deploy,2,15,18,426,419,419,13.6,0,100.0,13439.1,1221.7,44
35,58,create,10,16,18,454,42,42,13.6,0,100.0,13439.1,1221.7,44
36,58,deploy,2,16,18,454,42,42,15.4,0,100.0,15308.5,1275.7,50
37,59,create,10,17,6,190,75,75,15.4,0,100.0,15308.5,1275.7,50
38,59,deploy,2,17,6,190,75,75,16.2,0,100.0,15974.4,1228.8,52
39,64,create,7,18,15,339,282,282,16.2,0,100.0,15974.4,1228.8,52
40,64,deploy,2,18,15,339,282,282,17.6,0,100.0,17217.2,1229.8,56
41,65,create,7,19,11,281,15,15,17.6,0,100.0,17217.2,1229.8,56
42,65,deploy,2,19,11,281,15,15,18.7,0,100.0,18395.5,1226.4,60
43,69,remove,2,14,6,140,18,0,18.1,0,100.0,17786.1,1270.4,58
44,73,remove,2,12,8,193,25,0,17.3,0,100.0,16911.8,1300.9,55
45,74,create,9,20,14,371,21,21,17.3,0,100.0,16911.8,1300.9,55
46,74,deploy,2,20,14,371,21,21,18.8,0,100.0,18395.8,1314.0,60
47,80,remove,2,19,11,281,15,0,17.7,0,100.0,17217.5,1324.4,56
48,90,create,7,21,18,497,56,56,17.7,0,100.0,17217.5,1324.4,56
49,90,deploy,2,21,18,497,56,56,19.7,0,100.0,19135.7,1366.8,62
50,95,remove,2,20,14,371,21,0,18.2,0,100.0,17651.7,1357.8,57
51,100,remove,2,16,18,454,42,0,16.4,0,100.0,15782.3,1315.2,51
52,106,remove,2,5,11,256,86,0,15.4,0,100.0,14837.8,1348.9,48
53,111,create,5,22,19,388,38,38,15.4,0,100.0,14837.8,1348.9,48
54,111,deploy,2,22,19,388,38,38,16.9,0,100.0,16339.0,1361.6,53
55,117,remove,2,7,4,86,85,0,16.6,0,100.0,16038.2,1458.0,52
56,119,create,9,23,13,321,3,3,16.6,0,100.0,16038.2,1458.0,52
57,119,deploy,2,23,13,321,3,3,17.9,0,100.0,17260.9,1438.4,56
58,120,remove,2,3,15,353,104,0,16.4,0,100.0,15797.0,1436.1,51
59,121,create,9,24,12,318,328,328,16.4,0,100.0,15797.0,1436.1,51
60,121,deploy,2,24,12,318,328,328,17.7,0,100.0,17016.4,1418.0,55
61,122,remove,2,23,13,321,3,0,16.4,0,100.0,15793.6,1435.8,51
62,123,create,5,25,12,253,183,183,16.4,0,100.0,15793.6,1435.8,51
63,123,deploy,2,25,12,253,183,183,17.4,0,100.0,16735.1,1394.6,54
64,124,create,5,26,7,202,153,153,17.4,0,100.0,16735.1,1394.6,54
65,124,deploy,2,26,7,202,153,153,18.3,0,100.0,17618.7,1355.3,57
66,129,create,9,27,13,347,482,482,18.3,0,100.0,17618.7,1355.3,57
67,129,deploy,2,27,13,347,482,482,19.6,0,100.0,18870.4,1347.9,61
68,130,create,5,28,15,421,33,33,19.6,0,100.0,18870.4,1347.9,61
69,130,deploy,2,28,15,421,33,33,21.3,0,100.0,20410.1,1360.7,66
70,131,create,5,29,14,370,128,128,21.3,0,100.0,20410.1,1360.7,66
71,131,deploy,2,29,14,370,128,128,22.8,0,100.0,21893.0,1368.3,71
72,132,create,5,30,6,147,133,133,22.8,0,100.0,21893.0,1368.3,71
73,132,deploy,2,30,6,147,133,133,23.4,0,100.0,22510.1,1324.1,73
74,134,remove,2,17,6,190,75,0,22.6,0,100.0,21844.3,1365.3,71
75,135,remove,2,6,19,428,112,0,20.9,0,100.0,20298.6,1353.2,66
76,136,remove,2,4,10,247,117,0,19.9,0,100.0,19363.8,1383.1,63
77,146,create,7,31,8,226,1,1,19.9,0,100.0,19363.8,1383.1,63
78,146,remove,2,21,18,497,56,0,17.9,0,100.0,17445.6,1342.0,57
79,146,deploy,2,31,8,226,1,1,18.9,0,100.0,18357.1,1311.2,60
80,147,create,10,32,10,303,91,91,18.9,0,100.0,18357.1,1311.2,60
81,147,remove,2,31,8,226,1,0,17.9,0,100.0,17445.6,1342.0,57
82,147,deploy,2,32,10,303,91,91,19.2,0,100.0,18647.5,1332.0,61
83,149,remove,2,22,19,388,38,0,17.6,0,100.0,17146.4,1319.0,56
84,149,create,5,33,16,467,56,56,17.6,0,100.0,17146.4,1319.0,56
85,149,deploy,2,33,16,467,56,56,19.5,0,100.0,19031.1,1359.4,62
86,153,remove,2,9,18,505,114,0,17.5,0,100.0,16898.5,1299.9,55
87,155,create,9,34,17,425,56,56,17.5,0,100.0,16898.5,1299.9,55
88,155,deploy,2,34,17,425,56,56,19.2,0,100.0,18736.5,1338.3,61
89,159,create,9,35,5,126,22,22,19.2,0,100.0,18736.5,1338.3,61
90,159,deploy,2,35,5,126,22,22,19.7,0,100.0,19287.0,1285.8,63
91,161,remove,2,8,18,500,123,0,17.7,0,100.0,17365.9,1240.4,57
92,163,remove,2,28,15,421,33,0,16.0,0,100.0,15826.2,1217.4,52
93,165,create,10,36,11,278,86,86,16.0,0,100.0,15826.2,1217.4,52
94,165,deploy,2,36,11,278,86,86,17.1,0,100.0,17000.7,1214.3,56
95,167,create,9,37,14,400,106,106,17.1,0,100.0,17000.7,1214.3,56
96,167,deploy,2,37,14,400,106,106,18.7,0,100.0,18517.0,1234.5,61
97,168,create,5,38,18,491,35,35,18.7,0,100.0,18517.0,1234.5,61
98,168,deploy,2,38,18,491,35,35,20.7,0,100.0,20428.5,1276.8,67
99,169,create,10,39,9,229,245,245,20.7,0,100.0,20428.5,1276.8,67
100,169,deploy,2,39,9,229,245,245,21.6,0,100.0,21343.3,1255.5,70
101,170,create,10,40,11,314,191,191,21.6,0,100.0,21343.3,1255.5,70
102,170,deploy,2,40,11,314,191,191,22.8,0,100.0,22557.9,1253.2,74
103,172,create,5,41,17,415,32,32,22.8,0,100.0,22557.9,1253.2,74
104,172,create,10,42,9,248,67,67,22.8,0,100.0,22557.9,1253.2,74
105,172,deploy,2,41,17,415,32,32,24.5,0,100.0,24090.9,1267.9,79
106,172,deploy,2,42,9,248,67,67,25.5,0,100.0,25026.4,1251.3,82
107,177,create,5,43,14,338,2,2,25.5,0,100.0,25026.4,1251.3,82
108,177,deploy,2,43,14,338,2,2,26.8,0,100.0,26268.2,1250.9,86
109,179,remove,2,43,14,338,2,0,25.5,0,100.0,25026.4,1251.3,82
