id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,468,13,13,0.0,0,0.0,0,0.0,0
2,1,deploy,4,1,19,468,13,13,1.9,0,100.0,1880.8,1880.8,6
3,11,create,10,2,13,306,18,18,1.9,0,100.0,1880.8,1880.8,6
4,11,deploy,11,2,13,306,18,18,3.1,0,100.0,3086.1,1543.0,10
5,14,remove,4,1,19,468,13,0,1.2,0,100.0,1205.3,1205.3,4
6,16,create,5,3,15,353,104,104,1.2,0,100.0,1205.3,1205.3,4
7,16,deploy,4,3,15,353,104,104,2.6,0,100.0,2752.6,1376.3,9
8,19,create,9,4,10,247,117,117,2.6,0,100.0,2752.6,1376.3,9
9,19,deploy,4,4,10,247,117,117,3.6,0,100.0,3685.7,1228.6,12
10,20,create,9,5,11,256,86,86,3.6,0,100.0,3685.7,1228.6,12
11,20,deploy,4,5,11,256,86,86,4.6,0,100.0,4628.5,1157.1,15
12,23,create,9,6,19,428,112,112,4.6,0,100.0,4628.5,1157.1,15
13,23,deploy,4,6,19,428,112,112,6.3,0,100.0,6257.5,1251.5,20
14,29,remove,11,2,13,306,18,0,5.1,0,100.0,5052.2,1263.0,16
15,32,create,5,7,4,86,85,85,5.1,0,100.0,5052.2,1263.0,16
16,32,deploy,4,7,4,86,85,85,5.4,0,100.0,5353.0,1070.6,17
17,38,create,7,8,18,500,123,123,5.4,0,100.0,5353.0,1070.6,17
18,38,deploy,6,8,18,500,123,123,7.4,0,100.0,7269.0,1211.5,23
19,39,create,5,9,18,505,114,114,7.4,0,100.0,7269.0,1211.5,23
20,39,deploy,4,9,18,505,114,114,9.4,0,100.0,9437.3,1348.2,30
21,41,create,5,10,8,186,9,9,9.4,0,100.0,9437.3,1348.2,30
22,41,deploy,4,10,8,186,9,9,10.2,0,100.0,10302.5,1287.8,33
23,42,create,5,11,10,277,1,1,10.2,0,100.0,10302.5,1287.8,33
24,42,deploy,4,11,10,277,1,1,11.3,0,100.0,11474.2,1274.9,37
25,43,remove,4,11,10,277,1,0,10.2,0,100.0,10302.5,1287.8,33
