id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,468,13,13,0.0,0,0.0,0,0.0,0
2,1,deploy,2,1,19,468,13,13,1.9,0,100.0,1885.9,1885.9,6
3,11,create,10,2,13,306,18,18,1.9,0,100.0,1885.9,1885.9,6
4,11,deploy,2,2,13,306,18,18,3.1,0,100.0,3092.0,1546.0,10
5,14,remove,2,1,19,468,13,0,1.2,0,100.0,1206.1,1206.1,4
6,16,create,5,3,15,353,104,104,1.2,0,100.0,1206.1,1206.1,4
7,16,deploy,2,3,15,353,104,104,2.6,0,100.0,2670.1,1335.0,9
8,19,create,9,4,10,247,117,117,2.6,0,100.0,2670.1,1335.0,9
9,19,drop,-,4,10,247,117,117,2.6,0,75.0,2670.1,1335.0,9
10,20,create,9,5,11,256,86,86,2.6,0,75.0,2670.1,1335.0,9
11,20,deploy,2,5,11,256,86,86,3.7,0,80.0,3614.5,1204.8,12
12,23,create,9,6,19,428,112,112,3.7,0,80.0,3614.5,1204.8,12
13,23,deploy,2,6,19,428,112,112,5.4,0,83.3,5160.2,1290.0,17
14,29,remove,2,2,13,306,18,0,4.1,0,83.3,3954.1,1318.0,13
15,32,create,5,7,4,86,85,85,4.1,0,83.3,3954.1,1318.0,13
16,32,deploy,2,7,4,86,85,85,4.5,0,85.7,4254.9,1063.7,14
17,38,create,7,8,18,500,123,123,4.5,0,85.7,4254.9,1063.7,14
18,38,drop,-,8,18,500,123,123,4.5,0,75.0,4254.9,1063.7,14
19,39,create,5,9,18,505,114,114,4.5,0,75.0,4254.9,1063.7,14
20,39,drop,-,9,18,505,114,114,4.5,0,66.7,4254.9,1063.7,14
21,41,create,5,10,8,186,9,9,4.5,0,66.7,4254.9,1063.7,14
22,41,drop,-,10,8,186,9,9,4.5,0,60.0,4254.9,1063.7,14
23,42,create,5,11,10,277,1,1,4.5,0,60.0,4254.9,1063.7,14
24,42,deploy,2,11,10,277,1,1,5.6,0,63.6,5428.3,1085.7,18
25,43,remove,2,11,10,277,1,0,4.5,0,63.6,4254.9,1063.7,14
26,48,create,9,12,8,193,25,25,4.5,0,63.6,4254.9,1063.7,14
27,48,drop,-,12,8,193,25,25,4.5,0,58.3,4254.9,1063.7,14
28,49,create,5,13,9,271,200,200,4.5,0,58.3,4254.9,1063.7,14
29,49,deploy,2,13,9,271,200,200,5.6,0,61.5,5421.6,1084.3,18
30,51,create,9,14,6,140,18,18,5.6,0,61.5,5421.6,1084.3,18
31,51,deploy,2,14,6,140,18,18,6.1,0,64.3,6031.0,1005.2,20
32,53,create,7,15,18,426,419,419,6.1,0,64.3,6031.0,1005.2,20
33,53,drop,-,15,18,426,419,419,6.1,0,60.0,6031.0,1005.2,20
34,58,create,10,16,18,454,42,42,6.1,0,60.0,6031.0,1005.2,20
35,58,drop,-,16,18,454,42,42,6.1,0,56.2,6031.0,1005.2,20
36,59,create,10,17,6,190,75,75,6.1,0,56.2,6031.0,1005.2,20
37,59,drop,-,17,6,190,75,75,6.1,0,52.9,6031.0,1005.2,20
38,64,create,7,18,15,339,282,282,6.1,0,52.9,6031.0,1005.2,20
39,64,drop,-,18,15,339,282,282,6.1,0,50.0,6031.0,1005.2,20
40,65,create,7,19,11,281,15,15,6.1,0,50.0,6031.0,1005.2,20
41,65,drop,-,19,11,281,15,15,6.1,0,47.4,6031.0,1005.2,20
42,69,remove,2,14,6,140,18,0,5.6,0,47.4,5421.6,1084.3,18
43,74,create,9,20,14,371,21,21,5.6,0,47.4,5421.6,1084.3,18
44,74,drop,-,20,14,371,21,21,5.6,0,45.0,5421.6,1084.3,18
45,90,create,7,21,18,497,56,56,5.6,0,45.0,5421.6,1084.3,18
46,90,drop,-,21,18,497,56,56,5.6,0,42.9,5421.6,1084.3,18
47,106,remove,2,5,11,256,86,0,4.6,0,42.9,4477.2,1119.3,15
48,111,create,5,22,19,388,38,38,4.6,0,42.9,4477.2,1119.3,15
49,111,drop,-,22,19,388,38,38,4.6,0,40.9,4477.2,1119.3,15
50,117,remove,2,7,4,86,85,0,4.2,0,40.9,4176.4,1392.1,14
51,119,create,9,23,13,321,3,3,4.2,0,40.9,4176.4,1392.1,14
52,119,deploy,2,23,13,321,3,3,5.5,0,43.5,5399.2,1349.8,18
53,120,remove,2,3,15,353,104,0,4.1,0,43.5,3935.2,1311.7,13
54,121,create,9,24,12,318,328,328,4.1,0,43.5,3935.2,1311.7,13
55,121,deploy,2,24,12,318,328,328,5.4,0,45.8,5154.6,1288.7,17
56,122,remove,2,23,13,321,3,0,4.1,0,45.8,3931.8,1310.6,13
57,123,create,5,25,12,253,183,183,4.1,0,45.8,3931.8,1310.6,13
58,123,deploy,2,25,12,253,183,183,5.1,0,48.0,4873.4,1218.3,16
59,124,create,5,26,7,202,153,153,5.1,0,48.0,4873.4,1218.3,16
60,124,deploy,2,26,7,202,153,153,5.9,0,50.0,5756.9,1151.4,19
61,129,create,9,27,13,347,482,482,5.9,0,50.0,5756.9,1151.4,19
62,129,deploy,2,27,13,347,482,482,7.3,0,51.9,7008.6,1168.1,23
63,130,create,5,28,15,421,33,33,7.3,0,51.9,7008.6,1168.1,23
64,130,drop,-,28,15,421,33,33,7.3,0,50.0,7008.6,1168.1,23
65,131,create,5,29,14,370,128,128,7.3,0,50.0,7008.6,1168.1,23
66,131,drop,-,29,14,370,128,128,7.3,0,48.3,7008.6,1168.1,23
67,132,create,5,30,6,147,133,133,7.3,0,48.3,7008.6,1168.1,23
68,132,drop,-,30,6,147,133,133,7.3,0,46.7,7008.6,1168.1,23
69,135,remove,2,6,19,428,112,0,5.6,0,46.7,5462.9,1092.6,18
70,146,create,7,31,8,226,1,1,5.6,0,46.7,5462.9,1092.6,18
71,146,drop,-,31,8,226,1,1,5.6,0,45.2,5462.9,1092.6,18
72,147,create,10,32,10,303,91,91,5.6,0,45.2,5462.9,1092.6,18
73,147,deploy,2,32,10,303,91,91,6.8,0,46.9,6664.9,1110.8,22
74,149,create,5,33,16,467,56,56,6.8,0,46.9,6664.9,1110.8,22
75,149,drop,-,33,16,467,56,56,6.8,0,45.5,6664.9,1110.8,22
76,155,create,9,34,17,425,56,56,6.8,0,45.5,6664.9,1110.8,22
77,155,drop,-,34,17,425,56,56,6.8,0,44.1,6664.9,1110.8,22
78,159,create,9,35,5,126,22,22,6.8,0,44.1,6664.9,1110.8,22
79,159,drop,-,35,5,126,22,22,6.8,0,42.9,6664.9,1110.8,22
80,165,create,10,36,11,278,86,86,6.8,0,42.9,6664.9,1110.8,22
81,165,drop,-,36,11,278,86,86,6.8,0,41.7,6664.9,1110.8,22
82,167,create,9,37,14,400,106,106,6.8,0,41.7,6664.9,1110.8,22
83,167,drop,-,37,14,400,106,106,6.8,0,40.5,6664.9,1110.8,22
84,168,create,5,38,18,491,35,35,6.8,0,40.5,6664.9,1110.8,22
85,168,drop,-,38,18,491,35,35,6.8,0,39.5,6664.9,1110.8,22
86,169,create,10,39,9,229,245,245,6.8,0,39.5,6664.9,1110.8,22
87,169,deploy,2,39,9,229,245,245,7.7,0,41.0,7579.7,1082.8,25
88,170,create,10,40,11,314,191,191,7.7,0,41.0,7579.7,1082.8,25
89,170,drop,-,40,11,314,191,191,7.7,0,40.0,7579.7,1082.8,25
90,172,create,5,41,17,415,32,32,7.7,0,40.0,7579.7,1082.8,25
91,172,create,10,42,9,248,67,67,7.7,0,40.0,7579.7,1082.8,25
92,172,drop,-,41,17,415,32,32,7.7,0,39.0,7579.7,1082.8,25
93,172,drop,-,42,9,248,67,67,7.7,0,38.1,7579.7,1082.8,25
94,177,create,5,43,14,338,2,2,7.7,0,38.1,7579.7,1082.8,25
95,177,drop,-,43,14,338,2,2,7.7,0,37.2,7579.7,1082.8,25
96,191,create,7,44,18,511,76,76,7.7,0,37.2,7579.7,1082.8,25
97,191,create,9,45,20,499,355,355,7.7,0,37.2,7579.7,1082.8,25
98,191,drop,-,44,18,511,76,76,7.7,0,36.4,7579.7,1082.8,25
99,191,drop,-,45,20,499,355,355,7.7,0,35.6,7579.7,1082.8,25
100,193,create,7,46,20,561,71,71,7.7,0,35.6,7579.7,1082.8,25
101,193,drop,-,46,20,561,71,71,7.7,0,34.8,7579.7,1082.8,25
102,197,create,9,47,12,314,11,11,7.7,0,34.8,7579.7,1082.8,25
103,197,drop,-,47,12,314,11,11,7.7,0,34.0,7579.7,1082.8,25
104,198,create,5,48,9,237,81,81,7.7,0,34.0,7579.7,1082.8,25
105,198,drop,-,48,9,237,81,81,7.7,0,33.3,7579.7,1082.8,25
106,199,create,9,49,18,447,47,47,7.7,0,33.3,7579.7,1082.8,25
107,199,drop,-,49,18,447,47,47,7.7,0,32.7,7579.7,1082.8,25
108,200,create,10,50,14,372,83,83,7.7,0,32.7,7579.7,1082.8,25
109,200,create,9,51,7,206,15,15,7.7,0,32.7,7579.7,1082.8,25
110,200,drop,-,50,14,372,83,83,7.7,0,32.0,7579.7,1082.8,25
