id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,468,13,13,0.0,0,0.0,0,0.0,0
2,1,deploy,4,1,19,468,13,13,1.9,0,100.0,1880.8,1880.8,6
3,11,create,10,2,13,306,18,18,1.9,0,100.0,1880.8,1880.8,6
4,11,deploy,11,2,13,306,18,18,3.1,0,100.0,3086.1,1543.0,10
5,14,remove,4,1,19,468,13,0,1.2,0,100.0,1205.3,1205.3,4
6,16,create,5,3,15,353,104,104,1.2,0,100.0,1205.3,1205.3,4
7,16,deploy,4,3,15,353,104,104,2.6,0,100.0,2752.6,1376.3,9
8,19,create,9,4,10,247,117,117,2.6,0,100.0,2752.6,1376.3,9
9,19,deploy,6,4,10,247,117,117,3.6,0,100.0,3685.8,1228.6,12
10,20,create,9,5,11,256,86,86,3.6,0,100.0,3685.8,1228.6,12
11,20,deploy,4,5,11,256,86,86,4.6,0,100.0,4628.5,1157.1,15
12,23,create,9,6,19,428,112,112,4.6,0,100.0,4628.5,1157.1,15
13,23,deploy,6,6,19,428,112,112,6.3,0,100.0,6257.400000000001,1251.5,20
14,29,remove,11,2,13,306,18,0,5.1,0,100.0,5052.1,1263.0,16
15,32,create,5,7,4,86,85,85,5.1,0,100.0,5052.1,1263.0,16
16,32,deploy,1,7,4,86,85,85,5.4,0,100.0,5352.9,1070.6,17
17,38,create,7,8,18,500,123,123,5.4,0,100.0,5352.9,1070.6,17
18,38,drop,-,8,18,500,123,123,5.4,0,87.5,5352.9,1070.6,17
19,39,create,5,9,18,505,114,114,5.4,0,87.5,5352.9,1070.6,17
20,39,drop,-,9,18,505,114,114,5.4,0,77.8,5352.9,1070.6,17
21,41,create,5,10,8,186,9,9,5.4,0,77.8,5352.9,1070.6,17
22,41,deploy,1,10,8,186,9,9,6.2,0,80.0,6300.6,1050.1,20
23,42,create,5,11,10,277,1,1,6.2,0,80.0,6300.6,1050.1,20
24,42,deploy,6,11,10,277,1,1,7.3,0,81.8,7472.3,1067.5,24
25,43,remove,6,11,10,277,1,0,6.2,0,81.8,6300.6,1050.1,20
