id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,468,13,13,0.0,0,0.0,0,0.0,0
2,1,remap,-,-,-,-,-,-,-,-,-,-,-,-
3,1,deploy,4,1,19,468,13,13,1.9,0,100.0,1880.8,1880.8,6
4,11,create,10,2,13,306,18,18,1.9,0,100.0,1880.8,1880.8,6
5,11,remap,-,-,-,-,-,-,-,-,-,-,-,-
6,11,interrupt,-,1,19,468,13,3,0.0,0,100.0,-,-,-
7,11,redeploy,4,1,19,468,13,3,1.9,0,100.0,1880.8,1880.8,6
8,11,remap_successfully,-,-,-,-,-,-,1.9,0,100.0,1880.8,1880.8,6
9,11,deploy,11,2,13,306,18,18,3.1,0,100.0,3086.1,1543.0,10
10,14,remove,4,1,19,468,13,0,1.2,0,100.0,1205.3,1205.3,4
11,16,create,5,3,15,353,104,104,1.2,0,100.0,1205.3,1205.3,4
12,16,remap,-,-,-,-,-,-,-,-,-,-,-,-
13,16,interrupt,-,2,13,306,18,13,0.0,0,100.0,-,-,-
14,16,redeploy,11,2,13,306,18,13,1.2,0,100.0,1205.3,1205.3,4
15,16,remap_successfully,-,-,-,-,-,-,1.2,0,100.0,1205.3,1205.3,4
16,16,deploy,4,3,15,353,104,104,2.6,0,100.0,2752.6,1376.3,9
17,19,create,9,4,10,247,117,117,2.6,0,100.0,2752.6,1376.3,9
18,19,remap,-,-,-,-,-,-,-,-,-,-,-,-
19,19,interrupt,-,2,13,306,18,10,1.4,0,100.0,-,-,-
20,19,interrupt,-,3,15,353,104,101,0.0,0,100.0,-,-,-
21,19,redeploy,4,3,15,353,104,101,1.4,0,100.0,1547.3,1547.3,9
22,19,redeploy,11,2,13,306,18,10,2.6,0,100.0,2752.6,1376.3,9
23,19,remap_successfully,-,-,-,-,-,-,2.6,0,100.0,2752.6,1376.3,9
24,19,deploy,6,4,10,247,117,117,3.6,0,100.0,3685.8,1228.6,12
25,20,create,9,5,11,256,86,86,3.6,0,100.0,3685.8,1228.6,12
