id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,migration,acceptance,power,P_per_sfc,active_server
1,1,create,9,1,19,373,9,9,0.0,0,0.0,0,0.0,0
2,1,remap,-,-,-,-,-,-,-,-,-,-,-,-
3,1,deploy,4,1,19,373,9,9,1.5,0,100.0,4906.9,4906.9,18
4,10,remove,4,1,19,373,9,0,0.0,0,100.0,0,0.0,0
5,11,create,10,2,7,223,37,37,0.0,0,100.0,0,0.0,0
6,11,remap,-,-,-,-,-,-,-,-,-,-,-,-
7,11,remap_successfully,-,-,-,-,-,-,0.0,0,100.0,0,0.0,0
8,11,deploy,11,2,7,223,37,37,0.9,0,100.0,1606.2,1606.2,6
9,16,create,5,3,19,466,72,72,0.9,0,100.0,1606.2,1606.2,6
10,16,remap,-,-,-,-,-,-,-,-,-,-,-,-
11,16,interrupt,-,2,7,223,37,32,0.0,0,100.0,-,-,-
12,16,redeploy,11,2,7,223,37,32,0.9,0,100.0,1896.3,1896.3,7
13,16,remap_successfully,-,-,-,-,-,-,0.9,0,100.0,1896.3,1896.3,7
14,16,deploy,4,3,19,466,72,72,2.7,0,100.0,6330.1,3165.1,22
15,20,create,9,4,10,283,9,9,2.7,0,100.0,6330.1,3165.1,22
16,20,remap,-,-,-,-,-,-,-,-,-,-,-,-
17,20,interrupt,-,2,7,223,37,28,1.8,0,100.0,-,-,-
18,20,interrupt,-,3,19,466,72,68,0.0,0,100.0,-,-,-
19,20,redeploy,4,3,19,466,72,68,1.8,0,100.0,4554.8,4554.8,23
20,20,redeploy,11,2,7,223,37,28,2.7,0,100.0,6451.1,3225.6,23
21,20,remap_successfully,-,-,-,-,-,-,2.7,0,100.0,6451.1,3225.6,23
22,20,deploy,4,4,10,283,9,9,3.9,0,100.0,8575.4,2858.5,31
23,29,remove,4,4,10,283,9,0,2.7,0,100.0,6284.6,3142.3,23
24,31,create,10,5,18,444,163,163,2.7,0,100.0,6284.6,3142.3,23
25,31,remap,-,-,-,-,-,-,-,-,-,-,-,-
26,31,interrupt,-,3,19,466,72,57,0.9,0,100.0,-,-,-
27,31,interrupt,-,2,7,223,37,17,0.0,0,100.0,-,-,-
28,31,redeploy,6,3,19,466,72,57,1.8,0,100.0,4475.0,4475.0,38
29,31,redeploy,11,2,7,223,37,17,2.7,0,100.0,6371.3,3185.7,38
30,31,remap_successfully,-,-,-,-,-,-,2.7,0,100.0,6371.3,3185.7,38
31,31,deploy,11,5,18,444,163,163,4.5,0,100.0,10876.2,3625.4,54
32,38,create,7,6,11,327,104,104,4.5,0,100.0,10876.2,3625.4,54
33,38,create,10,7,8,242,168,168,4.5,0,100.0,10876.2,3625.4,54
34,38,remap,-,-,-,-,-,-,-,-,-,-,-,-
35,38,interrupt,-,3,19,466,72,50,2.6,0,100.0,-,-,-
36,38,interrupt,-,2,7,223,37,10,1.8,0,100.0,-,-,-
37,38,interrupt,-,5,18,444,163,156,0.0,0,100.0,-,-,-
38,38,redeploy,6,3,19,466,72,50,1.8,0,100.0,4475.0,4475.0,54
39,38,redeploy,11,5,18,444,163,156,3.6,0,100.0,9644.0,4822.0,49
40,38,redeploy,11,2,7,223,37,10,4.5,0,100.0,10712.6,3570.9,53
41,38,remap_successfully,-,-,-,-,-,-,4.5,0,100.0,10712.6,3570.9,53
42,38,deploy,6,6,11,327,104,104,5.8,0,100.0,12598.0,3149.5,60
43,38,remap,-,-,-,-,-,-,-,-,-,-,-,-
44,38,interrupt,-,3,19,466,72,50,3.9,0,100.0,-,-,-
45,38,interrupt,-,5,18,444,163,156,2.2,0,100.0,-,-,-
46,38,interrupt,-,2,7,223,37,10,1.3,0,100.0,-,-,-
47,38,interrupt,-,6,11,327,104,104,0.0,0,100.0,-,-,-
48,38,redeploy,6,3,19,466,72,50,1.8,0,100.0,4475.0,4475.0,53
49,38,redeploy,11,5,18,444,163,156,3.6,0,100.0,9644.0,4822.0,49
50,38,redeploy,6,6,12,327,104,104,4.9,0,100.0,11941.0,3980.3,58
51,38,redeploy,11,2,7,223,37,10,5.8,0,100.0,13257.3,3314.3,63
52,38,remap_successfully,-,-,-,-,-,-,5.8,0,100.0,13257.3,3314.3,63
53,38,deploy,1,7,8,242,168,168,6.8,0,100.0,15164.900000000001,3033.0,69
