id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,migration,acceptance,power,P_per_sfc,active_server
1,3,create,10,1,19,124,124,1.9,0.0,0,0.0,0,0.0,0
2,3,deploy,2,1,19,124,124,1.9,1.9,0,100.0,1599.8,1599.8,5
3,10,create,7,2,15,180,180,3.4,1.9,0,100.0,1599.8,1599.8,5
4,10,deploy,2,2,15,180,180,3.4,3.4,0,100.0,2926.1,1463.0,9
5,23,create,10,3,8,4,4,4.2,3.4,0,100.0,2926.1,1463.0,9
6,23,deploy,2,3,8,4,4,4.2,4.2,0,100.0,3558.9,1186.3,11
7,25,create,7,4,6,34,34,4.8,4.2,0,100.0,3558.9,1186.3,11
8,25,deploy,2,4,6,34,34,4.8,4.8,0,100.0,4179.3,1044.8,13
9,27,remove,2,3,8,4,0,4.0,4.0,0,100.0,3546.5,1182.2,11
10,33,create,5,5,5,198,198,4.5,4.0,0,100.0,3546.5,1182.2,11
11,33,deploy,2,5,5,198,198,4.5,4.5,0,100.0,3890.8,972.7,12
12,40,create,9,6,10,35,35,5.5,4.5,0,100.0,3890.8,972.7,12
13,40,deploy,2,6,10,35,35,5.5,5.5,0,100.0,4785.7,957.1,15
14,42,create,5,7,16,23,23,7.1,5.5,0,100.0,4785.7,957.1,15
15,42,deploy,2,7,16,23,23,7.1,7.1,0,100.0,5893.3,982.2,18
16,49,create,5,8,19,5,5,9.0,7.1,0,100.0,5893.3,982.2,18
17,49,deploy,2,8,19,5,5,9.0,9.0,0,100.0,7489.5,1069.9,23
18,50,create,5,9,11,62,62,10.1,9.0,0,100.0,7489.5,1069.9,23
19,50,deploy,2,9,11,62,62,10.1,10.1,0,100.0,8411.8,1051.5,26
20,52,create,9,10,9,276,276,11.0,10.1,0,100.0,8411.8,1051.5,26
21,52,deploy,2,10,9,276,276,11.0,11.0,0,100.0,9322.2,1035.8,29
22,54,remove,2,8,19,5,0,9.1,9.1,0,100.0,7885.8,985.7,25
23,59,remove,2,4,6,34,0,8.5,8.5,0,100.0,7513.6,1073.4,24
24,65,remove,2,7,16,23,0,6.9,6.9,0,100.0,6201.9,1033.6,20
25,67,create,7,11,5,106,106,7.4,6.9,0,100.0,6201.9,1033.6,20
26,67,deploy,2,11,5,106,106,7.4,7.4,0,100.0,6751.2,964.5,22
27,68,create,10,12,14,424,424,8.8,7.4,0,100.0,6751.2,964.5,22
28,68,deploy,2,12,14,424,424,8.8,8.8,0,100.0,7642.3,955.3,24
29,71,create,7,13,16,179,179,10.4,8.8,0,100.0,7642.3,955.3,24
30,71,create,10,14,11,158,158,11.5,8.8,0,100.0,7642.3,955.3,24
31,71,deploy,2,13,16,179,179,11.5,10.4,0,100.0,8954.0,994.9,28
32,71,deploy,2,14,11,158,158,11.5,11.5,0,100.0,9761.0,976.1,30
33,74,create,10,15,17,8,8,13.2,11.5,0,100.0,9761.0,976.1,30
34,74,deploy,2,15,17,8,8,13.2,13.2,0,100.0,10893.2,990.3,33
35,75,remove,2,6,10,35,0,12.2,12.2,0,100.0,10159.2,1015.9,31
36,77,create,9,16,12,314,314,13.4,12.2,0,100.0,10159.2,1015.9,31
37,77,deploy,2,16,12,314,314,13.4,13.4,0,100.0,11154.8,1014.1,34
38,80,create,5,17,10,66,66,14.4,13.4,0,100.0,11154.8,1014.1,34
39,80,create,10,18,8,57,57,15.2,13.4,0,100.0,11154.8,1014.1,34
40,80,deploy,2,17,10,66,66,15.2,14.4,0,100.0,11885.8,990.5,36
