id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,migration,acceptance,power,P_per_sfc,active_server
1,3,create,10,1,19,124,124,1.9,0.0,0,0.0,0,0.0,0
2,3,deploy,11,1,19,124,124,1.9,1.9,0,100.0,1685.6,1685.6,5
3,10,create,7,2,15,180,180,3.4,1.9,0,100.0,1685.6,1685.6,5
4,10,deploy,6,2,15,180,180,3.4,3.4,0,100.0,3051.8,1525.9,9
5,23,create,10,3,8,4,4,4.2,3.4,0,100.0,3051.8,1525.9,9
6,23,deploy,11,3,8,4,4,4.2,4.2,0,100.0,3684.7,1228.2,11
7,25,create,7,4,6,34,34,4.8,4.2,0,100.0,3684.7,1228.2,11
8,25,deploy,6,4,6,34,34,4.8,4.8,0,100.0,4261.9,1065.5,13
9,27,remove,11,3,8,4,0,4.0,4.0,0,100.0,3629.0,1209.7,11
10,33,create,5,5,5,198,198,4.5,4.0,0,100.0,3629.0,1209.7,11
11,33,deploy,4,5,5,198,198,4.5,4.5,0,100.0,4178.299999999999,1044.6,13
12,40,create,9,6,10,35,35,5.5,4.5,0,100.0,4178.299999999999,1044.6,13
13,40,deploy,4,6,10,35,35,5.5,5.5,0,100.0,4994.299999999999,998.9,15
14,42,create,5,7,16,23,23,7.0,5.5,0,100.0,4994.299999999999,998.9,15
15,42,deploy,4,7,16,23,23,7.0,7.0,0,100.0,6302.5,1050.4,19
16,49,create,5,8,19,5,5,8.9,7.0,0,100.0,6302.5,1050.4,19
17,49,deploy,4,8,19,5,5,8.9,8.9,0,100.0,8019.9,1145.7,24
18,50,create,5,9,11,62,62,10.0,8.9,0,100.0,8019.9,1145.7,24
19,50,deploy,4,9,11,62,62,10.0,10.0,0,100.0,8942.300000000001,1117.8,27
20,52,create,9,10,9,276,276,10.9,10.0,0,100.0,8942.300000000001,1117.8,27
21,52,deploy,4,10,9,276,276,10.9,10.9,0,100.0,9645.800000000001,1071.8,29
22,54,remove,4,8,19,5,0,9.0,9.0,0,100.0,8175.4,1021.9,25
23,59,remove,6,4,6,34,0,8.4,8.4,0,100.0,7598.199999999999,1085.5,23
24,65,remove,4,7,16,23,0,6.8,6.8,0,100.0,6247.5,1041.2,19
25,67,create,7,11,5,106,106,7.3,6.8,0,100.0,6247.5,1041.2,19
