id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,migration,acceptance,power,P_per_sfc,active_server
1,3,create,10,1,19,124,124,1.9,0.0,0,0.0,0,0.0,0
2,3,deploy,2,1,19,124,124,1.9,1.9,0,100.0,1599.8,1599.8,5
3,10,create,7,2,15,180,180,3.4,1.9,0,100.0,1599.8,1599.8,5
4,10,drop,-,2,15,180,180,1.9,1.9,0,50.0,1599.8,1599.8,5
5,23,create,10,3,8,4,4,2.7,1.9,0,50.0,1599.8,1599.8,5
6,23,drop,-,3,8,4,4,1.9,1.9,0,33.3,1599.8,1599.8,5
7,25,create,7,4,6,34,34,2.5,1.9,0,33.3,1599.8,1599.8,5
8,25,drop,-,4,6,34,34,1.9,1.9,0,25.0,1599.8,1599.8,5
9,33,create,5,5,5,198,198,2.4,1.9,0,25.0,1599.8,1599.8,5
10,33,drop,-,5,5,198,198,1.9,1.9,0,20.0,1599.8,1599.8,5
11,40,create,9,6,10,35,35,2.9,1.9,0,20.0,1599.8,1599.8,5
12,40,deploy,2,6,10,35,35,2.9,2.9,0,33.3,2537.9,1269.0,8
13,42,create,5,7,16,23,23,4.5,2.9,0,33.3,2537.9,1269.0,8
14,42,drop,-,7,16,23,23,2.9,2.9,0,28.6,2537.9,1269.0,8
15,49,create,5,8,19,5,5,4.8,2.9,0,28.6,2537.9,1269.0,8
16,49,drop,-,8,19,5,5,2.9,2.9,0,25.0,2537.9,1269.0,8
17,50,create,5,9,11,62,62,4.0,2.9,0,25.0,2537.9,1269.0,8
18,50,drop,-,9,11,62,62,2.9,2.9,0,22.2,2537.9,1269.0,8
19,52,create,9,10,9,276,276,3.8,2.9,0,22.2,2537.9,1269.0,8
20,52,drop,-,10,9,276,276,2.9,2.9,0,20.0,2537.9,1269.0,8
21,67,create,7,11,5,106,106,3.4,2.9,0,20.0,2537.9,1269.0,8
22,67,drop,-,11,5,106,106,2.9,2.9,0,18.2,2537.9,1269.0,8
23,68,create,10,12,14,424,424,4.3,2.9,0,18.2,2537.9,1269.0,8
24,68,drop,-,12,14,424,424,2.9,2.9,0,16.7,2537.9,1269.0,8
25,71,create,7,13,16,179,179,4.5,2.9,0,16.7,2537.9,1269.0,8
26,71,create,10,14,11,158,158,5.6,2.9,0,16.7,2537.9,1269.0,8
27,71,drop,-,13,16,179,179,4.0,2.9,0,15.4,2537.9,1269.0,8
28,71,drop,-,14,11,158,158,2.9,2.9,0,14.3,2537.9,1269.0,8
29,74,create,10,15,17,8,8,4.6,2.9,0,14.3,2537.9,1269.0,8
30,74,drop,-,15,17,8,8,2.9,2.9,0,13.3,2537.9,1269.0,8
31,75,remove,2,6,10,35,0,1.9,1.9,0,13.3,1599.8,1599.8,5
32,77,create,9,16,12,314,314,3.1,1.9,0,13.3,1599.8,1599.8,5
33,77,drop,-,16,12,314,314,1.9,1.9,0,12.5,1599.8,1599.8,5
34,80,create,5,17,10,66,66,2.9,1.9,0,12.5,1599.8,1599.8,5
35,80,create,10,18,8,57,57,3.7,1.9,0,12.5,1599.8,1599.8,5
36,80,deploy,2,17,10,66,66,3.7,2.9,0,17.6,2536.6,1268.3,8
37,80,drop,-,18,8,57,57,2.9,2.9,0,16.7,2536.6,1268.3,8
38,82,create,7,19,11,93,93,4.0,2.9,0,16.7,2536.6,1268.3,8
39,82,drop,-,19,11,93,93,2.9,2.9,0,15.8,2536.6,1268.3,8
40,85,create,5,20,16,12,12,4.5,2.9,0,15.8,2536.6,1268.3,8
