id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,migration,acceptance,power,P_per_sfc,active_server
1,3,create,10,1,19,124,124,1.9,0.0,0,0.0,0,0.0,0
2,3,remap,-,-,-,-,-,-,-,-,-,-,-,-
3,3,remap_successfully,-,-,-,-,-,1.9,0.0,0,0.0,0,0.0,0
4,3,deploy,2,1,19,124,124,1.9,1.9,0,100.0,1599.8,1599.8,5
5,10,create,7,2,15,180,180,3.4,1.9,0,100.0,1599.8,1599.8,5
6,10,remap,-,-,-,-,-,-,-,-,-,-,-,-
7,10,interrupt,-,1,19,124,117,3.4,0.0,0,100.0,-,-,-
8,10,deploy,2,1,19,124,117,3.4,1.9,0,100.0,1599.8,1599.8,5
9,10,remap_successfully,-,-,-,-,-,3.4,1.9,0,100.0,1599.8,1599.8,5
10,10,interrupt,-,1,19,124,117,3.4,0.0,0,100.0,-,-,-
11,10,deploy,2,1,19,124,117,3.4,1.9,0,100.0,1599.8,1599.8,5
12,10,remap_failed,-,-,-,-,-,3.4,1.9,0,100.0,1599.8,1599.8,5
13,10,drop,-,2,15,180,180,1.9,1.9,0,50.0,1599.8,1599.8,5
14,23,create,10,3,8,4,4,2.7,1.9,0,50.0,1599.8,1599.8,5
15,23,remap,-,-,-,-,-,-,-,-,-,-,-,-
16,23,interrupt,-,1,19,124,104,2.7,0.0,0,50.0,-,-,-
17,23,deploy,2,1,19,124,104,2.7,1.9,0,50.0,1599.8,1599.8,5
18,23,remap_successfully,-,-,-,-,-,2.7,1.9,0,50.0,1599.8,1599.8,5
19,23,interrupt,-,1,19,124,104,2.7,0.0,0,50.0,-,-,-
20,23,deploy,2,1,19,124,104,2.7,1.9,0,50.0,1599.8,1599.8,5
21,23,remap_failed,-,-,-,-,-,2.7,1.9,0,50.0,1599.8,1599.8,5
22,23,drop,-,3,8,4,4,1.9,1.9,0,33.3,1599.8,1599.8,5
23,25,create,7,4,6,34,34,2.5,1.9,0,33.3,1599.8,1599.8,5
24,25,remap,-,-,-,-,-,-,-,-,-,-,-,-
25,25,interrupt,-,1,19,124,102,2.5,0.0,0,33.3,-,-,-
26,25,deploy,2,1,19,124,102,2.5,1.9,0,33.3,1599.8,1599.8,5
27,25,remap_successfully,-,-,-,-,-,2.5,1.9,0,33.3,1599.8,1599.8,5
28,25,interrupt,-,1,19,124,102,2.5,0.0,0,33.3,-,-,-
29,25,deploy,2,1,19,124,102,2.5,1.9,0,33.3,1599.8,1599.8,5
30,25,remap_failed,-,-,-,-,-,2.5,1.9,0,33.3,1599.8,1599.8,5
31,25,drop,-,4,6,34,34,1.9,1.9,0,25.0,1599.8,1599.8,5
32,33,create,5,5,5,198,198,2.4,1.9,0,25.0,1599.8,1599.8,5
33,33,remap,-,-,-,-,-,-,-,-,-,-,-,-
34,33,interrupt,-,1,19,124,94,2.4,0.0,0,25.0,-,-,-
35,33,deploy,2,1,19,124,94,2.4,1.9,0,25.0,1599.8,1599.8,5
36,33,remap_successfully,-,-,-,-,-,2.4,1.9,0,25.0,1599.8,1599.8,5
37,33,interrupt,-,1,19,124,94,2.4,0.0,0,25.0,-,-,-
38,33,deploy,2,1,19,124,94,2.4,1.9,0,25.0,1599.8,1599.8,5
39,33,remap_failed,-,-,-,-,-,2.4,1.9,0,25.0,1599.8,1599.8,5
40,33,drop,-,5,5,198,198,1.9,1.9,0,20.0,1599.8,1599.8,5
41,40,create,9,6,10,35,35,2.9,1.9,0,20.0,1599.8,1599.8,5
42,40,remap,-,-,-,-,-,-,-,-,-,-,-,-
43,40,interrupt,-,1,19,124,87,2.9,0.0,0,20.0,-,-,-
44,40,deploy,2,1,19,124,87,2.9,1.9,0,20.0,1599.8,1599.8,5
45,40,remap_successfully,-,-,-,-,-,2.9,1.9,0,20.0,1599.8,1599.8,5
46,40,interrupt,-,1,19,124,87,2.9,0.0,0,20.0,-,-,-
47,40,deploy,2,1,19,124,87,2.9,1.9,0,20.0,1599.8,1599.8,5
48,40,remap_failed,-,-,-,-,-,2.9,1.9,0,20.0,1599.8,1599.8,5
49,40,deploy,2,6,10,35,35,2.9,2.9,0,33.3,2537.9,1269.0,8
50,42,create,5,7,16,23,23,4.5,2.9,0,33.3,2537.9,1269.0,8
51,42,remap,-,-,-,-,-,-,-,-,-,-,-,-
52,42,interrupt,-,1,19,124,85,4.5,1.0,0,33.3,-,-,-
53,42,interrupt,-,6,10,35,33,4.5,0.0,0,33.3,-,-,-
54,42,deploy,2,1,19,124,85,4.5,1.9,0,33.3,1599.8,1599.8,5
55,42,deploy,2,6,10,35,33,4.5,2.9,0,33.3,2537.9,1269.0,8
56,42,remap_successfully,-,-,-,-,-,4.5,2.9,0,33.3,2537.9,1269.0,8
57,42,interrupt,-,1,19,124,85,4.5,1.0,0,33.3,-,-,-
58,42,interrupt,-,6,10,35,33,4.5,0.0,0,33.3,-,-,-
59,42,deploy,2,1,19,124,85,4.5,1.9,0,33.3,1599.8,1599.8,5
60,42,deploy,2,6,10,35,33,4.5,2.9,0,33.3,2537.9,1269.0,8
61,42,remap_failed,-,-,-,-,-,4.5,2.9,0,33.3,2537.9,1269.0,8
62,42,drop,-,7,16,23,23,2.9,2.9,0,28.6,2537.9,1269.0,8
63,49,create,5,8,19,5,5,4.8,2.9,0,28.6,2537.9,1269.0,8
