id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,migration,acceptance,power,P_per_sfc,active_server
1,3,create,10,1,19,124,124,1.9,0.0,0,0.0,0,0.0,0
2,3,deploy,11,1,19,124,124,1.9,1.9,0,100.0,1685.6,1685.6,5
3,10,create,7,2,15,180,180,3.4,1.9,0,100.0,1685.6,1685.6,5
4,10,deploy,6,2,15,180,180,3.4,3.4,0,100.0,3051.8,1525.9,9
5,23,create,10,3,8,4,4,4.2,3.4,0,100.0,3051.8,1525.9,9
6,23,deploy,1,3,8,4,4,4.2,4.2,0,100.0,3725.4,1241.8,11
7,25,create,7,4,6,34,34,4.8,4.2,0,100.0,3725.4,1241.8,11
8,25,deploy,6,4,6,34,34,4.8,4.8,0,100.0,4302.6,1075.7,13
9,27,remove,1,3,8,4,0,4.0,4.0,0,100.0,3629.0,1209.7,11
10,33,create,5,5,5,198,198,4.5,4.0,0,100.0,3629.0,1209.7,11
11,33,deploy,4,5,5,198,198,4.5,4.5,0,100.0,4178.299999999999,1044.6,13
12,40,create,9,6,10,35,35,5.5,4.5,0,100.0,4178.299999999999,1044.6,13
13,40,deploy,1,6,10,35,35,5.5,5.5,0,100.0,5196.799999999999,1039.4,16
14,42,create,5,7,16,23,23,7.0,5.5,0,100.0,5196.799999999999,1039.4,16
15,42,drop,-,7,16,23,23,5.5,5.5,0,85.7,5196.799999999999,1039.4,16
16,49,create,5,8,19,5,5,7.3,5.5,0,85.7,5196.799999999999,1039.4,16
17,49,drop,-,8,19,5,5,5.5,5.5,0,75.0,5196.799999999999,1039.4,16
18,50,create,5,9,11,62,62,6.5,5.5,0,75.0,5196.799999999999,1039.4,16
19,50,drop,-,9,11,62,62,5.5,5.5,0,66.7,5196.799999999999,1039.4,16
20,52,create,9,10,9,276,276,6.3,5.5,0,66.7,5196.799999999999,1039.4,16
21,52,deploy,4,10,9,276,276,6.3,6.3,0,70.0,5985.300000000001,997.6,18
22,59,remove,6,4,6,34,0,5.8,5.8,0,70.0,5408.1,1081.6,16
23,67,create,7,11,5,106,106,6.2,5.8,0,70.0,5408.1,1081.6,16
24,67,drop,-,11,5,106,106,5.8,5.8,0,63.6,5408.1,1081.6,16
25,68,create,10,12,14,424,424,7.1,5.8,0,63.6,5408.1,1081.6,16
