id,time,action,Ingress/DC,SFC,n_VNFs,TTL,remain,load,util,migration,acceptance,power,P_per_sfc,active_server
1,3,create,10,1,19,124,124,1.9,0.0,0,0.0,0,0.0,0
2,3,remap,-,-,-,-,-,-,-,-,-,-,-,-
3,3,remap_successfully,-,-,-,-,-,1.9,0.0,0,0.0,0,0.0,0
4,3,deploy,11,1,19,124,124,1.9,1.9,0,100.0,1685.6,1685.6,5
5,10,create,7,2,15,180,180,3.4,1.9,0,100.0,1685.6,1685.6,5
6,10,remap,-,-,-,-,-,-,-,-,-,-,-,-
7,10,interrupt,-,1,19,124,117,3.4,0.0,0,100.0,-,-,-
8,10,deploy,11,1,19,124,117,3.4,1.9,0,100.0,1685.6,1685.6,5
9,10,remap_successfully,-,-,-,-,-,3.4,1.9,0,100.0,1685.6,1685.6,5
10,10,interrupt,-,1,19,124,117,3.4,0.0,0,100.0,-,-,-
11,10,deploy,11,1,19,124,117,3.4,1.9,0,100.0,1685.6,1685.6,5
12,10,remap_failed,-,-,-,-,-,3.4,1.9,0,100.0,1685.6,1685.6,5
13,10,deploy,6,2,15,180,180,3.4,3.4,0,100.0,3051.8,1525.9,9
14,23,create,10,3,8,4,4,4.2,3.4,0,100.0,3051.8,1525.9,9
15,23,remap,-,-,-,-,-,-,-,-,-,-,-,-
16,23,interrupt,-,1,19,124,104,4.2,1.5,0,100.0,-,-,-
17,23,interrupt,-,2,15,180,167,4.2,0.0,0,100.0,-,-,-
18,23,deploy,11,1,19,124,104,4.2,1.9,0,100.0,1685.6,1685.6,9
19,23,deploy,6,2,15,180,167,4.2,3.4,0,100.0,3051.8,1525.9,9
20,23,remap_successfully,-,-,-,-,-,4.2,3.4,0,100.0,3051.8,1525.9,9
21,23,interrupt,-,1,19,124,104,4.2,1.5,0,100.0,-,-,-
22,23,interrupt,-,2,15,180,167,4.2,0.0,0,100.0,-,-,-
23,23,deploy,11,1,19,124,104,4.2,1.9,0,100.0,1685.6,1685.6,9
24,23,deploy,6,2,15,180,167,4.2,3.4,0,100.0,3051.8,1525.9,9
25,23,remap_failed,-,-,-,-,-,4.2,3.4,0,100.0,3051.8,1525.9,9
26,23,deploy,1,3,8,4,4,4.2,4.2,0,100.0,3725.4,1241.8,11
27,25,create,7,4,6,34,34,4.8,4.2,0,100.0,3725.4,1241.8,11
28,25,remap,-,-,-,-,-,-,-,-,-,-,-,-
29,25,interrupt,-,1,19,124,102,4.8,2.3,0,100.0,-,-,-
30,25,interrupt,-,2,15,180,165,4.8,0.8,0,100.0,-,-,-
31,25,interrupt,-,3,8,4,2,4.8,0.0,0,100.0,-,-,-
32,25,deploy,11,1,19,124,102,4.8,1.9,0,100.0,1685.6,1685.6,11
33,25,deploy,6,2,15,180,165,4.8,3.4,0,100.0,3051.8,1525.9,11
34,25,deploy,1,3,8,4,2,4.8,4.2,0,100.0,3725.4,1241.8,11
35,25,remap_successfully,-,-,-,-,-,4.8,4.2,0,100.0,3725.4,1241.8,11
36,25,interrupt,-,1,19,124,102,4.8,2.3,0,100.0,-,-,-
37,25,interrupt,-,2,15,180,165,4.8,0.8,0,100.0,-,-,-
38,25,interrupt,-,3,8,4,2,4.8,0.0,0,100.0,-,-,-
39,25,deploy,11,1,19,124,102,4.8,1.9,0,100.0,1685.6,1685.6,11
40,25,deploy,6,2,15,180,165,4.8,3.4,0,100.0,3051.8,1525.9,11
41,25,deploy,1,3,8,4,2,4.8,4.2,0,100.0,3725.4,1241.8,11
42,25,remap_failed,-,-,-,-,-,4.8,4.2,0,100.0,3725.4,1241.8,11
43,25,deploy,6,4,6,34,34,4.8,4.8,0,100.0,4302.6,1075.7,13
44,27,remove,1,3,8,4,0,4.0,4.0,0,100.0,3629.0,1209.7,11
45,33,create,5,5,5,198,198,4.5,4.0,0,100.0,3629.0,1209.7,11
46,33,remap,-,-,-,-,-,-,-,-,-,-,-,-
47,33,interrupt,-,1,19,124,94,4.5,2.1,0,100.0,-,-,-
48,33,interrupt,-,2,15,180,157,4.5,0.6,0,100.0,-,-,-
49,33,interrupt,-,4,6,34,26,4.5,0.0,0,100.0,-,-,-
50,33,deploy,11,1,19,124,94,4.5,1.9,0,100.0,1685.6,1685.6,11
51,33,deploy,6,2,15,180,157,4.5,3.4,0,100.0,3051.8,1525.9,9
52,33,deploy,6,4,6,34,26,4.5,4.0,0,100.0,3629.0,1209.7,11
53,33,remap_successfully,-,-,-,-,-,4.5,4.0,0,100.0,3629.0,1209.7,11
54,33,interrupt,-,1,19,124,94,4.5,2.1,0,100.0,-,-,-
55,33,interrupt,-,2,15,180,157,4.5,0.6,0,100.0,-,-,-
56,33,interrupt,-,4,6,34,26,4.5,0.0,0,100.0,-,-,-
57,33,deploy,11,1,19,124,94,4.5,1.9,0,100.0,1685.6,1685.6,11
58,33,deploy,6,2,15,180,157,4.5,3.4,0,100.0,3051.8,1525.9,9
59,33,deploy,6,4,6,34,26,4.5,4.0,0,100.0,3629.0,1209.7,11
60,33,remap_failed,-,-,-,-,-,4.5,4.0,0,100.0,3629.0,1209.7,11
61,33,deploy,4,5,5,198,198,4.5,4.5,0,100.0,4178.299999999999,1044.6,13
62,40,create,9,6,10,35,35,5.5,4.5,0,100.0,4178.299999999999,1044.6,13
63,40,remap,-,-,-,-,-,-,-,-,-,-,-,-
