id,time,action,ingress,DC,app,SFC,n_VNFs,TTL,all,running,accepted,failed,DC-power
1,1,create,10,-,SimpleApp,1,19,124,0,[],[],[],-
2,1,drop,-,-,SimpleApp,1,19,124,0,[],[],[1],-
3,2,create,7,-,SimpleApp,2,10,115,0,[],[],[1],-
4,2,drop,-,-,SimpleApp,2,10,115,0,[],[],"[1, 2]",-
5,5,create,7,-,SimpleApp,3,9,138,0,[],[],"[1, 2]",-
6,5,drop,-,-,SimpleApp,3,9,138,0,[],[],"[1, 2, 3]",-
7,6,create,10,-,SimpleApp,4,7,72,0,[],[],"[1, 2, 3]",-
8,6,drop,-,-,SimpleApp,4,7,72,0,[],[],"[1, 2, 3, 4]",-
9,7,create,10,-,SimpleApp,5,20,13,0,[],[],"[1, 2, 3, 4]",-
10,7,drop,-,-,SimpleApp,5,20,13,0,[],[],"[1, 2, 3, 4, 5]",-
11,8,create,5,-,SimpleApp,6,17,221,0,[],[],"[1, 2, 3, 4, 5]",-
12,8,drop,-,-,SimpleApp,6,17,221,0,[],[],"[1, 2, 3, 4, 5, 6]",-
13,10,create,9,-,SimpleApp,7,11,23,0,[],[],"[1, 2, 3, 4, 5, 6]",-
14,10,create,10,-,SimpleApp,8,9,243,0,[],[],"[1, 2, 3, 4, 5, 6]",-
15,10,drop,-,-,SimpleApp,7,11,23,0,[],[],"[1, 2, 3, 4, 5, 6, 7]",-
16,10,drop,-,-,SimpleApp,8,9,243,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8]",-
17,11,create,7,-,SimpleApp,9,7,205,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8]",-
18,11,create,9,-,SimpleApp,10,6,32,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8]",-
19,11,create,9,-,SimpleApp,11,14,20,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8]",-
20,11,drop,-,-,SimpleApp,9,7,205,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9]",-
21,11,drop,-,-,SimpleApp,10,6,32,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",-
22,11,drop,-,-,SimpleApp,11,14,20,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",-
23,13,create,9,-,SimpleApp,12,18,281,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",-
24,13,drop,-,-,SimpleApp,12,18,281,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",-
25,16,create,10,-,SimpleApp,13,11,133,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",-
26,16,drop,-,-,SimpleApp,13,11,133,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",-
27,18,create,9,-,SimpleApp,14,13,180,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",-
28,18,drop,-,-,SimpleApp,14,13,180,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-
29,20,create,7,-,SimpleApp,15,4,407,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",-
30,20,drop,-,-,SimpleApp,15,4,407,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",-
31,27,create,5,-,SimpleApp,16,8,322,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",-
32,27,drop,-,-,SimpleApp,16,8,322,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",-
33,28,create,7,-,SimpleApp,17,9,5,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",-
34,28,drop,-,-,SimpleApp,17,9,5,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",-
35,30,create,10,-,SimpleApp,18,5,11,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",-
36,30,drop,-,-,SimpleApp,18,5,11,0,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",-
